step,client_id,from_ap,to_ap,client_x,client_y
0,0,,4,44.65,13.16
0,1,,3,32.59,32.38
0,2,,2,34.16,5.41
0,3,,3,32.17,35.85
0,4,,2,29.99,12.30
0,5,,1,19.89,44.93
0,6,,4,44.14,22.68
0,7,,0,17.19,39.99
0,8,,4,44.82,15.73
0,9,,0,6.10,26.82
1,1,3,4,33.72,32.14
1,3,3,4,32.88,36.12
1,7,0,1,18.92,39.67
5,9,0,1,14.65,23.66
7,2,2,4,40.62,12.13
7,4,2,4,40.42,12.39
9,7,1,3,28.95,30.42
9,9,1,2,22.46,23.14
13,9,2,3,29.62,26.15
14,7,3,4,35.07,24.25
15,5,1,4,37.60,46.20
16,9,3,4,35.26,27.92
20,0,4,3,34.43,19.63
24,0,3,2,30.36,22.15
31,0,2,1,22.78,25.09
32,1,4,3,33.49,29.26
35,7,4,1,32.93,41.65
37,9,4,1,31.06,37.07
38,1,3,1,26.44,28.19
44,5,4,3,34.58,21.94
45,3,4,1,41.67,50.00
46,2,4,1,32.52,40.58
47,5,3,2,29.42,22.88
48,1,1,0,13.66,26.20
48,9,1,0,13.28,26.64
51,8,4,1,33.50,41.22
52,5,2,1,20.76,22.31
52,6,4,1,42.32,7.21
52,9,0,1,7.48,21.43
53,6,1,2,40.86,6.47
57,5,1,0,11.12,22.82
58,1,0,1,4.33,33.32
62,5,0,1,1.73,24.90
64,6,2,1,22.99,6.09
64,7,1,0,10.11,33.29
65,7,0,1,11.90,32.67
68,4,4,3,34.07,27.74
75,4,3,2,29.03,22.59
76,7,1,4,31.71,36.98
82,9,1,0,2.17,27.29
87,5,1,0,8.25,32.16
89,9,0,1,10.19,34.61
91,4,2,1,22.33,7.13
93,5,0,1,1.96,23.78
99,7,4,1,30.56,34.68
104,1,1,0,13.77,29.41
108,1,0,1,13.13,23.47
116,9,1,3,28.63,29.85
120,9,3,4,35.35,26.26
122,0,1,4,41.90,48.75
122,7,1,0,9.72,32.73
123,3,1,2,20.96,19.14
127,6,1,2,23.62,24.61
129,8,1,0,2.68,27.68
131,2,1,0,8.06,33.36
131,7,0,1,7.83,20.99
132,3,2,3,30.92,23.14
135,6,2,4,36.53,17.94
136,3,3,4,35.77,23.27
138,5,1,2,40.26,7.17
139,9,4,1,30.97,39.05
141,0,4,1,35.93,44.99
141,8,0,1,12.71,23.56
148,0,1,4,32.20,38.24
151,4,1,2,21.43,11.47
151,6,4,2,40.73,8.33
152,5,2,3,29.16,24.30
153,8,1,2,22.03,22.39
154,2,0,1,4.77,21.99
155,7,1,2,20.37,16.88
156,9,1,0,6.55,33.45
157,5,3,1,27.34,30.27
162,0,4,3,34.66,23.31
162,3,4,1,40.27,48.83
162,4,2,3,29.65,23.74
162,9,0,1,2.94,22.18
163,7,2,3,31.19,22.38
166,0,3,4,35.23,19.74
167,6,2,1,24.81,25.95
168,2,1,0,10.31,22.99
168,7,3,4,35.36,28.59
173,4,3,4,31.30,34.35
174,0,4,2,38.26,12.30
174,4,4,1,30.95,35.19
175,6,1,0,12.27,30.84
177,2,0,1,9.04,33.99
179,8,2,1,30.50,3.13
180,1,1,3,30.05,31.63
181,6,0,1,1.49,27.64
182,1,3,4,33.69,30.52
183,0,2,1,39.88,4.68
184,6,1,0,3.12,25.49
187,5,1,3,29.74,33.54
189,6,0,1,10.88,21.31
191,7,4,3,32.21,30.10
191,9,1,0,4.60,23.88
193,0,1,4,47.58,5.52
195,5,3,2,28.10,23.09
195,6,1,2,20.64,15.59
195,7,3,1,26.25,28.42
196,9,0,1,13.87,22.62
201,9,1,2,20.34,15.35
202,5,2,1,19.56,16.94
204,3,1,0,2.09,28.28
205,1,4,1,50.00,4.05
205,7,1,0,12.77,31.18
206,0,4,2,41.82,7.67
207,6,2,1,41.42,6.07
207,7,0,1,11.58,33.67
210,3,0,1,10.04,21.72
210,9,2,4,36.51,17.40
211,6,1,4,48.30,6.17
214,1,1,2,40.77,6.10
217,2,1,4,37.09,45.24
219,1,2,4,38.36,13.64
220,6,4,2,38.73,11.21
224,5,1,0,6.85,22.27
226,9,4,2,36.38,15.10
229,3,1,2,22.45,8.92
231,6,2,1,27.96,3.34
232,0,2,3,30.09,22.92
232,2,4,1,40.60,49.05
232,5,0,1,14.34,29.98
234,2,1,4,38.54,47.15
236,8,1,2,22.69,22.61
236,9,2,1,20.28,10.15
237,2,4,1,35.54,44.51
237,6,1,2,31.23,3.28
239,0,3,4,35.80,26.30
240,2,1,4,33.94,41.19
240,3,2,1,25.87,28.11
242,8,2,3,30.84,22.33
245,8,3,4,35.04,22.53
250,2,4,3,33.41,30.20
250,7,1,2,25.36,25.69
253,7,2,3,28.34,25.27
258,2,3,4,35.21,23.56
258,6,2,1,23.30,24.75
260,3,1,4,32.40,36.19
260,7,3,4,35.16,23.58
264,0,4,3,33.94,21.98
264,5,1,2,26.38,25.95
266,0,3,2,31.57,20.61
268,8,4,2,35.33,17.42
276,0,2,1,19.77,11.35
277,4,1,3,27.01,27.38
278,1,4,2,40.99,9.15
280,3,4,2,34.37,17.66
280,9,1,4,33.23,39.94
281,8,2,1,22.33,7.60
282,5,2,1,42.73,5.75
282,7,4,1,34.42,44.24
283,4,3,4,35.04,25.58
288,1,2,1,26.25,4.66
289,3,2,1,23.16,6.74
293,5,1,4,43.80,7.69
297,3,1,2,25.70,6.13
301,9,4,1,36.55,45.69
305,4,4,2,41.20,8.07
306,3,2,4,37.58,15.69
307,6,1,2,23.27,22.79
309,7,1,0,14.17,27.96
310,4,2,1,35.72,3.09
311,7,0,1,14.02,25.52
313,8,1,0,7.65,21.98
316,4,1,2,33.05,3.93
316,6,2,1,23.28,6.95
319,0,1,4,35.21,43.71
320,7,1,2,21.01,17.21
323,2,4,3,34.69,26.40
324,5,4,1,36.44,45.54
325,8,0,1,2.91,30.89
326,3,4,3,34.42,23.93
326,6,1,2,24.50,6.97
328,1,1,2,25.44,7.52
330,3,3,2,28.95,23.31
330,4,2,4,37.93,14.60
331,5,1,4,39.07,46.52
332,2,3,2,32.05,20.65
333,7,2,4,39.07,12.22
337,0,4,1,39.63,48.94
337,1,2,4,41.37,10.97
337,3,2,1,20.42,20.62
337,6,2,1,22.08,23.40
343,6,1,0,13.49,27.98
343,7,4,1,46.83,4.92
350,6,0,1,1.42,31.47
351,1,4,2,38.03,13.44
352,2,2,1,19.65,12.27
353,5,4,1,35.20,44.31
355,7,1,2,34.03,3.70
355,8,1,3,29.56,31.55
359,1,2,1,29.14,3.22
360,8,3,4,35.43,28.14
361,9,1,3,27.72,27.48
369,9,3,4,35.14,24.89
375,7,2,3,28.03,26.14
378,6,1,4,36.19,42.72
378,7,3,1,26.65,29.61
379,8,4,2,40.59,7.89
386,9,4,2,41.31,8.65
387,6,4,3,34.70,26.63
389,8,2,1,28.69,3.29
390,9,2,1,39.92,4.44
391,6,3,2,32.59,19.53
391,7,1,0,12.38,31.65
397,7,0,1,4.79,33.34
398,4,4,1,40.44,48.93
399,9,1,2,38.92,5.62
400,6,2,1,23.93,5.06
402,4,1,4,40.12,48.59
405,1,1,0,13.79,28.95
407,0,1,0,3.81,23.72
407,9,2,4,38.50,13.29
412,1,0,1,2.82,31.67
414,8,1,0,7.25,21.86
415,0,0,1,15.47,29.82
415,9,4,3,34.22,20.44
416,1,1,0,3.06,28.29
419,9,3,2,30.26,22.00
421,4,4,1,32.79,40.55
422,1,0,1,13.07,23.41
423,3,1,0,10.69,31.22
425,0,1,4,31.82,37.41
425,8,0,1,3.02,32.10
426,9,2,1,22.19,24.89
428,1,1,2,22.72,22.64
429,3,0,1,6.29,20.73
431,2,1,4,39.51,47.23
433,1,2,3,30.80,23.37
435,5,1,0,6.93,33.12
436,1,3,4,35.01,25.66
440,6,1,2,26.48,26.85
441,6,2,3,28.40,27.29
444,5,0,1,14.46,24.38
445,6,3,4,34.96,31.03
448,3,1,2,25.62,5.84
450,5,1,2,21.88,20.81
452,0,4,1,44.64,6.28
457,3,2,4,37.49,15.65
462,0,1,2,34.15,3.04
463,5,2,4,36.63,16.81
467,1,4,1,32.33,40.27
467,2,4,2,36.76,14.01
469,0,2,1,25.13,5.41
469,8,1,4,35.04,42.05
473,9,1,2,22.22,8.93
476,7,1,2,21.38,13.83
481,5,4,2,40.11,9.70
482,2,2,1,19.75,14.05
483,3,4,1,31.00,39.36
484,9,2,1,27.57,3.87
485,7,2,4,37.89,15.93
486,1,1,0,10.42,32.54
486,6,4,1,49.25,4.03
487,4,1,0,9.90,33.26
488,5,2,1,33.44,2.35
493,1,0,1,2.15,30.32
493,6,1,4,46.77,6.71
