step,source_ap,dest_ap,weight,interference_dbm,distance
0,0,1,0.0308,-45.70,7.21
0,0,2,0.0000,-54.23,13.88
0,0,3,0.5832,-59.34,20.56
0,0,4,0.0238,-62.73,26.67
0,1,0,0.0238,-45.24,7.21
0,1,2,0.0238,-48.67,9.39
0,1,3,0.0219,-53.39,13.48
0,1,4,0.4326,-58.68,20.24
0,2,0,0.0000,-57.17,13.88
0,2,1,0.0296,-52.08,9.39
0,2,3,0.0000,-54.00,10.88
0,2,4,0.0269,-57.09,13.79
0,3,0,0.5135,-58.84,20.56
0,3,1,0.0256,-53.35,13.48
0,3,2,0.0000,-50.56,10.88
0,3,4,0.0274,-47.15,8.38
0,4,0,0.0191,-65.00,26.67
0,4,1,0.4808,-61.41,20.24
0,4,2,0.0239,-56.41,13.79
0,4,3,0.0274,-49.92,8.38
1,0,1,0.0308,-45.70,7.21
1,0,2,0.0000,-54.23,13.88
1,0,3,0.5832,-59.34,20.56
1,0,4,0.0238,-62.73,26.67
1,1,0,0.0238,-45.24,7.21
1,1,2,0.0238,-48.67,9.39
1,1,3,0.0219,-53.39,13.48
1,1,4,0.4326,-58.68,20.24
1,2,0,0.0000,-57.17,13.88
1,2,1,0.0296,-52.08,9.39
1,2,3,0.0000,-54.00,10.88
1,2,4,0.0269,-57.09,13.79
1,3,0,0.4882,-58.84,20.56
1,3,1,0.0245,-53.35,13.48
1,3,2,0.0000,-50.56,10.88
1,3,4,0.0263,-47.15,8.38
1,4,0,0.0203,-65.00,26.67
1,4,1,0.5061,-61.41,20.24
1,4,2,0.0250,-56.41,13.79
1,4,3,0.0285,-49.92,8.38
2,0,1,0.0308,-45.70,7.21
2,0,2,0.0000,-54.23,13.88
2,0,3,0.5832,-59.34,20.56
2,0,4,0.0238,-62.73,26.67
2,1,0,0.0245,-45.24,7.21
2,1,2,0.0245,-48.67,9.39
2,1,3,0.0226,-53.39,13.48
2,1,4,0.4484,-58.68,20.24
2,2,0,0.0000,-57.17,13.88
2,2,1,0.0296,-52.08,9.39
2,2,3,0.0000,-54.00,10.88
2,2,4,0.0269,-57.09,13.79
2,3,0,0.5125,-58.84,20.56
2,3,1,0.0255,-53.35,13.48
2,3,2,0.0000,-50.56,10.88
2,3,4,0.0274,-47.15,8.38
2,4,0,0.0220,-65.00,26.67
2,4,1,0.5448,-61.41,20.24
2,4,2,0.0267,-56.41,13.79
2,4,3,0.0302,-49.92,8.38
3,0,1,0.0308,-45.70,7.21
3,0,2,0.0000,-54.23,13.88
3,0,3,0.5832,-59.34,20.56
3,0,4,0.0238,-62.73,26.67
3,1,0,0.0245,-45.24,7.21
3,1,2,0.0245,-48.67,9.39
3,1,3,0.0226,-53.39,13.48
3,1,4,0.4484,-58.68,20.24
3,2,0,0.0000,-57.17,13.88
3,2,1,0.0287,-52.08,9.39
3,2,3,0.0000,-54.00,10.88
3,2,4,0.0260,-57.09,13.79
3,3,0,0.4703,-58.84,20.56
3,3,1,0.0237,-53.35,13.48
3,3,2,0.0000,-50.56,10.88
3,3,4,0.0255,-47.15,8.38
3,4,0,0.0225,-65.00,26.67
3,4,1,0.5574,-61.41,20.24
3,4,2,0.0272,-56.41,13.79
3,4,3,0.0308,-49.92,8.38
4,0,1,0.0308,-45.70,7.21
4,0,2,0.0000,-54.23,13.88
4,0,3,0.5832,-59.34,20.56
4,0,4,0.0238,-62.73,26.67
4,1,0,0.0253,-45.24,7.21
4,1,2,0.0253,-48.67,9.39
4,1,3,0.0234,-53.39,13.48
4,1,4,0.4663,-58.68,20.24
4,2,0,0.0000,-57.17,13.88
4,2,1,0.0282,-52.08,9.39
4,2,3,0.0000,-54.00,10.88
4,2,4,0.0255,-57.09,13.79
4,3,0,0.4703,-58.84,20.56
4,3,1,0.0237,-53.35,13.48
4,3,2,0.0000,-50.56,10.88
4,3,4,0.0255,-47.15,8.38
4,4,0,0.0225,-65.00,26.67
4,4,1,0.5574,-61.41,20.24
4,4,2,0.0272,-56.41,13.79
4,4,3,0.0308,-49.92,8.38
5,0,1,0.0308,-45.70,7.21
5,0,2,0.0000,-54.23,13.88
5,0,3,0.5832,-59.34,20.56
5,0,4,0.0238,-62.73,26.67
5,1,0,0.0253,-45.24,7.21
5,1,2,0.0253,-48.67,9.39
5,1,3,0.0234,-53.39,13.48
5,1,4,0.4663,-58.68,20.24
5,2,0,0.0000,-57.17,13.88
5,2,1,0.0282,-52.08,9.39
5,2,3,0.0000,-54.00,10.88
5,2,4,0.0255,-57.09,13.79
5,3,0,0.4460,-58.84,20.56
5,3,1,0.0226,-53.35,13.48
5,3,2,0.0000,-50.56,10.88
5,3,4,0.0245,-47.15,8.38
5,4,0,0.0225,-65.00,26.67
5,4,1,0.5574,-61.41,20.24
5,4,2,0.0272,-56.41,13.79
5,4,3,0.0308,-49.92,8.38
6,0,1,0.0277,-45.70,7.21
6,0,2,0.0000,-54.23,13.88
6,0,3,0.5142,-59.34,20.56
6,0,4,0.0207,-62.73,26.67
6,1,0,0.0280,-45.24,7.21
6,1,2,0.0280,-48.67,9.39
6,1,3,0.0261,-53.39,13.48
6,1,4,0.5288,-58.68,20.24
6,2,0,0.0000,-57.17,13.88
6,2,1,0.0289,-52.08,9.39
6,2,3,0.0000,-54.00,10.88
6,2,4,0.0262,-57.09,13.79
6,3,0,0.4460,-58.84,20.56
6,3,1,0.0226,-53.35,13.48
6,3,2,0.0000,-50.56,10.88
6,3,4,0.0245,-47.15,8.38
6,4,0,0.0225,-65.00,26.67
6,4,1,0.5574,-61.41,20.24
6,4,2,0.0272,-56.41,13.79
