step,client_id,from_ap,to_ap,client_x,client_y
0,0,,0,9.69,5.70
0,1,,1,20.65,17.07
0,2,,2,27.01,28.35
0,3,,3,27.57,27.78
0,4,,2,22.20,39.33
0,5,,4,33.09,17.17
0,6,,4,41.86,29.99
0,7,,4,29.14,8.89
0,8,,0,13.15,35.48
0,9,,0,12.35,21.52
0,10,,0,9.58,13.17
0,11,,0,6.00,40.38
0,12,,3,40.90,35.25
0,13,,3,32.60,30.55
0,14,,4,35.97,22.72
0,15,,0,10.38,34.55
0,16,,2,27.79,25.01
0,17,,2,24.84,23.68
0,18,,2,21.09,25.30
0,19,,4,41.74,10.20
0,20,,1,24.96,7.46
0,21,,3,33.19,29.25
0,22,,0,11.15,34.25
0,23,,3,37.30,38.95
0,24,,3,40.75,38.50
0,25,,3,28.66,41.47
0,26,,3,31.26,23.99
0,27,,1,26.14,6.54
1,2,2,3,28.73,28.20
1,7,4,2,30.72,8.94
1,8,0,2,14.83,35.68
1,11,0,2,7.70,40.64
1,15,0,2,11.08,34.58
1,16,2,3,29.16,24.47
1,20,1,2,26.26,7.17
1,22,0,2,12.75,34.67
1,27,1,2,26.82,6.64
2,0,0,1,12.95,5.54
2,1,1,2,23.53,17.23
2,9,0,1,16.03,20.81
3,7,2,4,33.79,8.80
3,17,2,3,30.42,23.44
4,4,2,3,27.80,39.24
6,2,3,4,37.36,25.03
6,10,0,1,15.04,15.92
6,17,3,4,36.22,22.76
6,26,3,4,37.48,24.71
7,0,1,2,21.25,6.22
7,6,4,3,50.00,33.23
7,9,1,2,23.60,15.74
7,18,2,3,29.29,22.66
8,1,2,3,31.93,17.58
8,13,3,4,42.28,28.72
9,1,3,4,33.42,17.29
9,16,3,4,39.71,27.45
9,20,2,4,36.28,5.48
10,8,2,3,27.57,33.15
11,27,2,4,35.40,7.10
13,18,3,4,35.56,21.44
14,11,2,3,28.27,32.79
16,9,2,4,36.78,5.48
16,10,1,2,22.40,11.97
17,22,2,3,29.54,46.98
18,14,4,3,38.36,27.11
20,0,2,4,33.82,13.28
20,3,3,2,30.27,50.00
21,11,3,4,39.37,25.86
22,8,3,4,45.71,30.82
22,17,4,3,35.48,25.16
24,2,4,2,31.79,11.92
24,14,3,2,27.57,26.41
24,15,2,1,21.24,20.98
26,6,3,2,27.03,41.40
26,8,4,3,48.56,31.93
26,13,4,3,41.03,29.23
26,21,3,2,27.57,42.92
27,17,3,2,26.12,28.04
27,24,3,4,42.98,29.60
28,7,4,2,32.17,12.70
28,23,3,2,27.76,26.73
31,2,2,1,19.40,9.03
32,20,4,3,34.67,23.08
32,22,3,4,41.53,28.65
33,16,4,2,32.90,7.70
34,9,4,2,33.50,8.55
34,10,2,1,16.75,3.76
34,15,1,0,14.07,16.16
34,17,2,0,13.28,31.01
35,2,1,0,12.01,11.39
36,1,4,2,34.81,5.91
36,14,2,0,8.28,35.92
37,18,4,2,33.63,7.12
37,19,4,3,42.67,30.02
37,22,4,3,49.09,32.28
38,23,2,1,22.23,15.24
39,8,3,2,26.47,32.63
40,0,4,3,31.68,16.72
40,20,3,2,27.13,35.91
41,0,3,2,29.85,16.52
41,3,2,0,13.24,28.35
42,5,4,2,32.87,9.17
42,16,2,1,19.71,8.89
43,20,2,3,28.27,41.50
45,20,3,2,28.45,45.23
46,0,2,1,21.97,12.91
46,10,1,2,22.41,11.78
46,13,3,2,27.13,39.38
47,8,2,0,14.17,28.05
47,16,1,0,12.28,8.27
47,23,1,2,17.65,3.41
48,9,2,1,22.45,13.97
49,25,3,4,48.82,31.76
50,0,1,2,20.79,6.54
50,20,2,3,30.45,46.79
50,21,2,0,9.10,34.71
51,1,2,1,14.12,2.92
51,14,0,1,16.79,24.34
52,26,4,2,35.93,3.71
53,23,2,1,12.10,1.93
54,1,1,0,10.40,6.28
54,14,1,2,21.80,21.98
54,17,0,1,16.00,17.29
54,22,3,2,29.33,49.01
54,24,4,2,37.68,0.74
55,2,0,1,15.34,23.77
55,23,1,0,10.18,4.02
57,9,1,2,16.04,28.94
57,11,4,3,46.46,31.34
58,12,3,2,27.31,38.20
58,17,1,2,22.49,18.41
58,18,2,1,17.60,4.66
58,19,3,2,29.68,47.97
58,21,0,1,15.42,27.03
59,2,1,2,22.25,21.25
60,10,2,3,30.86,18.39
61,19,2,3,29.14,44.31
63,6,2,3,28.14,40.32
63,8,0,2,8.18,37.69
64,15,0,2,1.99,40.14
64,17,2,3,30.89,19.65
64,21,1,2,21.89,22.32
66,3,0,1,12.12,3.15
66,17,3,4,33.25,17.93
66,24,2,1,20.66,8.52
67,16,0,1,15.72,15.81
67,22,2,0,8.29,35.65
68,2,2,4,33.52,11.37
68,3,1,2,14.97,1.89
70,0,2,4,39.85,0.59
70,4,3,4,49.43,31.91
70,6,3,2,30.48,50.00
70,13,2,0,11.09,32.04
72,16,1,2,23.22,18.57
73,1,0,1,14.11,9.76
73,9,2,3,29.78,47.81
73,18,1,2,21.59,22.30
73,19,3,2,26.51,28.49
74,17,4,2,34.05,6.86
76,24,1,2,20.45,24.56
76,27,4,3,42.00,30.03
77,16,2,3,29.35,23.10
78,1,1,2,21.37,6.94
78,8,2,3,29.08,44.87
79,26,2,1,18.52,5.81
80,19,2,1,22.13,18.53
81,4,4,3,42.25,29.77
81,20,3,2,27.52,24.14
82,14,2,3,32.01,16.75
83,14,3,4,33.20,17.50
84,3,2,4,36.00,6.14
84,5,2,1,13.41,1.67
84,23,0,2,8.62,37.14
85,5,1,2,12.97,1.43
85,19,1,2,22.42,10.94
85,22,0,1,14.06,13.83
86,21,2,1,11.27,1.76
87,5,2,1,11.98,1.16
87,20,2,1,22.58,14.37
87,21,1,0,9.45,2.13
88,5,1,2,11.50,0.91
88,9,3,4,50.00,30.98
89,0,4,3,45.78,31.03
89,8,3,2,27.51,39.76
90,11,3,2,27.98,21.43
91,26,1,0,12.91,10.19
92,22,1,2,16.41,2.08
93,5,2,0,9.71,0.77
96,20,1,2,14.45,0.91
96,22,2,1,14.99,3.24
97,18,2,3,31.13,47.56
97,25,4,2,39.47,0.00
98,2,4,2,31.60,16.41
98,20,2,1,12.45,1.63
98,21,0,2,9.96,0.00
98,25,2,4,39.22,0.81
99,10,3,2,29.57,48.48
99,21,2,1,11.37,1.30
100,13,0,1,15.12,17.48
100,19,2,4,34.69,8.87
100,20,1,0,10.70,4.75
101,22,1,0,12.29,11.04
102,11,2,4,36.73,5.01
102,24,2,3,27.47,33.45
104,2,2,1,21.65,16.28
104,9,4,2,32.33,10.15
105,8,2,0,14.45,29.46
105,13,1,2,23.27,19.92
107,3,4,3,44.81,31.84
107,6,2,3,31.32,48.04
108,15,2,0,13.68,29.84
108,21,1,2,23.64,11.81
109,2,1,0,13.43,13.28
109,12,2,0,0.41,39.29
109,24,3,2,29.04,20.91
110,0,3,2,28.97,49.22
110,16,3,2,27.30,39.86
111,7,2,3,28.84,44.55
111,13,2,3,32.20,16.76
112,13,3,4,33.82,16.69
112,27,3,2,27.30,42.25
113,4,3,2,28.56,44.55
113,18,3,4,39.60,27.25
114,21,2,4,33.39,15.89
115,14,4,2,32.15,12.39
117,9,2,1,14.09,2.19
118,17,2,3,29.37,42.97
119,16,2,0,12.00,32.91
119,20,0,1,15.74,24.15
120,9,1,0,10.60,5.53
120,19,4,3,36.75,25.09
121,20,1,2,19.72,24.34
122,6,3,4,41.64,28.75
123,22,0,2,8.88,37.21
125,25,4,3,32.05,16.27
126,20,2,3,28.90,26.96
127,15,0,1,14.05,11.59
127,21,4,3,48.99,32.80
127,23,2,4,36.74,5.53
