step,client_id,x,y,associated_ap,demand_mbps,sinr_db,max_rate_mbps,throughput_mbps,airtime_fraction,velocity,direction
0,0,27.82,41.10,5,15.37,16.64,111.19,14.79,0.0986,1.57,0.00
0,1,43.21,29.87,0,15.37,27.06,179.85,15.37,0.1664,1.90,0.00
0,2,40.62,44.98,4,33.03,9.38,65.49,30.39,0.2026,1.71,0.00
0,3,10.78,23.31,6,29.36,9.28,64.85,29.36,0.3705,0.88,0.00
0,4,13.93,35.71,5,33.18,28.97,192.48,31.94,0.2129,1.05,0.00
0,5,32.71,21.87,4,34.83,2.84,30.96,28.49,0.1899,1.40,0.00
0,6,40.42,40.60,4,13.73,10.92,74.78,12.63,0.0842,1.04,0.00
0,7,40.43,39.95,4,5.50,11.09,75.81,5.06,0.0337,1.49,0.00
0,8,13.36,44.06,5,12.92,21.11,140.49,12.44,0.0829,1.56,0.00
0,9,35.59,39.75,4,20.59,15.09,101.14,18.94,0.1263,0.94,0.00
0,10,26.56,38.68,5,15.13,19.01,126.63,14.57,0.0971,1.15,0.00
0,11,26.94,25.66,6,29.62,-0.86,17.28,17.28,0.2180,1.69,0.00
0,12,8.09,16.95,2,17.04,3.27,32.85,17.04,0.3762,0.65,0.00
0,13,40.87,31.17,0,31.32,28.24,187.69,31.32,0.3391,0.79,0.00
0,14,10.89,8.92,2,16.82,23.57,156.70,16.82,0.3713,1.88,0.00
0,15,18.28,43.59,5,12.01,23.22,154.42,11.56,0.0771,0.57,0.00
0,16,29.41,26.66,4,29.96,5.76,45.04,27.57,0.1838,0.63,0.00
0,17,30.85,15.82,3,25.90,1.55,25.62,25.62,1.0000,1.64,0.00
0,18,20.93,37.42,5,33.59,32.49,215.89,32.34,0.2156,1.60,0.00
0,19,39.82,27.44,0,5.26,16.69,111.47,5.26,0.0569,1.14,0.00
0,20,13.04,7.69,2,11.44,31.36,208.38,11.44,0.2526,1.72,0.00
0,21,16.02,26.68,6,32.61,17.78,118.59,32.61,0.4115,1.54,0.00
0,22,43.26,25.39,0,26.67,14.14,95.02,26.67,0.2888,0.98,0.00
0,23,8.66,40.69,5,33.62,19.00,126.59,32.37,0.2158,1.85,0.00
0,24,41.15,30.98,0,13.74,29.22,194.16,13.74,0.1488,1.12,0.00
