step,ap_id,x,y,tx_power,channel,bandwidth,noise_floor,max_throughput,allocated_throughput,duty_cycle,num_clients,inc_energy_dbm
0,0,18.333333333333336,18.333333333333336,29.951366348559688,1,20,-95.0,150.0,101.74887824220069,0.6783,5,-47.56
0,1,31.666666666666668,18.333333333333336,22.446175649765085,6,20,-95.0,150.0,121.94400770653817,0.8130,6,-47.51
0,2,18.333333333333336,31.666666666666668,21.483865783414814,11,20,-95.0,150.0,115.58135812922724,0.7705,5,-39.83
1,0,18.333333333333336,18.333333333333336,29.951366348559688,1,20,-95.0,150.0,150.0,1.0000,8,-43.02
1,1,31.666666666666668,18.333333333333336,22.446175649765085,6,20,-95.0,150.0,86.29081759639617,0.5753,4,-48.87
1,2,18.333333333333336,31.666666666666668,21.483865783414814,11,20,-95.0,150.0,89.44145794204614,0.5963,4,-42.28
2,0,18.333333333333336,18.333333333333336,29.951366348559688,1,20,-95.0,150.0,150.0,1.0000,8,-40.46
2,1,31.666666666666668,18.333333333333336,22.446175649765085,6,20,-95.0,150.0,86.29081759639617,0.5753,4,-49.49
2,2,18.333333333333336,31.666666666666668,21.483865783414814,11,20,-95.0,150.0,89.44145794204614,0.5963,4,-46.81
3,0,18.333333333333336,18.333333333333336,29.951366348559688,1,20,-95.0,150.0,150.0,1.0000,8,-47.01
3,1,31.666666666666668,18.333333333333336,22.446175649765085,6,20,-95.0,150.0,86.29081759639617,0.5753,4,-49.86
3,2,18.333333333333336,31.666666666666668,21.483865783414814,11,20,-95.0,150.0,89.44145794204614,0.5963,4,-48.06
4,0,18.333333333333336,18.333333333333336,29.951366348559688,1,20,-95.0,150.0,137.4020683523427,0.9160,7,-50.09
4,1,31.666666666666668,18.333333333333336,22.446175649765085,6,20,-95.0,150.0,86.29081759639617,0.5753,4,-50.06
4,2,18.333333333333336,31.666666666666668,21.483865783414814,11,20,-95.0,150.0,115.58135812922724,0.7705,5,-48.02
5,0,18.333333333333336,18.333333333333336,29.951366348559688,1,20,-95.0,150.0,150.0,1.0000,9,-51.12
5,1,31.666666666666668,18.333333333333336,22.446175649765085,6,20,-95.0,150.0,67.16573372492032,0.4478,3,-50.13
5,2,18.333333333333336,31.666666666666668,21.483865783414814,11,20,-95.0,150.0,87.70325705346217,0.5847,4,-47.75
