step,ap_id,x,y,tx_power,channel,bandwidth,noise_floor,max_throughput,allocated_throughput,duty_cycle,num_clients,inc_energy_dbm
0,0,15.0,15.0,27.335582524161083,1,20,-95.0,150.0,132.12709339830658,0.8808,6,-43.78
0,1,25.0,15.0,26.254273373785026,6,20,-95.0,150.0,31.05176853412646,0.2070,2,-40.80
0,2,35.0,15.0,23.444608127216426,11,20,-95.0,150.0,150.0,1.0000,9,-39.82
0,3,15.0,25.0,28.318703514242074,1,20,-95.0,150.0,55.97994941866804,0.3732,3,-43.74
0,4,25.0,25.0,26.42303486393093,6,20,-95.0,150.0,150.0,1.0000,7,-39.37
0,5,35.0,25.0,25.981844374731125,11,20,-95.0,150.0,149.99999999999997,1.0000,10,-38.46
0,6,15.0,35.0,24.08811772848435,1,20,-95.0,150.0,150.0,1.0000,9,-44.20
1,0,15.0,15.0,27.335582524161083,1,20,-95.0,150.0,132.12709339830658,0.8808,6,-43.66
1,1,25.0,15.0,26.254273373785026,6,20,-95.0,150.0,55.41577944834606,0.3694,3,-41.61
1,2,35.0,15.0,23.444608127216426,11,20,-95.0,150.0,150.0,1.0000,8,-41.99
1,3,15.0,25.0,28.318703514242074,1,20,-95.0,150.0,55.97994941866804,0.3732,3,-43.77
1,4,25.0,25.0,26.42303486393093,6,20,-95.0,150.0,150.0,1.0000,6,-39.16
1,5,35.0,25.0,25.981844374731125,11,20,-95.0,150.0,150.0,1.0000,11,-38.96
1,6,15.0,35.0,24.08811772848435,1,20,-95.0,150.0,150.0,1.0000,9,-44.51
2,0,15.0,15.0,27.335582524161083,1,20,-95.0,150.0,133.61341250603587,0.8908,6,-43.38
2,1,25.0,15.0,26.254273373785026,6,20,-95.0,150.0,31.05176853412646,0.2070,2,-42.38
2,2,35.0,15.0,23.444608127216426,11,20,-95.0,150.0,150.00000000000003,1.0000,8,-40.89
2,3,15.0,25.0,28.318703514242074,1,20,-95.0,150.0,54.68579321297914,0.3646,3,-43.41
2,4,25.0,25.0,26.42303486393093,6,20,-95.0,150.0,150.0,1.0000,7,-37.39
2,5,35.0,25.0,25.981844374731125,11,20,-95.0,150.0,150.00000000000003,1.0000,13,-38.93
2,6,15.0,35.0,24.08811772848435,1,20,-95.0,150.0,105.43545287869206,0.7029,7,-44.75
3,0,15.0,15.0,27.335582524161083,1,20,-95.0,150.0,132.84476135040197,0.8856,6,-43.49
3,1,25.0,15.0,26.254273373785026,6,20,-95.0,150.0,31.05176853412646,0.2070,2,-43.14
3,2,35.0,15.0,23.444608127216426,11,20,-95.0,150.0,150.00000000000003,1.0000,8,-39.79
3,3,15.0,25.0,28.318703514242074,1,20,-95.0,150.0,29.974258788118874,0.1998,2,-42.36
3,4,25.0,25.0,26.42303486393093,6,20,-95.0,150.0,150.00000000000003,1.0000,8,-37.24
3,5,35.0,25.0,25.981844374731125,11,20,-95.0,150.0,149.99999999999997,1.0000,14,-38.77
3,6,15.0,35.0,24.08811772848435,1,20,-95.0,150.0,88.86409814367023,0.5924,6,-44.90
4,0,15.0,15.0,27.335582524161083,1,20,-95.0,150.0,109.87952539139701,0.7325,5,-43.99
4,1,25.0,15.0,26.254273373785026,6,20,-95.0,150.0,31.05176853412646,0.2070,2,-43.61
4,2,35.0,15.0,23.444608127216426,11,20,-95.0,150.0,150.00000000000003,1.0000,8,-41.48
4,3,15.0,25.0,28.318703514242074,1,20,-95.0,150.0,52.311179598270186,0.3487,3,-40.51
4,4,25.0,25.0,26.42303486393093,6,20,-95.0,150.0,150.0,1.0000,8,-38.71
4,5,35.0,25.0,25.981844374731125,11,20,-95.0,150.0,149.99999999999997,1.0000,15,-38.84
4,6,15.0,35.0,24.08811772848435,1,20,-95.0,150.0,74.27728881818392,0.4952,5,-45.16
5,0,15.0,15.0,27.335582524161083,1,20,-95.0,150.0,50.08773338509898,0.3339,3,-44.47
5,1,25.0,15.0,26.254273373785026,6,20,-95.0,150.0,19.827564042756336,0.1322,1,-43.95
5,2,35.0,15.0,23.444608127216426,11,20,-95.0,150.0,149.99999999999997,1.0000,8,-43.46
5,3,15.0,25.0,28.318703514242074,1,20,-95.0,150.0,83.37715501699331,0.5558,4,-37.82
5,4,25.0,25.0,26.42303486393093,6,20,-95.0,150.0,150.0,1.0000,7,-40.01
5,5,35.0,25.0,25.981844374731125,11,20,-95.0,150.0,150.0,1.0000,18,-38.85
5,6,15.0,35.0,24.08811772848435,1,20,-95.0,150.0,74.27728881818392,0.4952,5,-45.66
6,0,15.0,15.0,27.335582524161083,1,20,-95.0,150.0,50.08773338509898,0.3339,3,-44.59
6,1,25.0,15.0,26.254273373785026,6,20,-95.0,150.0,19.827564042756336,0.1322,1,-44.13
6,2,35.0,15.0,23.444608127216426,11,20,-95.0,150.0,150.0,1.0000,8,-42.94
6,3,15.0,25.0,28.318703514242074,1,20,-95.0,150.0,81.37332675908642,0.5425,4,-31.20
6,4,25.0,25.0,26.42303486393093,6,20,-95.0,150.0,150.0,1.0000,7,-40.97
6,5,35.0,25.0,25.981844374731125,11,20,-95.0,150.0,150.0,1.0000,19,-39.77
6,6,15.0,35.0,24.08811772848435,1,20,-95.0,150.0,60.903177617505285,0.4060,4,-46.05
7,0,15.0,15.0,27.335582524161083,1,20,-95.0,150.0,40.762274347176024,0.2717,2,-44.43
7,1,25.0,15.0,26.254273373785026,6,20,-95.0,150.0,29.153023080679297,0.1944,2,-44.23
7,2,35.0,15.0,23.444608127216426,11,20,-95.0,150.0,137.33310579640676,0.9156,7,-40.81
7,3,15.0,25.0,28.318703514242074,1,20,-95.0,150.0,98.74154393080923,0.6583,4,-26.14
7,4,25.0,25.0,26.42303486393093,6,20,-95.0,150.0,141.67931637236634,0.9445,6,-40.92
7,5,35.0,25.0,25.981844374731125,11,20,-95.0,150.0,149.99999999999997,1.0000,21,-40.98
7,6,15.0,35.0,24.08811772848435,1,20,-95.0,150.0,60.903177617505285,0.4060,4,-46.37
8,0,15.0,15.0,27.335582524161083,1,20,-95.0,150.0,40.762274347176024,0.2717,2,-43.97
8,1,25.0,15.0,26.254273373785026,6,20,-95.0,150.0,9.32545903792296,0.0622,1,-44.13
8,2,35.0,15.0,23.444608127216426,11,20,-95.0,150.0,150.0,1.0000,8,-38.97
8,3,15.0,25.0,28.318703514242074,1,20,-95.0,150.0,98.74154393080923,0.6583,4,-38.71
8,4,25.0,25.0,26.42303486393093,6,20,-95.0,150.0,117.90692955894956,0.7860,5,-40.15
8,5,35.0,25.0,25.981844374731125,11,20,-95.0,150.0,150.0,1.0000,23,-41.82
8,6,15.0,35.0,24.08811772848435,1,20,-95.0,150.0,54.73009849522162,0.3649,3,-46.75
9,0,15.0,15.0,27.335582524161083,1,20,-95.0,150.0,40.762274347176024,0.2717,2,-43.08
9,1,25.0,15.0,26.254273373785026,6,20,-95.0,150.0,9.32545903792296,0.0622,1,-43.57
9,2,35.0,15.0,23.444608127216426,11,20,-95.0,150.0,150.0,1.0000,9,-41.85
9,3,15.0,25.0,28.318703514242074,1,20,-95.0,150.0,52.986714990994415,0.3532,2,-41.75
9,4,25.0,25.0,26.42303486393093,6,20,-95.0,150.0,150.00000000000003,1.0000,7,-38.68
9,5,35.0,25.0,25.981844374731125,11,20,-95.0,150.0,150.0,1.0000,22,-42.23
9,6,15.0,35.0,24.08811772848435,1,20,-95.0,150.0,54.73009849522162,0.3649,3,-46.96
10,0,15.0,15.0,27.335582524161083,1,20,-95.0,150.0,40.762274347176024,0.2717,2,-41.83
10,1,25.0,15.0,26.254273373785026,6,20,-95.0,150.0,9.32545903792296,0.0622,1,-41.87
10,2,35.0,15.0,23.444608127216426,11,20,-95.0,150.0,150.0,1.0000,9,-43.24
10,3,15.0,25.0,28.318703514242074,1,20,-95.0,150.0,52.986714990994415,0.3532,2,-41.14
10,4,25.0,25.0,26.42303486393093,6,20,-95.0,150.0,150.00000000000003,1.0000,7,-34.55
10,5,35.0,25.0,25.981844374731125,11,20,-95.0,150.0,150.00000000000003,1.0000,22,-42.46
10,6,15.0,35.0,24.08811772848435,1,20,-95.0,150.0,53.71596136551247,0.3581,3,-47.08
11,0,15.0,15.0,27.335582524161083,1,20,-95.0,150.0,40.762274347176024,0.2717,2,-42.34
11,1,25.0,15.0,26.254273373785026,6,20,-95.0,150.0,9.32545903792296,0.0622,1,-38.28
11,2,35.0,15.0,23.444608127216426,11,20,-95.0,150.0,149.99999999999997,1.0000,9,-43.19
11,3,15.0,25.0,28.318703514242074,1,20,-95.0,150.0,52.986714990994415,0.3532,2,-39.13
11,4,25.0,25.0,26.42303486393093,6,20,-95.0,150.0,149.99999999999997,1.0000,9,-19.97
11,5,35.0,25.0,25.981844374731125,11,20,-95.0,150.0,150.00000000000003,1.0000,22,-42.41
