step,client_id,x,y,associated_ap,demand_mbps,sinr_db,max_rate_mbps,throughput_mbps,airtime_fraction,velocity,direction
0,0,44.51,34.20,2,15.80,53.05,352.42,15.80,0.5560,0.89,0.00
0,1,9.34,27.56,4,26.46,-0.15,19.49,19.49,0.1864,1.44,0.00
0,2,17.03,17.53,4,19.95,-0.91,17.13,17.13,0.1638,1.67,0.00
0,3,9.45,17.11,4,16.13,-1.75,14.78,14.78,0.1413,0.53,0.00
0,4,12.88,35.99,4,32.05,0.23,20.76,20.76,0.1985,1.30,0.00
0,5,38.25,14.87,5,9.94,10.75,73.78,9.94,0.2329,0.71,0.00
0,6,7.72,29.78,4,6.03,-0.35,18.86,6.03,0.0577,0.60,0.00
0,7,41.51,33.35,2,12.62,30.09,199.96,12.62,0.4440,0.71,0.00
0,8,33.78,10.22,5,32.72,24.42,162.35,32.72,0.7671,0.58,0.00
0,9,22.31,12.36,1,10.76,4.48,38.54,10.76,1.0000,1.26,0.00
0,10,33.10,34.86,3,21.17,28.12,186.84,21.17,1.0000,1.81,0.00
0,11,34.10,26.14,4,26.38,4.47,38.53,26.38,0.2523,1.57,0.00
0,12,24.83,7.36,6,25.12,10.48,72.11,25.12,1.0000,1.06,0.00
1,0,45.42,34.32,2,15.80,45.80,304.27,15.80,0.4587,0.92,0.13
1,1,10.78,27.05,4,26.46,0.11,20.36,19.49,1.0000,1.53,5.94
1,2,18.69,17.09,1,19.95,0.32,21.10,17.13,0.4015,1.72,6.02
1,3,9.95,17.22,1,16.13,0.67,22.31,14.78,0.3463,0.52,0.23
1,4,14.21,36.35,3,32.05,3.33,33.11,20.76,0.3039,1.38,0.27
1,5,39.02,15.10,5,9.94,9.59,66.74,9.94,0.2329,0.80,0.30
1,6,8.22,29.74,2,6.03,2.44,29.23,6.03,0.1750,0.50,6.21
1,7,42.16,33.12,2,12.62,32.89,218.52,12.62,0.3663,0.69,5.93
1,8,34.42,10.20,5,32.72,31.13,206.84,32.72,0.7671,0.63,6.26
1,9,23.52,12.28,1,10.76,5.33,42.84,10.76,0.2522,1.21,6.22
1,10,34.77,34.47,3,21.17,35.51,235.95,21.17,0.3099,1.72,6.05
1,11,35.53,26.50,3,26.38,6.94,51.44,26.38,0.3862,1.48,0.24
1,12,25.85,7.05,6,25.12,11.00,75.28,25.12,1.0000,1.07,5.99
2,0,46.25,34.15,2,15.80,39.63,263.29,15.80,0.5560,0.84,6.07
2,1,12.13,26.22,4,26.46,0.36,21.21,20.36,1.0000,1.58,5.73
2,2,20.33,16.38,1,19.95,0.85,22.95,19.95,0.4259,1.79,5.87
2,3,10.47,17.22,1,16.13,0.65,22.25,16.13,0.3444,0.52,6.28
2,4,15.66,36.47,3,32.05,3.84,35.48,32.05,0.3743,1.46,0.08
2,5,39.59,15.52,5,9.94,8.15,58.28,9.94,0.2329,0.71,0.63
2,6,8.67,29.54,3,6.03,0.39,21.32,6.03,0.0704,0.50,5.86
2,7,42.78,33.08,2,12.62,36.40,241.81,12.62,0.4440,0.61,6.22
2,8,35.08,10.32,5,32.72,43.74,290.63,32.72,0.7671,0.67,0.17
2,9,24.63,11.76,1,10.76,6.47,48.87,10.76,0.2297,1.23,5.85
2,10,36.37,33.88,3,21.17,23.62,157.03,21.17,0.2472,1.70,5.93
2,11,36.80,27.28,3,26.38,8.43,59.87,26.38,0.3081,1.49,0.55
2,12,26.94,6.71,6,25.12,11.48,78.28,25.12,1.0000,1.14,5.98
3,0,47.08,33.90,2,15.80,34.80,231.20,15.80,0.2884,0.87,6.00
3,1,13.13,24.97,4,26.46,0.49,21.68,21.21,1.0000,1.60,5.39
3,2,22.15,15.96,1,19.95,1.50,25.40,19.95,0.4259,1.86,6.06
3,3,10.95,17.08,1,16.13,0.67,22.31,16.13,0.3444,0.50,6.00
3,4,17.05,36.08,3,32.05,4.30,37.70,32.05,0.5410,1.44,6.00
3,5,40.08,15.95,5,9.94,6.82,50.77,9.94,0.2329,0.65,0.72
3,6,9.23,29.48,3,6.03,0.44,21.50,6.03,0.1018,0.55,6.18
3,7,43.31,32.91,2,12.62,39.69,263.71,12.62,0.2303,0.56,5.99
3,8,35.61,10.61,5,32.72,44.01,292.38,32.72,0.7671,0.61,0.52
3,9,25.67,11.17,1,10.76,7.54,54.77,10.76,0.2297,1.20,5.76
3,10,38.08,33.60,3,21.17,14.70,98.63,21.17,0.3572,1.73,6.12
3,11,38.27,27.89,2,26.38,13.06,88.15,26.38,0.4813,1.59,0.39
3,12,28.14,6.55,6,25.12,12.02,81.63,25.12,1.0000,1.22,6.15
4,0,47.99,33.90,2,15.80,30.91,205.37,15.80,0.2080,0.91,0.00
4,1,14.52,24.12,4,26.46,0.78,22.70,21.68,1.0000,1.63,5.73
4,2,23.97,15.59,1,19.95,2.67,30.22,19.95,0.5529,1.86,6.08
4,3,11.47,17.09,1,16.13,0.65,22.24,16.13,0.4471,0.53,0.02
4,4,18.50,36.12,3,32.05,4.95,40.90,32.05,0.8416,1.45,0.03
4,5,40.62,16.17,5,9.94,5.85,45.55,9.94,0.2329,0.59,0.39
4,6,9.72,29.57,3,6.03,0.53,21.81,6.03,0.1584,0.50,0.18
4,7,43.75,32.64,2,12.62,41.25,274.09,12.62,0.1661,0.52,5.72
4,8,36.13,10.73,5,32.72,35.69,237.13,32.72,0.7671,0.53,0.22
4,9,26.52,10.46,6,10.76,11.91,80.93,10.76,0.2999,1.10,5.59
4,10,39.60,32.67,2,21.17,23.04,153.24,21.17,0.2786,1.78,5.74
4,11,39.83,28.24,2,26.38,15.89,106.28,26.38,0.3472,1.60,0.22
4,12,29.29,6.81,6,25.12,12.67,85.69,25.12,0.7001,1.18,0.22
5,0,48.84,34.20,2,15.80,28.20,187.42,15.80,0.2080,0.90,0.33
5,1,16.04,23.44,4,26.46,1.18,24.17,22.70,1.0000,1.66,5.86
5,2,25.79,15.90,1,19.95,3.59,34.31,19.95,0.5529,1.84,0.17
5,3,12.08,17.11,1,16.13,0.62,22.14,16.13,0.4471,0.61,0.04
5,4,19.84,36.37,3,32.05,5.67,44.57,32.05,0.8416,1.36,0.19
5,5,41.23,16.26,5,9.94,5.05,41.42,9.94,0.1466,0.61,0.15
5,6,10.28,29.54,3,6.03,0.59,22.04,6.03,0.1584,0.56,6.23
5,7,44.22,32.28,2,12.62,40.45,268.74,12.62,0.1661,0.59,5.63
5,8,36.74,10.72,5,32.72,29.89,198.61,32.72,0.4828,0.61,6.26
5,9,27.11,9.46,6,10.76,12.33,83.55,10.76,1.0000,1.16,5.25
5,10,41.29,32.29,2,21.17,27.67,183.89,21.17,0.2786,1.73,6.06
5,11,41.42,28.08,2,26.38,17.72,118.20,26.38,0.3472,1.59,6.18
5,12,30.38,7.36,5,25.12,13.15,88.73,25.12,0.3706,1.23,0.47
6,0,49.71,34.32,2,15.80,26.01,172.91,15.80,0.2080,0.88,0.14
6,1,17.55,22.93,4,26.46,1.69,26.17,24.17,1.0000,1.60,5.96
6,2,27.53,16.40,1,19.95,4.66,39.44,19.95,0.5529,1.81,0.28
6,3,12.73,17.27,1,16.13,0.55,21.89,16.13,0.4471,0.67,0.24
6,4,21.01,36.89,3,32.05,6.38,48.39,32.05,0.8416,1.29,0.42
6,5,41.89,16.39,5,9.94,4.14,36.93,9.94,0.1466,0.67,0.18
6,6,10.87,29.59,3,6.03,0.69,22.40,6.03,0.1584,0.59,0.08
6,7,44.52,31.79,2,12.62,36.87,244.97,12.62,0.1661,0.58,5.27
6,8,37.36,10.47,5,32.72,26.21,174.20,32.72,0.4828,0.67,5.90
6,9,28.00,8.60,6,10.76,12.77,86.34,10.76,1.0000,1.24,5.51
6,10,42.94,32.51,2,21.17,35.57,236.30,21.17,0.2786,1.67,0.14
6,11,42.99,28.04,2,26.38,19.41,129.28,26.38,0.3472,1.58,6.26
6,12,31.52,8.03,5,25.12,15.29,102.44,25.12,0.3706,1.32,0.53
7,0,50.00,34.35,2,15.80,25.38,168.68,15.80,0.2080,0.87,3.11
7,1,18.79,21.85,4,26.46,1.93,27.12,26.17,1.0000,1.64,5.57
7,2,29.26,16.28,1,19.95,8.80,62.04,19.95,0.5529,1.73,6.22
7,3,13.31,17.63,1,16.13,0.41,21.40,16.13,0.4471,0.68,0.55
7,4,22.07,37.61,3,32.05,7.03,51.95,32.05,0.8416,1.28,0.60
7,5,42.59,16.36,5,9.94,3.45,33.67,9.94,0.1466,0.70,6.25
7,6,11.45,29.49,3,6.03,0.75,22.59,6.03,0.1584,0.59,6.11
7,7,44.90,31.34,2,12.62,33.84,224.82,12.62,0.1661,0.59,5.41
7,8,37.81,10.08,5,32.72,24.11,160.26,32.72,0.4828,0.59,5.57
7,9,29.20,8.04,6,10.76,13.30,89.70,10.76,1.0000,1.33,5.85
7,10,44.56,32.97,2,21.17,50.62,336.34,21.17,0.2786,1.69,0.27
7,11,44.61,28.37,2,26.38,21.42,142.53,26.38,0.3472,1.65,0.20
7,12,32.52,8.97,5,25.12,18.14,120.98,25.12,0.3706,1.37,0.75
8,0,49.17,34.44,2,15.80,27.32,181.55,15.80,0.2080,0.84,3.03
8,1,20.02,20.93,4,26.46,2.14,27.99,26.46,0.8144,1.54,5.64
8,2,31.05,16.03,1,19.95,14.96,100.30,19.95,0.5529,1.81,6.14
8,3,13.75,18.07,1,16.13,0.23,20.79,16.13,0.4471,0.63,0.78
8,4,23.15,38.27,3,32.05,7.65,55.42,32.05,1.0000,1.27,0.55
8,5,43.35,16.36,5,9.94,2.66,30.18,9.94,0.1265,0.76,0.00
8,6,12.02,29.22,4,6.03,0.47,21.60,6.03,0.1856,0.64,5.86
8,7,45.41,31.02,2,12.62,31.64,210.26,12.62,0.1661,0.60,5.72
8,8,38.07,9.66,5,32.72,22.85,151.97,32.72,0.4166,0.50,5.27
8,9,30.49,7.47,5,10.76,13.31,89.77,10.76,0.1370,1.41,5.87
8,10,46.12,33.49,2,21.17,40.99,272.33,21.17,0.2786,1.64,0.33
8,11,46.33,28.12,2,26.38,20.66,137.50,26.38,0.3472,1.74,6.14
8,12,33.51,9.90,5,25.12,22.77,151.46,25.12,0.3198,1.35,0.76
9,0,48.45,34.69,2,15.80,29.24,194.29,15.80,0.2080,0.77,2.81
9,1,20.92,19.75,4,26.46,1.77,26.49,26.46,0.8144,1.48,5.36
9,2,32.85,15.99,1,19.95,15.41,103.20,19.95,0.5529,1.80,6.26
9,3,14.38,18.39,1,16.13,0.07,20.23,16.13,0.4471,0.70,0.47
9,4,24.41,38.65,3,32.05,8.39,59.62,32.05,1.0000,1.31,0.29
9,5,44.13,16.51,5,9.94,1.69,26.15,9.94,0.1265,0.79,0.18
9,6,12.61,29.00,4,6.03,0.61,22.09,6.03,0.1856,0.63,5.92
9,7,45.83,30.67,2,12.62,29.51,196.10,12.62,0.1661,0.55,5.59
9,8,38.31,9.22,5,32.72,21.61,143.79,32.72,0.4166,0.50,5.22
9,9,31.53,6.50,5,10.76,14.86,99.68,10.76,0.1370,1.43,5.53
9,10,47.73,33.83,2,21.17,31.89,211.88,21.17,0.2786,1.65,0.20
