step,source_ap,dest_ap,weight,interference_dbm,distance
0,0,1,0.0251,-48.82,6.50
0,0,2,0.0000,-46.08,5.27
0,0,3,0.4477,-59.98,15.31
0,0,4,0.0218,-56.08,11.36
0,0,5,0.0000,-50.04,7.14
0,0,6,0.5724,-49.88,7.05
0,1,0,0.0237,-49.41,6.50
0,1,2,0.0237,-47.05,5.43
0,1,3,0.0211,-54.80,9.83
0,1,4,0.5392,-48.13,5.90
0,1,5,0.0237,-39.70,3.09
0,1,6,0.0237,-18.79,0.62
0,2,0,0.0000,-45.60,5.27
0,2,1,0.0254,-45.98,5.43
0,2,3,0.0000,-55.15,10.97
0,2,4,0.0254,-49.97,7.37
0,2,5,0.5771,-40.32,3.51
0,2,6,0.0000,-47.30,6.00
0,3,0,0.5916,-58.67,15.31
0,3,1,0.0292,-52.90,9.83
0,3,2,0.0000,-54.32,10.97
0,3,4,0.0308,-41.21,4.01
0,3,5,0.0000,-50.49,8.17
0,3,6,0.6669,-52.64,9.64
0,4,0,0.0204,-56.77,11.36
0,4,1,0.5484,-48.23,5.90
0,4,2,0.0235,-51.14,7.37
0,4,3,0.0241,-43.20,4.01
0,4,5,0.0241,-43.95,4.24
0,4,6,0.0241,-47.96,5.78
0,5,0,0.0000,-45.76,7.14
0,5,1,0.0220,-34.83,3.09
0,5,2,0.5000,-36.52,3.51
0,5,3,0.0000,-47.51,8.17
0,5,4,0.0220,-38.98,4.24
0,5,6,0.0000,-36.22,3.44
0,6,0,0.5594,-43.74,7.05
0,6,1,0.0246,-12.06,0.62
0,6,2,0.0000,-41.64,6.00
0,6,3,0.5594,-47.81,9.64
0,6,4,0.0246,-41.13,5.78
0,6,5,0.0000,-34.37,3.44
1,0,1,0.0234,-48.82,6.50
1,0,2,0.0000,-46.08,5.27
1,0,3,0.4079,-59.98,15.31
1,0,4,0.0201,-56.08,11.36
1,0,5,0.0000,-50.04,7.14
1,0,6,0.5326,-49.88,7.05
1,1,0,0.0220,-49.41,6.50
1,1,2,0.0220,-47.05,5.43
1,1,3,0.0193,-54.80,9.83
1,1,4,0.5000,-48.13,5.90
1,1,5,0.0220,-39.70,3.09
1,1,6,0.0220,-18.79,0.62
1,2,0,0.0000,-45.60,5.27
1,2,1,0.0220,-45.98,5.43
1,2,3,0.0000,-55.15,10.97
1,2,4,0.0220,-49.97,7.37
1,2,5,0.5000,-40.32,3.51
1,2,6,0.0000,-47.30,6.00
1,3,0,0.5580,-58.67,15.31
1,3,1,0.0277,-52.90,9.83
1,3,2,0.0000,-54.32,10.97
1,3,4,0.0293,-41.21,4.01
1,3,5,0.0000,-50.49,8.17
1,3,6,0.6334,-52.64,9.64
1,4,0,0.0198,-56.77,11.36
1,4,1,0.5364,-48.23,5.90
1,4,2,0.0229,-51.14,7.37
1,4,3,0.0236,-43.20,4.01
1,4,5,0.0236,-43.95,4.24
1,4,6,0.0236,-47.96,5.78
1,5,0,0.0000,-45.76,7.14
1,5,1,0.0251,-34.83,3.09
1,5,2,0.5719,-36.52,3.51
1,5,3,0.0000,-47.51,8.17
1,5,4,0.0251,-38.98,4.24
1,5,6,0.0000,-36.22,3.44
1,6,0,0.7000,-43.74,7.05
1,6,1,0.0308,-12.06,0.62
1,6,2,0.0000,-41.64,6.00
1,6,3,0.7000,-47.81,9.64
1,6,4,0.0308,-41.13,5.78
1,6,5,0.0000,-34.37,3.44
2,0,1,0.0235,-48.82,6.50
2,0,2,0.0000,-46.08,5.27
2,0,3,0.4101,-59.98,15.31
2,0,4,0.0202,-56.08,11.36
2,0,5,0.0000,-50.04,7.14
2,0,6,0.5349,-49.88,7.05
2,1,0,0.0220,-49.41,6.50
2,1,2,0.0220,-47.05,5.43
2,1,3,0.0193,-54.80,9.83
2,1,4,0.5000,-48.13,5.90
2,1,5,0.0220,-39.70,3.09
2,1,6,0.0220,-18.79,0.62
2,2,0,0.0000,-45.60,5.27
2,2,1,0.0220,-45.98,5.43
2,2,3,0.0000,-55.15,10.97
2,2,4,0.0220,-49.97,7.37
2,2,5,0.5000,-40.32,3.51
2,2,6,0.0000,-47.30,6.00
2,3,0,0.5507,-58.67,15.31
2,3,1,0.0274,-52.90,9.83
2,3,2,0.0000,-54.32,10.97
2,3,4,0.0290,-41.21,4.01
2,3,5,0.0000,-50.49,8.17
2,3,6,0.6260,-52.64,9.64
2,4,0,0.0196,-56.77,11.36
2,4,1,0.5313,-48.23,5.90
2,4,2,0.0227,-51.14,7.37
2,4,3,0.0233,-43.20,4.01
2,4,5,0.0233,-43.95,4.24
2,4,6,0.0233,-47.96,5.78
2,5,0,0.0000,-45.76,7.14
2,5,1,0.0256,-34.83,3.09
2,5,2,0.5836,-36.52,3.51
2,5,3,0.0000,-47.51,8.17
2,5,4,0.0256,-38.98,4.24
2,5,6,0.0000,-36.22,3.44
2,6,0,0.7000,-43.74,7.05
2,6,1,0.0308,-12.06,0.62
2,6,2,0.0000,-41.64,6.00
2,6,3,0.7000,-47.81,9.64
2,6,4,0.0308,-41.13,5.78
2,6,5,0.0000,-34.37,3.44
3,0,1,0.0235,-48.82,6.50
3,0,2,0.0000,-46.08,5.27
3,0,3,0.4101,-59.98,15.31
3,0,4,0.0202,-56.08,11.36
3,0,5,0.0000,-50.04,7.14
3,0,6,0.5349,-49.88,7.05
3,1,0,0.0220,-49.41,6.50
3,1,2,0.0220,-47.05,5.43
3,1,3,0.0193,-54.80,9.83
3,1,4,0.5000,-48.13,5.90
3,1,5,0.0220,-39.70,3.09
3,1,6,0.0220,-18.79,0.62
3,2,0,0.0000,-45.60,5.27
3,2,1,0.0220,-45.98,5.43
3,2,3,0.0000,-55.15,10.97
3,2,4,0.0220,-49.97,7.37
3,2,5,0.5000,-40.32,3.51
3,2,6,0.0000,-47.30,6.00
3,3,0,0.5306,-58.67,15.31
3,3,1,0.0265,-52.90,9.83
3,3,2,0.0000,-54.32,10.97
3,3,4,0.0281,-41.21,4.01
3,3,5,0.0000,-50.49,8.17
3,3,6,0.6060,-52.64,9.64
3,4,0,0.0196,-56.77,11.36
3,4,1,0.5313,-48.23,5.90
3,4,2,0.0227,-51.14,7.37
3,4,3,0.0233,-43.20,4.01
3,4,5,0.0233,-43.95,4.24
3,4,6,0.0233,-47.96,5.78
3,5,0,0.0000,-45.76,7.14
3,5,1,0.0256,-34.83,3.09
3,5,2,0.5836,-36.52,3.51
3,5,3,0.0000,-47.51,8.17
3,5,4,0.0256,-38.98,4.24
3,5,6,0.0000,-36.22,3.44
3,6,0,0.7000,-43.74,7.05
3,6,1,0.0308,-12.06,0.62
3,6,2,0.0000,-41.64,6.00
3,6,3,0.7000,-47.81,9.64
3,6,4,0.0308,-41.13,5.78
3,6,5,0.0000,-34.37,3.44
4,0,1,0.0235,-48.82,6.50
