step,client_id,x,y,associated_ap,demand_mbps,sinr_db,max_rate_mbps,throughput_mbps,airtime_fraction,velocity,direction
0,0,22.44,26.88,1,28.18,29.03,192.88,28.18,0.2677,0.95,0.00
0,1,9.94,10.93,0,20.49,20.61,137.15,20.24,0.1349,1.75,0.00
0,2,12.68,29.03,0,15.12,16.49,110.17,14.94,0.0996,1.82,0.00
0,3,43.35,6.85,2,27.26,20.40,135.82,27.26,0.6233,1.18,0.00
0,4,18.69,36.26,1,19.13,15.69,105.03,19.13,0.1817,1.11,0.00
0,5,16.85,22.82,0,12.44,26.14,173.71,12.29,0.0819,1.00,0.00
0,6,19.74,16.93,0,15.39,19.38,129.11,15.20,0.1014,1.98,0.00
0,7,41.79,8.29,2,16.47,20.77,138.26,16.47,0.3767,0.96,0.00
0,8,6.80,22.08,0,5.23,22.24,147.94,5.17,0.0345,0.60,0.00
0,9,9.99,25.37,0,15.26,21.80,145.04,15.08,0.1005,1.73,0.00
0,10,9.85,18.79,0,23.22,26.51,176.19,22.94,0.1529,1.62,0.00
0,11,7.88,38.11,0,16.70,12.96,87.52,16.49,0.1100,1.53,0.00
0,12,15.17,36.63,1,28.79,14.16,95.15,28.79,0.2735,1.78,0.00
0,13,17.71,43.68,1,29.18,13.42,90.44,29.18,0.2771,1.54,0.00
0,14,10.55,8.28,0,27.99,19.13,127.42,27.65,0.1843,1.43,0.00
1,0,23.48,26.78,1,28.18,35.19,233.79,28.18,0.2310,1.05,6.18
1,1,11.65,11.42,0,20.49,21.11,140.46,20.49,0.1516,1.77,0.28
1,2,14.40,28.38,0,15.12,15.93,106.56,15.12,0.1119,1.84,5.92
1,3,44.61,7.00,2,27.26,20.46,136.16,27.26,0.6233,1.27,0.12
1,4,19.76,35.87,1,19.13,16.25,108.62,19.13,0.1569,1.14,5.93
1,5,17.85,22.50,0,12.44,22.82,151.75,12.44,0.0921,1.05,5.97
1,6,21.57,17.53,0,15.39,15.15,101.55,15.39,0.1139,1.92,0.32
1,7,42.76,8.55,2,16.47,20.89,139.02,16.47,0.3767,1.01,0.26
1,8,7.44,22.06,0,5.23,22.83,151.80,5.23,0.0387,0.64,6.26
1,9,11.72,25.19,0,15.26,22.85,151.95,15.26,0.1129,1.74,6.18
1,10,11.48,19.08,0,23.22,29.86,198.42,23.22,0.1718,1.65,0.17
1,11,9.33,38.33,1,16.70,12.27,83.21,16.70,0.1369,1.47,0.15
1,12,16.94,36.16,1,28.79,15.00,100.53,28.79,0.2360,1.83,6.02
1,13,19.23,44.00,1,29.18,13.43,90.53,29.18,0.2392,1.56,0.21
1,14,11.95,8.15,0,27.99,18.99,126.54,27.99,0.2071,1.40,6.19
2,0,24.59,26.53,1,28.18,49.64,329.79,28.18,0.2051,1.14,6.06
2,1,13.26,11.90,0,20.49,21.43,142.56,20.49,0.1711,1.68,0.29
2,2,16.02,27.55,0,15.12,15.02,100.65,15.12,0.1263,1.82,5.81
2,3,45.77,7.60,2,27.26,20.59,137.05,27.26,0.6233,1.31,0.48
2,4,20.93,35.79,1,19.13,16.63,111.11,19.13,0.1393,1.17,6.21
2,5,18.95,22.49,0,12.44,18.02,120.18,12.44,0.1039,1.10,6.28
2,6,23.49,17.49,1,15.39,12.87,86.93,15.39,0.1120,1.92,6.27
2,7,43.78,8.48,2,16.47,20.87,138.92,16.47,0.3767,1.02,6.21
2,8,8.17,22.17,0,5.23,23.51,156.30,5.23,0.0437,0.74,0.15
2,9,13.41,25.52,0,15.26,22.17,147.47,15.26,0.1274,1.72,0.19
2,10,13.16,18.96,0,23.22,34.50,229.20,23.22,0.1939,1.69,6.21
2,11,10.84,38.65,1,16.70,12.67,85.71,16.70,0.1216,1.54,0.21
2,12,18.73,35.91,1,28.79,15.84,105.99,28.79,0.2096,1.81,6.14
2,13,20.68,44.78,1,29.18,13.27,89.46,29.18,0.2124,1.65,0.50
2,14,13.30,8.39,0,27.99,18.94,126.18,27.99,0.2337,1.37,0.17
3,0,25.68,26.17,1,28.18,44.66,296.74,28.18,0.1881,1.15,5.97
3,1,14.92,11.91,0,20.49,20.98,139.60,20.49,0.1909,1.66,0.01
3,2,17.47,26.59,0,15.12,13.65,91.94,15.12,0.1409,1.73,5.70
3,3,47.09,7.81,2,27.26,20.59,137.03,27.26,0.6233,1.34,0.16
3,4,22.09,35.87,1,19.13,16.78,112.05,19.13,0.1277,1.16,0.06
3,5,20.06,22.73,1,12.44,13.59,91.50,12.44,0.0831,1.13,0.22
