step,ap_id,x,y,tx_power,channel,bandwidth,noise_floor,max_throughput,allocated_throughput,duty_cycle,num_clients,inc_energy_dbm
0,0,11.666666666666668,28.451084378608883,23.887244955588795,1,20,-95.0,150.0,150.0,1.0000,9,-43.89
0,1,18.333333333333336,22.728203885692974,21.609718027341554,6,20,-95.0,150.0,150.00000000000003,1.0000,11,-40.23
0,2,25.0,24.82497818219251,20.12464634681727,11,20,-95.0,150.0,111.00517513805903,0.7400,7,-30.33
0,3,31.666666666666668,27.029193013995936,20.125169579099225,1,20,-95.0,150.0,22.00728253210112,0.1467,2,-44.09
0,4,38.333333333333336,28.84477322964272,26.65074050883802,6,20,-95.0,150.0,150.0,1.0000,10,-44.15
1,0,11.666666666666668,28.451084378608883,23.887244955588795,1,20,-95.0,150.0,150.0,1.0000,10,-44.75
1,1,18.333333333333336,22.728203885692974,21.609718027341554,6,20,-95.0,150.0,150.0,1.0000,10,-39.88
1,2,25.0,24.82497818219251,20.12464634681727,11,20,-95.0,150.0,59.59316925254159,0.3973,4,-39.60
1,3,31.666666666666668,27.029193013995936,20.125169579099225,1,20,-95.0,150.0,0.0,0.0000,0,-44.03
1,4,38.333333333333336,28.84477322964272,26.65074050883802,6,20,-95.0,150.0,150.0,1.0000,15,-43.88
2,0,11.666666666666668,28.451084378608883,23.887244955588795,1,20,-95.0,150.0,150.0,1.0000,9,-44.79
2,1,18.333333333333336,22.728203885692974,21.609718027341554,6,20,-95.0,150.0,149.99999999999997,1.0000,11,-40.06
2,2,25.0,24.82497818219251,20.12464634681727,11,20,-95.0,150.0,52.24366270059767,0.3483,3,-41.20
2,3,31.666666666666668,27.029193013995936,20.125169579099225,1,20,-95.0,150.0,7.349506551943925,0.0490,1,-43.72
2,4,38.333333333333336,28.84477322964272,26.65074050883802,6,20,-95.0,150.0,150.0,1.0000,15,-46.26
3,0,11.666666666666668,28.451084378608883,23.887244955588795,1,20,-95.0,150.0,118.73831512696097,0.7916,6,-45.41
3,1,18.333333333333336,22.728203885692974,21.609718027341554,6,20,-95.0,150.0,150.0,1.0000,12,-40.70
3,2,25.0,24.82497818219251,20.12464634681727,11,20,-95.0,150.0,52.469998615858884,0.3498,3,-41.63
3,3,31.666666666666668,27.029193013995936,20.125169579099225,1,20,-95.0,150.0,15.477849214626104,0.1032,1,-42.99
3,4,38.333333333333336,28.84477322964272,26.65074050883802,6,20,-95.0,150.0,149.99999999999997,1.0000,17,-47.71
4,0,11.666666666666668,28.451084378608883,23.887244955588795,1,20,-95.0,150.0,118.73831512696097,0.7916,6,-46.63
4,1,18.333333333333336,22.728203885692974,21.609718027341554,6,20,-95.0,150.0,150.0,1.0000,11,-40.89
4,2,25.0,24.82497818219251,20.12464634681727,11,20,-95.0,150.0,62.46130458882335,0.4164,3,-40.14
4,3,31.666666666666668,27.029193013995936,20.125169579099225,1,20,-95.0,150.0,33.572817964291495,0.2238,2,-41.55
4,4,38.333333333333336,28.84477322964272,26.65074050883802,6,20,-95.0,150.0,149.99999999999997,1.0000,17,-48.44
5,0,11.666666666666668,28.451084378608883,23.887244955588795,1,20,-95.0,150.0,118.73831512696097,0.7916,6,-47.42
5,1,18.333333333333336,22.728203885692974,21.609718027341554,6,20,-95.0,150.0,150.0,1.0000,8,-38.81
5,2,25.0,24.82497818219251,20.12464634681727,11,20,-95.0,150.0,62.46130458882335,0.4164,3,-29.04
5,3,31.666666666666668,27.029193013995936,20.125169579099225,1,20,-95.0,150.0,47.90171642848635,0.3193,3,-38.97
5,4,38.333333333333336,28.84477322964272,26.65074050883802,6,20,-95.0,150.0,150.0,1.0000,19,-48.54
6,0,11.666666666666668,28.451084378608883,23.887244955588795,1,20,-95.0,150.0,118.73831512696097,0.7916,6,-48.07
6,1,18.333333333333336,22.728203885692974,21.609718027341554,6,20,-95.0,150.0,143.30388736126218,0.9554,7,-32.64
6,2,25.0,24.82497818219251,20.12464634681727,11,20,-95.0,150.0,61.62231023204898,0.4108,3,-26.57
6,3,31.666666666666668,27.029193013995936,20.125169579099225,1,20,-95.0,150.0,66.57256116479253,0.4438,4,-38.47
6,4,38.333333333333336,28.84477322964272,26.65074050883802,6,20,-95.0,150.0,150.0,1.0000,19,-48.16
7,0,11.666666666666668,28.451084378608883,23.887244955588795,1,20,-95.0,150.0,118.73831512696097,0.7916,6,-48.62
7,1,18.333333333333336,22.728203885692974,21.609718027341554,6,20,-95.0,150.0,125.6791074030763,0.8379,6,-41.15
7,2,25.0,24.82497818219251,20.12464634681727,11,20,-95.0,150.0,45.91812510216166,0.3061,2,-39.63
7,3,31.666666666666668,27.029193013995936,20.125169579099225,1,20,-95.0,150.0,66.79889708005375,0.4453,4,-41.14
7,4,38.333333333333336,28.84477322964272,26.65074050883802,6,20,-95.0,150.0,150.0,1.0000,21,-47.26
8,0,11.666666666666668,28.451084378608883,23.887244955588795,1,20,-95.0,150.0,107.27931629208098,0.7152,5,-49.38
8,1,18.333333333333336,22.728203885692974,21.609718027341554,6,20,-95.0,150.0,125.6791074030763,0.8379,6,-39.79
8,2,25.0,24.82497818219251,20.12464634681727,11,20,-95.0,150.0,45.91812510216166,0.3061,2,-42.45
8,3,31.666666666666668,27.029193013995936,20.125169579099225,1,20,-95.0,150.0,48.70392833038835,0.3247,3,-41.70
8,4,38.333333333333336,28.84477322964272,26.65074050883802,6,20,-95.0,150.0,150.0,1.0000,23,-45.21
9,0,11.666666666666668,28.451084378608883,23.887244955588795,1,20,-95.0,150.0,107.27931629208098,0.7152,5,-49.85
9,1,18.333333333333336,22.728203885692974,21.609718027341554,6,20,-95.0,150.0,97.21773034069903,0.6481,5,-23.57
9,2,25.0,24.82497818219251,20.12464634681727,11,20,-95.0,150.0,46.29322744190907,0.3086,2,-43.21
9,3,31.666666666666668,27.029193013995936,20.125169579099225,1,20,-95.0,150.0,76.79020305301822,0.5119,4,-41.41
9,4,38.333333333333336,28.84477322964272,26.65074050883802,6,20,-95.0,150.0,149.99999999999997,1.0000,23,-42.70
10,0,11.666666666666668,28.451084378608883,23.887244955588795,1,20,-95.0,150.0,55.183173103660664,0.3679,3,-50.15
10,1,18.333333333333336,22.728203885692974,21.609718027341554,6,20,-95.0,150.0,117.79233320128459,0.7853,6,-32.38
10,2,25.0,24.82497818219251,20.12464634681727,11,20,-95.0,150.0,28.46137706237727,0.1897,1,-43.43
10,3,31.666666666666668,27.029193013995936,20.125169579099225,1,20,-95.0,150.0,78.9178683026627,0.5261,4,-40.97
10,4,38.333333333333336,28.84477322964272,26.65074050883802,6,20,-95.0,150.0,150.0,1.0000,25,-44.91
11,0,11.666666666666668,28.451084378608883,23.887244955588795,1,20,-95.0,150.0,55.183173103660664,0.3679,3,-50.35
11,1,18.333333333333336,22.728203885692974,21.609718027341554,6,20,-95.0,150.0,111.20685853366912,0.7414,5,-42.13
11,2,25.0,24.82497818219251,20.12464634681727,11,20,-95.0,150.0,28.46137706237727,0.1897,1,-43.60
11,3,31.666666666666668,27.029193013995936,20.125169579099225,1,20,-95.0,150.0,61.086017923130896,0.4072,3,-40.53
11,4,38.333333333333336,28.84477322964272,26.65074050883802,6,20,-95.0,150.0,150.0,1.0000,27,-46.36
12,0,11.666666666666668,28.451084378608883,23.887244955588795,1,20,-95.0,150.0,55.183173103660664,0.3679,3,-50.47
12,1,18.333333333333336,22.728203885692974,21.609718027341554,6,20,-95.0,150.0,111.15045834265518,0.7410,5,-44.52
12,2,25.0,24.82497818219251,20.12464634681727,11,20,-95.0,150.0,28.46137706237727,0.1897,1,-44.05
12,3,31.666666666666668,27.029193013995936,20.125169579099225,1,20,-95.0,150.0,42.415173186824724,0.2828,2,-39.36
12,4,38.333333333333336,28.84477322964272,26.65074050883802,6,20,-95.0,150.0,150.0,1.0000,28,-46.57
13,0,11.666666666666668,28.451084378608883,23.887244955588795,1,20,-95.0,150.0,83.32303917974633,0.5555,4,-50.50
13,1,18.333333333333336,22.728203885692974,21.609718027341554,6,20,-95.0,150.0,79.38644915010018,0.5292,4,-45.08
13,2,25.0,24.82497818219251,20.12464634681727,11,20,-95.0,150.0,28.46137706237727,0.1897,1,-44.48
13,3,31.666666666666668,27.029193013995936,20.125169579099225,1,20,-95.0,150.0,42.415173186824724,0.2828,2,-36.27
13,4,38.333333333333336,28.84477322964272,26.65074050883802,6,20,-95.0,150.0,150.0,1.0000,28,-46.23
14,0,11.666666666666668,28.451084378608883,23.887244955588795,1,20,-95.0,150.0,83.32303917974633,0.5555,4,-50.54
14,1,18.333333333333336,22.728203885692974,21.609718027341554,6,20,-95.0,150.0,47.01224888541742,0.3134,2,-45.03
14,2,25.0,24.82497818219251,20.12464634681727,11,20,-95.0,150.0,41.075389721490325,0.2738,2,-44.73
14,3,31.666666666666668,27.029193013995936,20.125169579099225,1,20,-95.0,150.0,14.328898464194861,0.0955,1,-29.84
14,4,38.333333333333336,28.84477322964272,26.65074050883802,6,20,-95.0,150.0,150.0,1.0000,30,-45.81
15,0,11.666666666666668,28.451084378608883,23.887244955588795,1,20,-95.0,150.0,69.57615491764437,0.4638,3,-50.54
15,1,18.333333333333336,22.728203885692974,21.609718027341554,6,20,-95.0,150.0,20.574602860585564,0.1372,1,-45.06
15,2,25.0,24.82497818219251,20.12464634681727,11,20,-95.0,150.0,41.075389721490325,0.2738,2,-44.69
15,3,31.666666666666668,27.029193013995936,20.125169579099225,1,20,-95.0,150.0,14.328898464194861,0.0955,1,-18.67
15,4,38.333333333333336,28.84477322964272,26.65074050883802,6,20,-95.0,150.0,150.00000000000003,1.0000,32,-45.02
16,0,11.666666666666668,28.451084378608883,23.887244955588795,1,20,-95.0,150.0,41.15910302962751,0.2744,2,-50.46
16,1,18.333333333333336,22.728203885692974,21.609718027341554,6,20,-95.0,150.0,20.574602860585564,0.1372,1,-44.92
16,2,25.0,24.82497818219251,20.12464634681727,11,20,-95.0,150.0,41.075389721490325,0.2738,2,-44.67
16,3,31.666666666666668,27.029193013995936,20.125169579099225,1,20,-95.0,150.0,41.73772916398897,0.2783,3,-26.97
16,4,38.333333333333336,28.84477322964272,26.65074050883802,6,20,-95.0,150.0,150.00000000000003,1.0000,31,-43.73
17,0,11.666666666666668,28.451084378608883,23.887244955588795,1,20,-95.0,150.0,41.15910302962751,0.2744,2,-50.86
17,1,18.333333333333336,22.728203885692974,21.609718027341554,6,20,-95.0,150.0,20.574602860585564,0.1372,1,-45.88
17,2,25.0,24.82497818219251,20.12464634681727,11,20,-95.0,150.0,41.075389721490325,0.2738,2,-44.41
17,3,31.666666666666668,27.029193013995936,20.125169579099225,1,20,-95.0,150.0,41.73772916398897,0.2783,3,-34.22
17,4,38.333333333333336,28.84477322964272,26.65074050883802,6,20,-95.0,150.0,150.0,1.0000,31,-40.78
18,0,11.666666666666668,28.451084378608883,23.887244955588795,1,20,-95.0,150.0,41.15910302962751,0.2744,2,-51.33
18,1,18.333333333333336,22.728203885692974,21.609718027341554,6,20,-95.0,150.0,0.0,0.0000,0,-46.92
18,2,25.0,24.82497818219251,20.12464634681727,11,20,-95.0,150.0,61.64999258207589,0.4110,3,-43.99
18,3,31.666666666666668,27.029193013995936,20.125169579099225,1,20,-95.0,150.0,41.73772916398897,0.2783,3,-37.96
18,4,38.333333333333336,28.84477322964272,26.65074050883802,6,20,-95.0,150.0,150.0,1.0000,31,-35.75
19,0,11.666666666666668,28.451084378608883,23.887244955588795,1,20,-95.0,150.0,69.62048009200478,0.4641,3,-51.65
19,1,18.333333333333336,22.728203885692974,21.609718027341554,6,20,-95.0,150.0,0.0,0.0000,0,-47.53
19,2,25.0,24.82497818219251,20.12464634681727,11,20,-95.0,150.0,33.188615519698615,0.2213,2,-43.86
19,3,31.666666666666668,27.029193013995936,20.125169579099225,1,20,-95.0,150.0,41.73772916398897,0.2783,3,-39.05
19,4,38.333333333333336,28.84477322964272,26.65074050883802,6,20,-95.0,150.0,150.00000000000003,1.0000,31,-28.94
20,0,11.666666666666668,28.451084378608883,23.887244955588795,1,20,-95.0,150.0,69.62048009200478,0.4641,3,-51.85
20,1,18.333333333333336,22.728203885692974,21.609718027341554,6,20,-95.0,150.0,0.0,0.0000,0,-47.87
20,2,25.0,24.82497818219251,20.12464634681727,11,20,-95.0,150.0,20.574602860585564,0.1372,1,-44.25
20,3,31.666666666666668,27.029193013995936,20.125169579099225,1,20,-95.0,150.0,41.73772916398897,0.2783,3,-39.90
20,4,38.333333333333336,28.84477322964272,26.65074050883802,6,20,-95.0,150.0,149.99999999999997,1.0000,32,-34.23
21,0,11.666666666666668,28.451084378608883,23.887244955588795,1,20,-95.0,150.0,41.15910302962751,0.2744,2,-52.02
21,1,18.333333333333336,22.728203885692974,21.609718027341554,6,20,-95.0,150.0,0.0,0.0000,0,-48.10
21,2,25.0,24.82497818219251,20.12464634681727,11,20,-95.0,150.0,58.8200306645711,0.3921,3,-44.40
21,3,31.666666666666668,27.029193013995936,20.125169579099225,1,20,-95.0,150.0,31.953678422380715,0.2130,2,-42.13
21,4,38.333333333333336,28.84477322964272,26.65074050883802,6,20,-95.0,150.0,149.99999999999997,1.0000,32,-41.26
22,0,11.666666666666668,28.451084378608883,23.887244955588795,1,20,-95.0,150.0,41.15910302962751,0.2744,2,-52.14
22,1,18.333333333333336,22.728203885692974,21.609718027341554,6,20,-95.0,150.0,0.0,0.0000,0,-48.25
22,2,25.0,24.82497818219251,20.12464634681727,11,20,-95.0,150.0,76.44481062275695,0.5096,4,-44.89
22,3,31.666666666666668,27.029193013995936,20.125169579099225,1,20,-95.0,150.0,14.328898464194861,0.0955,1,-43.34
22,4,38.333333333333336,28.84477322964272,26.65074050883802,6,20,-95.0,150.0,149.99999999999997,1.0000,32,-44.78
23,0,11.666666666666668,28.451084378608883,23.887244955588795,1,20,-95.0,150.0,41.15910302962751,0.2744,2,-52.21
23,1,18.333333333333336,22.728203885692974,21.609718027341554,6,20,-95.0,150.0,0.0,0.0000,0,-48.34
23,2,25.0,24.82497818219251,20.12464634681727,11,20,-95.0,150.0,47.98343356037968,0.3199,3,-45.48
23,3,31.666666666666668,27.029193013995936,20.125169579099225,1,20,-95.0,150.0,14.328898464194861,0.0955,1,-43.92
23,4,38.333333333333336,28.84477322964272,26.65074050883802,6,20,-95.0,150.0,150.0,1.0000,33,-46.11
24,0,11.666666666666668,28.451084378608883,23.887244955588795,1,20,-95.0,150.0,41.15910302962751,0.2744,2,-52.25
24,1,18.333333333333336,22.728203885692974,21.609718027341554,6,20,-95.0,150.0,0.0,0.0000,0,-48.43
24,2,25.0,24.82497818219251,20.12464634681727,11,20,-95.0,150.0,47.98343356037968,0.3199,3,-46.06
24,3,31.666666666666668,27.029193013995936,20.125169579099225,1,20,-95.0,150.0,14.328898464194861,0.0955,1,-44.19
24,4,38.333333333333336,28.84477322964272,26.65074050883802,6,20,-95.0,150.0,150.0,1.0000,33,-46.23
25,0,11.666666666666668,28.451084378608883,23.887244955588795,1,20,-95.0,150.0,50.94315377123577,0.3396,3,-52.24
25,1,18.333333333333336,22.728203885692974,21.609718027341554,6,20,-95.0,150.0,0.0,0.0000,0,-48.48
