step,client_id,from_ap,to_ap,client_x,client_y
0,0,,3,18.53,39.17
0,1,,3,19.54,41.26
0,2,,2,28.35,24.74
0,3,,2,29.41,27.64
0,4,,4,44.61,29.80
0,5,,1,42.64,15.49
0,6,,2,33.54,25.76
0,7,,2,33.64,22.50
0,8,,0,7.13,17.30
0,9,,2,21.64,16.29
0,10,,1,44.47,19.88
0,11,,4,30.33,37.75
0,12,,2,31.96,26.50
0,13,,2,26.55,29.05
0,14,,4,39.51,39.74
0,15,,2,23.97,18.87
0,16,,0,10.62,10.25
0,17,,1,39.22,22.02
0,18,,0,14.24,12.36
0,19,,4,36.44,41.01
0,20,,2,30.64,19.76
0,21,,1,43.49,10.34
0,22,,3,5.72,27.01
0,23,,3,19.46,35.05
0,24,,1,36.43,20.94
1,23,3,2,20.38,35.03
4,20,2,1,35.19,19.58
5,6,2,4,38.40,26.69
5,7,2,1,38.68,23.03
6,0,3,2,24.71,38.42
6,1,3,4,25.29,40.13
8,18,0,2,23.22,13.30
8,22,3,2,13.52,28.36
9,3,2,4,39.47,25.85
9,12,2,1,40.19,23.93
9,15,2,1,33.60,17.77
10,2,2,4,36.08,29.09
11,3,4,1,41.80,24.66
11,13,2,4,36.10,29.06
11,23,2,4,30.16,35.04
14,18,2,1,30.62,14.90
15,24,1,4,47.74,25.28
16,20,1,4,49.08,25.67
18,11,4,1,42.75,24.85
20,6,4,1,49.22,24.93
20,9,2,1,35.02,19.47
21,7,1,4,49.19,25.57
21,13,4,1,44.36,24.62
23,0,2,1,38.94,23.30
23,6,1,4,48.21,25.03
24,6,4,1,47.33,24.87
25,8,0,1,25.06,9.88
26,5,1,2,30.49,15.99
34,6,1,2,37.67,22.70
34,17,1,0,24.85,6.74
35,19,4,3,24.65,48.90
37,17,0,1,25.01,2.52
38,17,1,0,24.70,1.17
39,5,2,0,18.16,16.58
41,17,0,1,25.05,2.87
43,17,1,0,24.98,5.92
45,20,4,2,32.20,31.12
46,11,1,0,23.75,0.12
47,3,1,2,29.00,14.65
47,17,0,2,23.78,11.86
48,14,4,2,30.94,33.66
48,21,1,2,37.81,23.74
48,24,4,3,24.54,43.08
50,21,2,4,38.69,26.42
51,1,4,2,32.48,31.21
53,8,1,2,31.03,16.50
54,22,2,0,19.84,14.90
56,6,2,0,16.51,17.61
57,20,2,0,23.26,11.33
59,18,1,2,35.68,21.38
60,23,4,2,38.19,25.43
61,5,0,3,5.13,25.00
62,23,2,1,38.89,22.68
65,1,2,3,15.80,32.19
65,15,1,2,39.03,24.43
66,0,1,0,24.53,1.60
67,17,2,3,24.36,39.79
70,21,4,2,30.16,32.97
71,3,2,4,26.32,38.95
72,12,1,4,42.73,25.07
72,20,0,3,0.03,25.10
74,18,2,0,16.81,17.47
75,16,0,3,7.43,25.58
