step,client_id,from_ap,to_ap,client_x,client_y
0,0,,3,33.73,18.94
0,1,,3,35.70,21.04
0,2,,4,30.29,36.07
0,3,,2,26.36,6.76
0,4,,1,17.59,32.21
0,5,,4,43.84,35.81
0,6,,2,19.67,6.87
0,7,,2,28.07,11.51
0,8,,0,9.69,40.50
0,9,,4,36.55,31.18
0,10,,3,34.38,6.98
0,11,,2,22.21,14.95
0,12,,3,37.69,6.69
0,13,,0,5.04,9.42
0,14,,0,11.71,19.55
0,15,,2,21.31,9.74
0,16,,2,29.03,16.36
0,17,,4,41.94,35.63
0,18,,2,28.47,21.12
0,19,,0,7.12,39.85
0,20,,3,31.51,19.88
0,21,,0,9.40,25.04
0,22,,2,23.78,26.76
0,23,,4,44.96,10.43
0,24,,4,43.98,37.72
0,25,,1,20.29,28.93
0,26,,0,11.27,13.52
0,27,,0,10.56,9.41
0,28,,0,5.62,17.37
0,29,,4,36.70,44.28
0,30,,4,43.67,43.67
0,31,,0,14.02,23.77
0,32,,4,40.43,20.60
0,33,,0,9.50,10.99
0,34,,0,7.70,42.17
0,35,,1,22.00,30.41
0,36,,2,17.50,12.60
0,37,,4,37.65,26.45
0,38,,2,30.62,12.16
0,39,,4,43.38,35.79
0,40,,0,14.82,18.69
0,41,,3,29.03,29.59
0,42,,4,42.02,35.39
0,43,,0,10.60,29.04
1,1,3,4,37.42,21.06
1,10,3,2,35.97,7.19
1,12,3,4,39.08,7.15
1,18,2,3,30.05,21.00
2,0,3,4,37.50,19.89
2,10,2,4,37.55,7.18
2,25,1,2,23.95,28.60
2,31,0,1,16.82,23.33
2,40,0,2,16.99,19.78
3,22,2,3,28.31,27.35
3,26,0,2,16.18,12.94
3,27,0,2,14.03,8.92
3,35,1,2,25.84,31.43
3,43,0,1,15.89,27.86
4,31,1,2,19.46,22.19
5,4,1,4,27.05,33.33
5,25,2,3,29.66,27.53
5,35,2,4,28.45,32.20
6,7,2,4,38.13,8.53
6,14,0,2,16.71,18.84
6,18,3,4,36.80,16.52
6,22,3,4,31.47,30.58
6,33,0,2,14.79,10.66
7,41,3,4,32.80,28.54
7,43,1,2,21.20,22.54
8,21,0,1,15.89,27.27
9,15,2,4,36.58,13.46
9,20,3,4,36.07,17.50
11,25,3,4,36.62,18.28
11,31,2,3,30.00,23.33
11,38,2,4,36.66,9.29
13,13,0,2,14.24,8.73
14,16,2,4,36.17,11.13
14,26,2,3,29.81,22.11
15,31,3,4,36.23,25.95
15,32,4,2,36.86,5.12
16,1,4,3,35.00,22.19
16,8,0,4,23.81,48.00
16,40,2,3,28.30,27.32
16,41,4,3,35.11,23.79
18,28,0,2,16.79,19.24
19,0,4,3,35.13,17.08
19,6,2,4,37.02,8.23
19,26,3,4,33.48,28.24
20,1,3,2,28.17,24.72
20,12,4,2,37.22,5.93
21,0,3,2,32.13,16.65
21,40,3,4,33.15,28.35
21,42,4,1,24.27,37.28
22,7,4,2,37.22,0.00
24,42,1,0,19.27,38.25
25,1,2,1,19.04,22.75
25,3,2,4,37.53,8.06
25,21,1,0,22.79,40.48
26,41,3,2,33.40,16.08
27,1,1,0,15.98,20.30
27,15,4,3,35.08,18.39
28,21,0,4,24.06,43.63
28,27,2,3,33.53,16.70
28,30,4,3,34.55,23.90
28,43,2,4,38.68,2.99
29,36,2,1,21.79,26.29
30,15,3,2,30.23,19.11
30,32,2,0,12.50,10.61
31,19,0,4,23.91,46.40
32,0,2,0,15.59,16.58
33,10,4,3,32.63,27.87
33,14,2,3,32.39,17.73
34,30,3,2,30.31,18.53
34,36,1,0,15.11,29.96
35,4,4,1,23.56,40.33
36,4,1,0,22.05,41.33
36,16,4,2,37.51,2.67
36,29,4,1,23.66,39.78
37,8,4,3,29.75,29.58
38,10,3,2,27.59,24.14
38,25,4,2,35.50,9.37
38,27,3,4,35.71,22.96
38,29,1,0,21.84,40.68
39,15,2,0,16.60,19.72
39,18,4,3,34.54,24.70
39,35,4,0,23.26,44.05
41,8,3,2,27.63,25.80
41,37,4,1,24.75,36.95
43,14,3,4,36.38,21.08
44,18,3,2,27.50,28.02
45,7,2,1,23.73,28.91
45,12,2,1,19.99,23.75
45,34,0,1,18.84,36.13
46,33,2,4,38.20,0.18
47,18,2,1,24.92,32.33
47,31,4,2,33.96,14.05
48,7,1,2,26.05,33.53
49,2,4,2,37.20,4.43
49,7,2,4,26.87,35.03
50,8,2,1,18.09,22.70
50,9,4,2,26.28,33.87
50,10,2,0,15.07,14.10
50,32,0,1,16.32,22.84
51,9,2,1,25.37,33.83
51,12,1,0,15.68,32.69
52,18,1,0,21.17,40.08
52,37,1,0,15.73,31.91
53,0,0,2,15.45,12.69
53,8,1,0,14.95,24.40
53,42,0,1,17.79,33.13
54,3,4,2,35.13,9.99
54,24,4,3,33.69,25.76
54,32,1,2,22.14,25.63
55,11,2,4,36.69,11.08
55,25,2,0,13.00,3.93
56,13,2,4,38.24,0.48
57,31,2,1,17.27,21.59
58,32,2,3,27.87,27.54
59,7,4,0,23.09,50.00
59,31,1,0,14.94,24.71
59,42,1,4,26.57,37.98
60,6,4,0,22.92,50.00
60,9,1,0,17.25,35.80
60,20,4,2,37.00,6.19
61,32,3,4,31.62,29.78
63,4,0,4,24.33,43.39
64,24,3,2,34.43,14.72
66,23,4,2,26.09,34.16
66,30,2,0,13.32,7.50
66,34,1,2,19.91,22.94
67,0,2,4,35.78,15.46
67,17,4,2,37.82,0.61
67,23,2,1,25.52,33.99
68,35,0,1,16.17,26.64
69,34,2,1,18.06,21.43
70,22,4,3,33.90,25.29
70,33,4,2,35.78,11.83
71,15,0,2,15.69,13.55
71,28,2,0,12.32,2.80
71,34,1,0,16.56,21.08
71,41,2,4,36.69,9.96
72,2,2,0,12.48,3.20
72,5,4,2,37.35,3.59
72,35,1,2,23.26,26.07
74,21,4,2,35.49,8.98
74,26,4,2,34.94,11.21
74,43,4,0,23.64,43.00
75,19,4,3,31.28,28.60
75,35,2,3,28.30,28.22
76,10,0,2,13.31,1.84
77,22,3,2,27.88,24.75
77,35,3,4,30.53,31.41
78,19,3,2,27.10,27.21
78,36,0,1,19.67,37.01
81,8,0,1,16.28,32.09
81,29,0,1,17.45,34.89
82,3,2,1,20.36,25.42
82,18,0,1,20.96,37.13
83,19,2,1,19.85,23.99
83,36,1,4,25.35,39.57
84,17,2,0,12.63,6.10
85,18,1,4,26.52,36.01
85,22,2,1,20.78,24.76
85,39,4,3,34.42,15.66
86,19,1,0,15.16,22.81
86,39,3,2,33.25,15.72
87,3,1,0,15.35,31.28
88,20,2,0,12.79,2.82
88,25,0,1,16.53,22.67
88,29,1,2,25.90,32.98
89,29,2,4,27.26,33.18
90,8,1,4,26.59,35.18
90,15,2,3,35.11,16.20
90,26,2,0,13.54,11.85
90,31,0,4,25.72,42.66
91,5,2,1,20.41,25.21
91,7,0,4,24.19,43.19
91,21,2,0,13.32,8.47
91,22,1,0,14.85,23.75
91,25,1,2,21.75,23.86
91,30,0,2,13.48,2.19
92,15,3,4,35.95,18.46
92,27,4,2,27.39,31.79
93,4,4,0,22.41,49.90
93,23,1,0,16.00,23.50
95,6,0,1,15.89,27.58
