step,client_id,from_ap,to_ap,client_x,client_y
0,0,,3,6.92,8.76
0,1,,1,39.41,11.69
0,2,,4,37.88,38.42
0,3,,4,27.07,31.60
0,4,,0,16.23,32.57
0,5,,1,42.87,14.28
0,6,,0,5.25,16.55
0,7,,0,10.89,33.24
0,8,,4,24.97,23.25
0,9,,0,10.03,23.74
0,10,,2,19.87,36.34
0,11,,4,28.92,35.00
0,12,,5,30.28,18.33
0,13,,2,26.91,42.10
0,14,,4,9.07,14.41
0,15,,0,17.23,36.77
0,16,,1,41.44,22.71
0,17,,5,29.59,21.28
0,18,,4,23.10,28.75
0,19,,3,17.30,15.94
0,20,,4,34.27,37.06
0,21,,2,24.78,43.05
0,22,,2,26.50,36.95
0,23,,3,28.47,8.40
0,24,,1,39.36,12.27
0,25,,0,6.55,36.79
0,26,,4,39.34,34.63
0,27,,1,44.33,33.92
0,28,,4,13.38,16.63
0,29,,2,25.50,36.28
0,30,,0,13.65,24.22
0,31,,4,24.73,30.77
0,32,,4,7.52,14.75
0,33,,0,7.01,18.72
0,34,,0,9.28,35.44
0,35,,1,36.60,27.24
0,36,,3,23.91,5.00
0,37,,4,28.25,24.98
0,38,,1,41.49,18.67
0,39,,1,43.29,21.71
0,40,,4,34.22,36.29
0,41,,0,12.92,24.48
0,42,,4,24.27,20.21
0,43,,3,20.38,6.04
0,44,,0,12.25,25.69
0,45,,1,43.77,39.37
0,46,,2,37.39,42.39
0,47,,5,36.10,17.29
1,2,4,0,39.68,38.17
1,10,2,0,20.57,36.14
1,11,4,0,29.85,35.21
1,13,2,0,27.59,42.26
1,14,4,3,9.76,14.31
1,20,4,0,34.98,37.27
1,21,2,0,25.83,43.05
1,22,2,0,27.48,36.85
1,26,4,1,40.00,34.39
1,28,4,3,14.36,16.32
1,29,2,0,27.10,36.45
1,32,4,3,8.98,15.07
1,40,4,0,35.13,36.27
1,42,4,3,25.94,20.33
1,46,2,0,38.37,42.60
1,47,5,1,37.59,16.78
2,6,0,3,8.34,16.34
2,42,3,5,27.61,20.03
3,2,0,1,43.11,37.26
4,10,0,2,22.28,35.21
5,10,2,0,22.77,34.77
5,18,4,0,32.66,30.80
6,8,4,5,28.53,22.64
6,30,0,4,23.79,28.51
6,31,4,0,32.18,30.50
6,37,4,5,32.05,24.77
7,3,4,1,33.69,27.25
7,9,0,4,21.73,26.55
7,12,5,1,38.38,18.14
7,18,0,1,36.28,30.09
8,33,0,3,10.54,16.58
8,40,0,1,41.38,36.35
8,45,1,0,43.57,41.15
9,30,4,0,28.59,31.70
9,31,0,1,36.13,30.21
9,46,0,1,47.38,43.36
10,11,0,1,38.45,34.09
10,37,5,1,35.19,23.80
10,41,0,4,22.26,24.95
10,42,5,1,38.14,12.18
11,17,5,1,36.33,21.90
11,19,3,5,30.60,15.29
11,27,1,0,41.74,38.02
11,32,3,4,23.03,21.49
11,38,1,3,43.03,6.50
11,47,1,3,47.34,3.24
12,9,4,0,28.34,32.38
12,29,0,1,44.03,39.56
12,43,3,5,33.76,13.43
13,6,3,4,23.35,22.01
13,30,0,1,36.03,30.48
