step,ap_id,x,y,tx_power,channel,bandwidth,noise_floor,max_throughput,allocated_throughput,duty_cycle,num_clients,inc_energy_dbm
0,0,7.585225277079957,40.15119978080783,25.46966516458295,1,20,-95.0,150.0,120.35783339250288,0.8024,7,-34.75
0,1,41.59852958797104,17.342291066677298,21.464298953388816,6,20,-95.0,150.0,150.0,1.0000,15,-48.23
0,2,18.71940141105661,40.11145070833359,24.788245320438097,11,20,-95.0,150.0,150.0,1.0000,7,-36.10
1,0,7.585225277079957,40.15119978080783,25.46966516458295,1,20,-95.0,150.0,120.35783339250288,0.8024,7,-41.67
1,1,41.59852958797104,17.342291066677298,21.464298953388816,6,20,-95.0,150.0,150.0,1.0000,11,-47.30
1,2,18.71940141105661,40.11145070833359,24.788245320438097,11,20,-95.0,150.0,150.0,1.0000,11,-36.35
2,0,7.585225277079957,40.15119978080783,25.46966516458295,1,20,-95.0,150.0,120.35783339250288,0.8024,7,-45.01
2,1,41.59852958797104,17.342291066677298,21.464298953388816,6,20,-95.0,150.0,150.0,1.0000,11,-47.02
2,2,18.71940141105661,40.11145070833359,24.788245320438097,11,20,-95.0,150.0,150.0,1.0000,11,-40.17
3,0,7.585225277079957,40.15119978080783,25.46966516458295,1,20,-95.0,150.0,76.84556227757999,0.5123,4,-47.45
3,1,41.59852958797104,17.342291066677298,21.464298953388816,6,20,-95.0,150.0,150.0,1.0000,12,-46.20
3,2,18.71940141105661,40.11145070833359,24.788245320438097,11,20,-95.0,150.0,150.0,1.0000,13,-43.53
4,0,7.585225277079957,40.15119978080783,25.46966516458295,1,20,-95.0,150.0,33.72196658666802,0.2248,2,-49.06
4,1,41.59852958797104,17.342291066677298,21.464298953388816,6,20,-95.0,150.0,150.0,1.0000,12,-45.11
4,2,18.71940141105661,40.11145070833359,24.788245320438097,11,20,-95.0,150.0,150.00000000000003,1.0000,15,-44.47
5,0,7.585225277079957,40.15119978080783,25.46966516458295,1,20,-95.0,150.0,11.879050414577435,0.0792,1,-50.26
5,1,41.59852958797104,17.342291066677298,21.464298953388816,6,20,-95.0,150.0,150.0,1.0000,13,-43.44
5,2,18.71940141105661,40.11145070833359,24.788245320438097,11,20,-95.0,150.0,150.0,1.0000,15,-43.44
6,0,7.585225277079957,40.15119978080783,25.46966516458295,1,20,-95.0,150.0,11.879050414577435,0.0792,1,-51.07
6,1,41.59852958797104,17.342291066677298,21.464298953388816,6,20,-95.0,150.0,150.0,1.0000,13,-41.80
6,2,18.71940141105661,40.11145070833359,24.788245320438097,11,20,-95.0,150.0,150.0,1.0000,15,-41.35
7,0,7.585225277079957,40.15119978080783,25.46966516458295,1,20,-95.0,150.0,0.0,0.0000,0,-51.76
7,1,41.59852958797104,17.342291066677298,21.464298953388816,6,20,-95.0,150.0,150.0,1.0000,14,-39.67
7,2,18.71940141105661,40.11145070833359,24.788245320438097,11,20,-95.0,150.0,150.0,1.0000,15,-39.73
8,0,7.585225277079957,40.15119978080783,25.46966516458295,1,20,-95.0,150.0,0.0,0.0000,0,-52.20
8,1,41.59852958797104,17.342291066677298,21.464298953388816,6,20,-95.0,150.0,150.0,1.0000,15,-37.50
8,2,18.71940141105661,40.11145070833359,24.788245320438097,11,20,-95.0,150.0,149.99999999999997,1.0000,14,-40.09
9,0,7.585225277079957,40.15119978080783,25.46966516458295,1,20,-95.0,150.0,0.0,0.0000,0,-52.52
9,1,41.59852958797104,17.342291066677298,21.464298953388816,6,20,-95.0,150.0,150.0,1.0000,15,-35.53
9,2,18.71940141105661,40.11145070833359,24.788245320438097,11,20,-95.0,150.0,149.99999999999997,1.0000,14,-37.94
10,0,7.585225277079957,40.15119978080783,25.46966516458295,1,20,-95.0,150.0,0.0,0.0000,0,-52.82
10,1,41.59852958797104,17.342291066677298,21.464298953388816,6,20,-95.0,150.0,150.0,1.0000,16,-34.47
10,2,18.71940141105661,40.11145070833359,24.788245320438097,11,20,-95.0,150.0,150.00000000000003,1.0000,13,-33.83
11,0,7.585225277079957,40.15119978080783,25.46966516458295,1,20,-95.0,150.0,0.0,0.0000,0,-53.08
11,1,41.59852958797104,17.342291066677298,21.464298953388816,6,20,-95.0,150.0,150.0,1.0000,17,-34.82
11,2,18.71940141105661,40.11145070833359,24.788245320438097,11,20,-95.0,150.0,150.0,1.0000,12,-27.34
12,0,7.585225277079957,40.15119978080783,25.46966516458295,1,20,-95.0,150.0,0.0,0.0000,0,-53.28
