step,ap_id,x,y,tx_power,channel,bandwidth,noise_floor,max_throughput,allocated_throughput,duty_cycle,num_clients,inc_energy_dbm
0,0,13.0,25.764178609236687,28.480374390527494,1,20,-95.0,150.0,137.06653342229694,0.9138,7,-48.21
0,1,21.0,28.199372764957815,22.433989666786573,6,20,-95.0,150.0,150.0,1.0000,10,-42.19
0,2,29.0,24.59008619706117,26.708813332869887,11,20,-95.0,150.0,96.82038067658388,0.6455,5,-45.78
0,3,37.0,20.627127546046896,22.02161730046099,1,20,-95.0,150.0,26.82534197600193,0.1788,1,-47.45
1,0,13.0,25.764178609236687,28.480374390527494,1,20,-95.0,150.0,150.0,1.0000,10,-47.94
1,1,21.0,28.199372764957815,22.433989666786573,6,20,-95.0,150.0,55.052775209152486,0.3670,3,-41.66
1,2,29.0,24.59008619706117,26.708813332869887,11,20,-95.0,150.0,149.99999999999997,1.0000,9,-46.26
1,3,37.0,20.627127546046896,22.02161730046099,1,20,-95.0,150.0,8.662820205521161,0.0578,1,-44.59
2,0,13.0,25.764178609236687,28.480374390527494,1,20,-95.0,150.0,150.0,1.0000,10,-47.45
2,1,21.0,28.199372764957815,22.433989666786573,6,20,-95.0,150.0,48.314584310810574,0.3221,2,-41.55
2,2,29.0,24.59008619706117,26.708813332869887,11,20,-95.0,150.0,150.0,1.0000,10,-46.51
2,3,37.0,20.627127546046896,22.02161730046099,1,20,-95.0,150.0,8.662820205521161,0.0578,1,-35.01
3,0,13.0,25.764178609236687,28.480374390527494,1,20,-95.0,150.0,150.0,1.0000,9,-47.58
3,1,21.0,28.199372764957815,22.433989666786573,6,20,-95.0,150.0,48.314584310810574,0.3221,2,-42.80
3,2,29.0,24.59008619706117,26.708813332869887,11,20,-95.0,150.0,150.00000000000003,1.0000,11,-46.48
3,3,37.0,20.627127546046896,22.02161730046099,1,20,-95.0,150.0,8.662820205521161,0.0578,1,-24.54
4,0,13.0,25.764178609236687,28.480374390527494,1,20,-95.0,150.0,150.0,1.0000,9,-47.99
4,1,21.0,28.199372764957815,22.433989666786573,6,20,-95.0,150.0,48.314584310810574,0.3221,2,-43.18
4,2,29.0,24.59008619706117,26.708813332869887,11,20,-95.0,150.0,150.00000000000003,1.0000,11,-46.18
4,3,37.0,20.627127546046896,22.02161730046099,1,20,-95.0,150.0,8.662820205521161,0.0578,1,-41.84
5,0,13.0,25.764178609236687,28.480374390527494,1,20,-95.0,150.0,150.0,1.0000,8,-48.96
5,1,21.0,28.199372764957815,22.433989666786573,6,20,-95.0,150.0,9.580094068130867,0.0639,1,-42.54
5,2,29.0,24.59008619706117,26.708813332869887,11,20,-95.0,150.0,150.0,1.0000,13,-45.45
5,3,37.0,20.627127546046896,22.02161730046099,1,20,-95.0,150.0,8.662820205521161,0.0578,1,-45.70
6,0,13.0,25.764178609236687,28.480374390527494,1,20,-95.0,150.0,118.01723949335074,0.7868,6,-49.63
6,1,21.0,28.199372764957815,22.433989666786573,6,20,-95.0,150.0,9.580094068130867,0.0639,1,-37.33
6,2,29.0,24.59008619706117,26.708813332869887,11,20,-95.0,150.0,150.0,1.0000,14,-44.01
6,3,37.0,20.627127546046896,22.02161730046099,1,20,-95.0,150.0,38.47181502559775,0.2565,2,-46.65
7,0,13.0,25.764178609236687,28.480374390527494,1,20,-95.0,150.0,103.94026972300937,0.6929,5,-50.03
7,1,21.0,28.199372764957815,22.433989666786573,6,20,-95.0,150.0,9.580094068130867,0.0639,1,-19.31
7,2,29.0,24.59008619706117,26.708813332869887,11,20,-95.0,150.0,150.0,1.0000,15,-41.69
7,3,37.0,20.627127546046896,22.02161730046099,1,20,-95.0,150.0,38.47181502559775,0.2565,2,-46.88
8,0,13.0,25.764178609236687,28.480374390527494,1,20,-95.0,150.0,103.94026972300937,0.6929,5,-50.32
8,1,21.0,28.199372764957815,22.433989666786573,6,20,-95.0,150.0,9.580094068130867,0.0639,1,-40.17
8,2,29.0,24.59008619706117,26.708813332869887,11,20,-95.0,150.0,150.0,1.0000,15,-38.78
8,3,37.0,20.627127546046896,22.02161730046099,1,20,-95.0,150.0,38.47181502559775,0.2565,2,-46.63
9,0,13.0,25.764178609236687,28.480374390527494,1,20,-95.0,150.0,71.06203040422167,0.4737,3,-50.49
9,1,21.0,28.199372764957815,22.433989666786573,6,20,-95.0,150.0,9.580094068130867,0.0639,1,-43.46
9,2,29.0,24.59008619706117,26.708813332869887,11,20,-95.0,150.0,150.00000000000003,1.0000,17,-36.63
9,3,37.0,20.627127546046896,22.02161730046099,1,20,-95.0,150.0,38.47181502559775,0.2565,2,-46.05
10,0,13.0,25.764178609236687,28.480374390527494,1,20,-95.0,150.0,71.06203040422167,0.4737,3,-50.63
