step,client_id,x,y,associated_ap,demand_mbps,sinr_db,max_rate_mbps,throughput_mbps,airtime_fraction,velocity,direction
0,0,6.43,31.72,3,31.25,-1.33,15.92,15.86,0.1057,0.88,0.00
0,1,5.64,18.63,3,13.99,1.32,24.71,13.93,0.0929,1.28,0.00
0,2,29.75,24.03,3,34.17,23.71,157.63,34.04,0.2269,1.10,0.00
0,3,6.29,6.56,3,7.95,1.51,25.44,7.92,0.0528,1.04,0.00
0,4,10.16,37.17,3,13.22,-3.38,10.91,10.87,0.0725,1.60,0.00
0,5,32.62,24.37,3,9.71,13.25,89.37,9.67,0.0645,1.50,0.00
0,6,32.65,41.60,0,13.14,14.37,96.54,13.14,1.0000,1.45,0.00
0,7,20.11,22.98,3,9.52,8.31,59.20,9.48,0.0632,1.15,0.00
0,8,44.14,8.54,1,26.39,4.36,37.98,26.39,1.0000,1.39,0.00
0,9,36.20,29.71,2,13.02,13.29,89.62,13.02,0.5935,1.84,0.00
0,10,15.51,35.86,3,14.59,-2.82,12.12,12.08,0.0805,0.52,0.00
0,11,28.61,21.05,3,7.55,14.82,99.41,7.52,0.0502,1.95,0.00
0,12,27.33,29.72,3,28.73,12.86,86.88,28.62,0.1908,1.77,0.00
0,13,41.87,41.06,2,8.92,8.61,60.91,8.92,0.4065,1.35,0.00
1,0,7.23,31.43,4,31.25,4.71,39.69,15.92,0.4192,0.86,5.93
1,1,6.93,19.13,3,13.99,1.60,25.81,13.99,0.1373,1.38,0.37
1,2,30.86,23.82,3,34.17,19.09,127.21,34.17,0.3353,1.13,6.10
1,3,7.24,6.47,3,7.95,1.66,26.03,7.95,0.0780,0.96,6.19
1,4,11.65,36.84,0,13.22,2.71,30.38,10.91,0.4736,1.53,6.07
1,5,34.10,24.32,1,9.71,12.60,85.27,9.71,0.2689,1.48,6.25
1,6,34.11,41.69,4,13.14,23.01,153.02,13.14,0.3459,1.45,0.06
1,7,21.28,23.13,3,9.52,9.64,67.00,9.52,0.0934,1.18,0.13
1,8,45.55,8.46,1,26.39,3.91,35.81,26.39,0.7311,1.40,6.23
1,9,37.93,29.93,2,13.02,14.56,97.73,13.02,1.0000,1.75,0.13
1,10,16.00,35.77,0,14.59,2.24,28.38,12.12,0.5264,0.50,6.09
1,11,30.44,21.77,3,7.55,14.55,97.65,7.55,0.0741,1.97,0.37
1,12,28.97,30.26,3,28.73,11.20,76.49,28.73,0.2819,1.73,0.32
1,13,43.13,41.45,4,8.92,13.61,91.67,8.92,0.2349,1.32,0.30
2,0,7.88,30.93,4,31.25,4.60,39.14,31.25,0.5862,0.82,5.62
2,1,8.36,19.30,3,13.99,1.99,27.38,13.99,0.1482,1.44,0.12
2,2,31.96,23.54,3,34.17,14.32,96.20,34.17,0.3621,1.14,6.03
2,3,8.21,6.09,3,7.95,1.79,26.57,7.95,0.0843,1.04,5.91
2,4,13.08,36.76,0,13.22,2.75,30.56,13.22,0.4754,1.43,6.22
2,5,35.54,24.06,1,9.71,18.23,121.54,9.71,0.2224,1.46,6.10
2,6,35.57,41.53,4,13.14,30.42,202.10,13.14,0.2465,1.47,6.17
2,7,22.36,23.70,3,9.52,11.15,76.20,9.52,0.1009,1.21,0.49
2,8,46.86,8.29,1,26.39,3.45,33.66,26.39,0.6046,1.32,6.15
2,9,39.64,29.96,2,13.02,14.69,98.57,13.02,1.0000,1.70,0.02
2,10,16.53,35.83,0,14.59,2.31,28.68,14.59,0.5246,0.53,0.11
2,11,32.44,21.73,1,7.55,11.66,79.38,7.55,0.1730,2.00,6.27
2,12,30.63,30.40,3,28.73,9.39,65.50,28.73,0.3044,1.66,0.08
2,13,44.25,42.03,4,8.92,12.89,87.09,8.92,0.1673,1.26,0.48
3,0,8.34,30.26,4,31.25,4.44,38.37,31.25,0.5862,0.81,5.32
3,1,9.76,19.53,3,13.99,2.42,29.14,13.99,0.2324,1.42,0.17
3,2,32.94,23.13,1,34.17,11.46,78.13,34.17,0.4391,1.06,5.89
3,3,9.23,5.74,3,7.95,1.93,27.13,7.95,0.1321,1.08,5.95
3,4,14.56,36.60,0,13.22,2.76,30.60,13.22,0.4754,1.49,6.18
3,5,37.08,24.32,1,9.71,18.70,124.60,9.71,0.1247,1.56,0.17
3,6,37.05,41.22,4,13.14,26.24,174.42,13.14,0.2465,1.51,6.08
3,7,23.47,23.89,3,9.52,13.04,88.02,9.52,0.1582,1.13,0.17
3,8,48.03,7.70,1,26.39,2.94,31.39,26.39,0.3391,1.32,5.81
3,9,41.30,29.76,2,13.02,13.86,93.26,13.02,1.0000,1.68,6.16
3,10,17.01,36.07,0,14.59,2.55,29.68,14.59,0.5246,0.54,0.46
3,11,34.41,21.59,1,7.55,20.27,134.93,7.55,0.0970,1.98,6.21
3,12,32.24,30.22,3,28.73,7.71,55.72,28.73,0.4773,1.62,6.18
3,13,45.51,42.27,4,8.92,12.07,81.93,8.92,0.1673,1.28,0.19
4,0,8.53,29.50,4,31.25,4.26,37.48,31.25,0.5862,0.78,4.95
4,1,11.01,20.05,3,13.99,2.82,30.86,13.99,0.2324,1.36,0.39
4,2,34.03,23.11,1,34.17,15.96,106.73,34.17,0.4391,1.09,6.26
4,3,10.05,5.16,3,7.95,2.02,27.46,7.95,0.1321,1.01,5.67
4,4,15.90,36.14,0,13.22,2.53,29.60,13.22,0.4754,1.41,5.96
4,5,38.70,24.01,1,9.71,17.23,115.01,9.71,0.1247,1.66,6.09
4,6,38.62,41.21,4,13.14,20.56,136.83,13.14,0.2465,1.57,6.28
4,7,24.62,24.33,3,9.52,15.60,104.45,9.52,0.1582,1.23,0.36
4,8,48.97,6.81,1,26.39,2.49,29.43,26.39,0.3391,1.29,5.52
4,9,42.96,29.78,2,13.02,13.23,89.23,13.02,1.0000,1.66,0.01
4,10,17.51,36.45,0,14.59,2.94,31.39,14.59,0.5246,0.62,0.67
4,11,36.27,21.05,1,7.55,32.32,214.72,7.55,0.0970,1.93,6.00
4,12,33.76,29.69,3,28.73,6.56,49.37,28.73,0.4773,1.61,5.95
4,13,46.74,42.51,4,8.92,11.38,77.65,8.92,0.1673,1.25,0.20
5,0,9.00,28.82,3,31.25,0.13,20.42,31.25,0.3417,0.83,5.32
5,1,12.42,20.40,3,13.99,3.35,33.24,13.99,0.1530,1.45,0.24
5,2,35.13,23.03,1,34.17,21.76,144.76,34.17,0.4391,1.10,6.21
5,3,10.77,4.36,3,7.95,2.05,27.62,7.95,0.0870,1.07,5.45
5,4,17.40,36.16,0,13.22,2.66,30.17,13.22,0.4754,1.50,0.01
5,5,40.31,23.99,1,9.71,12.90,87.15,9.71,0.1247,1.61,6.27
5,6,40.21,41.65,4,13.14,17.19,114.77,13.14,0.5956,1.65,0.27
5,7,25.63,25.14,3,9.52,18.95,126.24,9.52,0.1041,1.30,0.68
5,8,50.00,6.33,1,26.39,2.12,27.91,26.39,0.3391,1.25,3.53
5,9,44.54,30.04,2,13.02,12.79,86.42,13.02,1.0000,1.60,0.16
5,10,17.89,36.97,0,14.59,3.47,33.76,14.59,0.5246,0.64,0.93
5,11,37.95,20.06,1,7.55,23.13,153.80,7.55,0.0970,1.96,5.75
5,12,35.27,29.02,3,28.73,5.30,42.68,28.73,0.3142,1.65,5.87
5,13,48.07,42.54,4,8.92,10.68,73.33,8.92,0.4044,1.33,0.02
6,0,9.36,28.17,3,31.25,0.44,21.51,20.42,0.3936,0.75,5.22
6,1,13.79,20.25,3,13.99,3.98,36.15,13.99,0.2696,1.38,6.17
6,2,36.23,23.25,1,34.17,26.09,173.43,34.17,0.4391,1.11,0.20
6,3,11.67,3.91,3,7.95,2.14,27.97,7.95,0.1533,1.01,5.82
6,4,18.95,36.16,0,13.22,2.84,30.96,13.22,0.4754,1.55,0.00
