step,source_ap,dest_ap,weight,interference_dbm,distance
0,0,1,0.0220,-40.92,5.12
0,0,2,0.0000,-32.62,2.71
0,0,3,0.5000,-39.27,4.52
0,0,4,0.0220,-46.37,7.78
0,0,5,0.0000,-47.73,8.64
0,0,6,0.5000,-46.68,7.97
0,1,0,0.0231,-42.56,5.12
0,1,2,0.0231,-39.04,3.91
0,1,3,0.0231,-41.50,4.73
0,1,4,0.4728,-54.30,12.63
0,1,5,0.0231,-39.67,4.11
0,1,6,0.0231,-49.29,8.60
0,2,0,0.0000,-31.95,2.71
0,2,1,0.0220,-36.73,3.91
0,2,3,0.0000,-42.10,5.91
0,2,4,0.0220,-49.36,10.32
0,2,5,0.5000,-46.03,7.99
0,2,6,0.0000,-41.82,5.78
0,3,0,0.5306,-41.93,4.52
0,3,1,0.0233,-42.53,4.73
0,3,2,0.0000,-45.44,5.91
0,3,4,0.0224,-51.59,9.47
0,3,5,0.0000,-45.49,5.94
0,3,6,0.4766,-54.32,11.69
0,4,0,0.0308,-46.34,7.78
0,4,1,0.6669,-52.65,12.63
0,4,2,0.0308,-50.01,10.32
0,4,3,0.0308,-48.90,9.47
0,4,5,0.0279,-55.14,15.29
0,4,6,0.0286,-54.01,14.02
0,5,0,0.0000,-47.33,8.64
0,5,1,0.0258,-37.64,4.11
0,5,2,0.5866,-46.31,7.99
0,5,3,0.0000,-42.43,5.94
0,5,4,0.0232,-54.76,15.29
0,5,6,0.0000,-52.10,12.46
0,6,0,0.7000,-45.74,7.97
0,6,1,0.0308,-46.73,8.60
0,6,2,0.0000,-41.56,5.78
0,6,3,0.6909,-50.73,11.69
0,6,4,0.0291,-53.10,14.02
0,6,5,0.0000,-51.57,12.46
1,0,1,0.0220,-40.92,5.12
1,0,2,0.0000,-32.62,2.71
1,0,3,0.5000,-39.27,4.52
1,0,4,0.0220,-46.37,7.78
1,0,5,0.0000,-47.73,8.64
1,0,6,0.5000,-46.68,7.97
1,1,0,0.0220,-42.56,5.12
1,1,2,0.0220,-39.04,3.91
1,1,3,0.0220,-41.50,4.73
1,1,4,0.4462,-54.30,12.63
1,1,5,0.0220,-39.67,4.11
1,1,6,0.0220,-49.29,8.60
1,2,0,0.0000,-31.95,2.71
1,2,1,0.0220,-36.73,3.91
1,2,3,0.0000,-42.10,5.91
1,2,4,0.0220,-49.36,10.32
1,2,5,0.5000,-46.03,7.99
1,2,6,0.0000,-41.82,5.78
1,3,0,0.5306,-41.93,4.52
1,3,1,0.0233,-42.53,4.73
1,3,2,0.0000,-45.44,5.91
1,3,4,0.0224,-51.59,9.47
1,3,5,0.0000,-45.49,5.94
1,3,6,0.4766,-54.32,11.69
1,4,0,0.0308,-46.34,7.78
1,4,1,0.6669,-52.65,12.63
1,4,2,0.0308,-50.01,10.32
1,4,3,0.0308,-48.90,9.47
1,4,5,0.0279,-55.14,15.29
1,4,6,0.0286,-54.01,14.02
1,5,0,0.0000,-47.33,8.64
1,5,1,0.0269,-37.64,4.11
1,5,2,0.6132,-46.31,7.99
1,5,3,0.0000,-42.43,5.94
1,5,4,0.0243,-54.76,15.29
1,5,6,0.0000,-52.10,12.46
1,6,0,0.7000,-45.74,7.97
1,6,1,0.0308,-46.73,8.60
1,6,2,0.0000,-41.56,5.78
1,6,3,0.6909,-50.73,11.69
1,6,4,0.0291,-53.10,14.02
1,6,5,0.0000,-51.57,12.46
2,0,1,0.0220,-40.92,5.12
2,0,2,0.0000,-32.62,2.71
2,0,3,0.5000,-39.27,4.52
2,0,4,0.0220,-46.37,7.78
2,0,5,0.0000,-47.73,8.64
2,0,6,0.5000,-46.68,7.97
2,1,0,0.0220,-42.56,5.12
2,1,2,0.0220,-39.04,3.91
2,1,3,0.0220,-41.50,4.73
2,1,4,0.4462,-54.30,12.63
2,1,5,0.0220,-39.67,4.11
2,1,6,0.0220,-49.29,8.60
2,2,0,0.0000,-31.95,2.71
2,2,1,0.0220,-36.73,3.91
2,2,3,0.0000,-42.10,5.91
2,2,4,0.0220,-49.36,10.32
2,2,5,0.5000,-46.03,7.99
2,2,6,0.0000,-41.82,5.78
2,3,0,0.5396,-41.93,4.52
2,3,1,0.0237,-42.53,4.73
2,3,2,0.0000,-45.44,5.91
2,3,4,0.0228,-51.59,9.47
2,3,5,0.0000,-45.49,5.94
2,3,6,0.4856,-54.32,11.69
2,4,0,0.0308,-46.34,7.78
2,4,1,0.6669,-52.65,12.63
2,4,2,0.0308,-50.01,10.32
2,4,3,0.0308,-48.90,9.47
2,4,5,0.0279,-55.14,15.29
2,4,6,0.0286,-54.01,14.02
2,5,0,0.0000,-47.33,8.64
2,5,1,0.0269,-37.64,4.11
2,5,2,0.6132,-46.31,7.99
2,5,3,0.0000,-42.43,5.94
2,5,4,0.0243,-54.76,15.29
2,5,6,0.0000,-52.10,12.46
2,6,0,0.7000,-45.74,7.97
2,6,1,0.0308,-46.73,8.60
2,6,2,0.0000,-41.56,5.78
2,6,3,0.6909,-50.73,11.69
2,6,4,0.0291,-53.10,14.02
2,6,5,0.0000,-51.57,12.46
3,0,1,0.0225,-40.92,5.12
3,0,2,0.0000,-32.62,2.71
3,0,3,0.5115,-39.27,4.52
3,0,4,0.0225,-46.37,7.78
3,0,5,0.0000,-47.73,8.64
3,0,6,0.5115,-46.68,7.97
3,1,0,0.0220,-42.56,5.12
