step,client_id,x,y,associated_ap,demand_mbps,sinr_db,max_rate_mbps,throughput_mbps,airtime_fraction,velocity,direction
0,0,20.36,38.44,1,27.41,12.75,86.19,27.41,0.2401,1.81,0.00
0,1,44.14,18.86,0,34.64,26.98,179.33,34.64,0.4315,1.66,0.00
0,2,6.05,16.90,3,11.32,8.27,58.95,11.32,0.1933,1.83,0.00
0,3,6.45,6.20,3,24.87,5.57,44.05,24.87,0.4245,1.73,0.00
0,4,8.10,9.04,3,22.39,8.57,60.67,22.39,0.3822,0.86,0.00
0,5,34.75,38.63,1,34.62,9.27,64.80,34.62,0.3032,1.87,0.00
0,6,24.71,17.51,1,10.37,20.43,135.97,10.37,0.0908,1.80,0.00
0,7,21.65,34.61,1,32.56,14.49,97.31,32.56,0.2852,1.49,0.00
0,8,44.79,34.83,0,16.45,14.34,96.32,16.45,0.2049,1.39,0.00
0,9,37.11,27.51,0,29.18,15.63,104.62,29.18,0.3636,0.63,0.00
0,10,16.40,29.11,1,9.21,14.94,100.18,9.21,0.0807,1.75,0.00
1,0,22.13,38.34,1,27.41,12.79,86.44,27.41,0.3445,1.76,6.23
1,1,45.68,18.59,0,34.64,25.44,169.08,34.64,0.3015,1.56,6.11
1,2,7.83,17.56,3,11.32,9.75,67.66,11.32,0.1933,1.90,0.35
1,3,8.10,6.51,3,24.87,6.50,49.00,24.87,0.4245,1.68,0.19
1,4,8.94,9.00,3,22.39,9.18,64.31,22.39,0.3822,0.85,6.23
1,5,36.65,38.31,0,34.62,11.11,76.00,34.62,0.3013,1.93,6.12
1,6,26.45,16.79,1,10.37,17.44,116.39,10.37,0.1304,1.88,5.89
1,7,23.22,34.78,1,32.56,14.41,96.76,32.56,0.4093,1.58,0.11
1,8,46.17,35.09,0,16.45,14.41,96.78,16.45,0.1432,1.40,0.19
1,9,37.67,27.49,0,29.18,16.05,107.36,29.18,0.2540,0.57,6.24
1,10,18.23,29.30,1,9.21,16.18,108.20,9.21,0.1158,1.84,0.10
2,0,23.80,38.29,1,27.41,12.69,85.83,27.41,0.3445,1.68,6.25
2,1,47.25,18.27,0,34.64,24.00,159.60,34.64,0.3015,1.60,6.08
2,2,9.80,17.66,3,11.32,12.01,81.57,11.32,0.1933,1.97,0.05
2,3,9.53,7.38,3,24.87,7.94,57.04,24.87,0.4245,1.67,0.54
2,4,9.83,8.94,3,22.39,9.81,68.03,22.39,0.3822,0.89,6.21
2,5,38.53,37.92,0,34.62,11.83,80.41,34.62,0.3013,1.92,6.08
2,6,28.22,16.51,1,10.37,13.92,93.66,10.37,0.1304,1.80,6.12
2,7,24.72,35.51,1,32.56,13.84,93.13,32.56,0.4093,1.67,0.45
2,8,47.51,35.64,0,16.45,14.34,96.29,16.45,0.1432,1.45,0.39
2,9,38.22,27.34,0,29.18,16.53,110.43,29.18,0.2540,0.57,6.02
2,10,20.01,29.80,1,9.21,17.06,113.90,9.21,0.1158,1.85,0.27
3,0,25.39,38.61,1,27.41,12.34,83.63,27.41,0.3962,1.62,0.20
3,1,48.77,18.11,0,34.64,22.71,151.07,34.64,0.2765,1.53,6.18
3,2,11.72,17.19,3,11.32,15.66,104.79,11.32,0.1933,1.98,6.04
3,3,10.91,8.33,3,24.87,9.78,67.84,24.87,0.4245,1.68,0.60
3,4,10.60,9.15,3,22.39,10.66,73.21,22.39,0.3822,0.80,0.27
3,5,40.47,37.44,0,34.62,12.52,84.77,34.62,0.2764,2.00,6.04
