step,client_id,from_ap,to_ap,client_x,client_y
0,0,,4,24.29,6.44
0,1,,3,9.92,13.23
0,2,,5,31.96,23.48
0,3,,5,26.15,23.67
0,4,,5,39.22,35.24
0,5,,4,24.82,19.12
0,6,,3,15.53,26.28
0,7,,4,28.60,19.32
0,8,,5,23.64,23.01
0,9,,5,29.89,26.96
0,10,,2,24.17,44.11
0,11,,1,8.97,36.15
0,12,,0,40.42,11.44
0,13,,2,27.28,40.91
0,14,,5,40.45,30.78
0,15,,3,15.50,24.88
0,16,,3,9.32,11.54
0,17,,4,24.87,7.84
0,18,,4,21.57,10.17
0,19,,4,34.52,17.71
0,20,,2,17.69,40.68
0,21,,3,7.72,12.88
0,22,,4,10.32,6.33
0,23,,0,40.72,11.04
0,24,,2,23.97,44.81
0,25,,3,15.57,22.89
0,26,,5,43.54,27.87
0,27,,1,13.11,35.49
0,28,,4,24.39,5.10
0,29,,5,44.67,26.31
0,30,,1,8.82,42.72
0,31,,1,12.68,40.26
0,32,,5,32.44,34.89
0,33,,5,38.88,38.06
0,34,,5,43.11,39.59
0,35,,5,36.56,41.11
0,36,,5,24.05,22.45
0,37,,1,11.32,37.28
0,38,,3,9.09,11.81
0,39,,2,29.81,39.08
0,40,,0,43.79,11.98
0,41,,5,36.67,32.35
0,42,,0,37.95,19.98
0,43,,5,34.49,37.03
0,44,,3,13.34,27.24
0,45,,3,19.10,25.19
0,46,,0,42.60,17.54
0,47,,4,16.14,13.77
0,48,,5,29.54,36.95
1,7,4,5,30.31,19.77
1,19,4,0,36.39,17.92
1,26,5,0,44.43,28.03
1,29,5,0,46.25,26.64
1,35,5,2,37.45,41.41
1,45,3,2,20.25,25.36
1,48,5,2,30.22,36.83
2,6,3,2,19.28,27.13
2,16,3,4,12.61,11.42
2,48,2,5,30.96,36.55
3,0,4,0,30.02,5.17
3,1,3,4,15.30,13.39
3,25,3,4,20.65,19.97
3,31,1,2,17.16,41.35
3,34,5,0,47.26,37.59
3,44,3,2,18.85,25.38
4,14,5,0,42.72,30.53
4,15,3,2,22.43,21.33
4,28,4,0,28.12,2.62
5,3,5,0,33.25,20.34
5,15,2,4,23.93,20.01
5,27,1,2,17.10,38.36
5,38,3,4,14.53,13.63
5,44,2,3,20.93,22.11
5,45,2,5,24.75,26.00
6,2,5,0,34.82,22.22
6,36,5,0,31.85,19.85
6,44,3,4,22.26,20.66
7,30,1,2,18.34,46.75
8,4,5,2,44.76,39.98
8,9,5,0,41.30,28.39
8,11,1,2,16.23,32.67
8,32,5,0,42.26,27.34
8,41,5,0,44.07,31.65
8,43,5,0,45.14,34.87
9,5,4,0,30.58,18.09
9,6,2,5,29.97,34.72
9,33,5,0,46.03,36.73
9,34,0,5,43.91,35.65
10,15,4,0,31.94,15.01
10,25,4,0,32.32,12.92
10,29,0,5,41.53,29.29
10,37,1,2,17.21,41.34
12,1,4,0,31.08,19.30
12,17,4,0,30.69,10.11
12,18,4,0,31.77,16.56
13,1,0,5,31.99,21.06
13,7,5,2,34.30,39.27
13,20,2,5,27.64,33.32
13,27,2,1,16.87,45.41
14,6,5,2,36.61,40.45
14,9,0,5,45.27,35.50
14,16,4,5,29.06,20.89
14,24,2,0,48.74,40.17
14,44,4,0,31.57,8.73
16,38,4,5,24.32,21.06
17,8,5,0,44.91,33.20
17,9,5,2,44.65,39.90
17,26,0,2,46.94,41.00
17,35,2,0,49.65,46.01
18,19,0,2,48.37,44.73
18,23,0,5,31.08,21.55
18,47,4,0,31.40,15.43
19,22,4,0,30.38,5.61
19,46,0,4,30.23,19.05
20,1,5,0,42.94,29.33
20,33,0,2,47.45,42.29
20,34,5,2,27.08,33.97
20,35,0,2,49.29,47.14
20,46,4,5,29.02,19.88
20,48,5,0,43.77,32.40
21,24,0,5,43.57,32.23
22,29,5,4,26.86,19.76
23,10,2,0,50.00,47.26
23,23,5,2,23.38,27.60
24,10,0,2,48.77,47.36
25,46,5,2,23.47,23.38
26,3,0,5,37.42,25.05
26,19,2,0,47.34,40.25
