step,source_ap,dest_ap,weight,interference_dbm,distance
23,0,1,0.0214,-52.86,6.98
23,0,2,0.0000,-60.80,12.83
23,1,0,0.0308,-47.54,6.98
23,1,2,0.0271,-56.66,14.05
23,2,0,0.0000,-56.09,12.83
23,2,1,0.0268,-57.27,14.05
24,0,1,0.0227,-52.86,6.98
24,0,2,0.0000,-60.80,12.83
24,1,0,0.0308,-47.54,6.98
24,1,2,0.0271,-56.66,14.05
24,2,0,0.0000,-56.09,12.83
24,2,1,0.0268,-57.27,14.05
25,0,1,0.0227,-52.86,6.98
25,0,2,0.0000,-60.80,12.83
25,1,0,0.0308,-47.54,6.98
25,1,2,0.0271,-56.66,14.05
25,2,0,0.0000,-56.09,12.83
25,2,1,0.0268,-57.27,14.05
26,0,1,0.0228,-52.86,6.98
26,0,2,0.0000,-60.80,12.83
26,1,0,0.0308,-47.54,6.98
26,1,2,0.0271,-56.66,14.05
26,2,0,0.0000,-56.09,12.83
26,2,1,0.0268,-57.27,14.05
27,0,1,0.0254,-52.86,6.98
27,0,2,0.0000,-60.80,12.83
27,1,0,0.0308,-47.54,6.98
27,1,2,0.0271,-56.66,14.05
27,2,0,0.0000,-56.09,12.83
27,2,1,0.0268,-57.27,14.05
28,0,1,0.0254,-52.86,6.98
28,0,2,0.0000,-60.80,12.83
28,1,0,0.0308,-47.54,6.98
28,1,2,0.0271,-56.66,14.05
28,2,0,0.0000,-56.09,12.83
28,2,1,0.0268,-57.27,14.05
29,0,1,0.0254,-52.86,6.98
29,0,2,0.0000,-60.80,12.83
29,1,0,0.0308,-47.54,6.98
29,1,2,0.0271,-56.66,14.05
29,2,0,0.0000,-56.09,12.83
29,2,1,0.0268,-57.27,14.05
30,0,1,0.0261,-52.86,6.98
30,0,2,0.0000,-60.80,12.83
30,1,0,0.0308,-47.54,6.98
30,1,2,0.0271,-56.66,14.05
30,2,0,0.0000,-56.09,12.83
30,2,1,0.0268,-57.27,14.05
31,0,1,0.0273,-52.86,6.98
31,0,2,0.0000,-60.80,12.83
31,1,0,0.0308,-47.54,6.98
31,1,2,0.0271,-56.66,14.05
31,2,0,0.0000,-56.09,12.83
31,2,1,0.0268,-57.27,14.05
32,0,1,0.0282,-52.86,6.98
32,0,2,0.0000,-60.80,12.83
32,1,0,0.0308,-47.54,6.98
32,1,2,0.0271,-56.66,14.05
32,2,0,0.0000,-56.09,12.83
32,2,1,0.0268,-57.27,14.05
33,0,1,0.0282,-52.86,6.98
33,0,2,0.0000,-60.80,12.83
33,1,0,0.0308,-47.54,6.98
33,1,2,0.0271,-56.66,14.05
33,2,0,0.0000,-56.09,12.83
33,2,1,0.0268,-57.27,14.05
34,0,1,0.0254,-52.86,6.98
34,0,2,0.0000,-60.80,12.83
34,1,0,0.0308,-47.54,6.98
34,1,2,0.0271,-56.66,14.05
34,2,0,0.0000,-56.09,12.83
34,2,1,0.0268,-57.27,14.05
35,0,1,0.0245,-52.86,6.98
35,0,2,0.0000,-60.80,12.83
35,1,0,0.0308,-47.54,6.98
35,1,2,0.0271,-56.66,14.05
35,2,0,0.0000,-56.09,12.83
35,2,1,0.0268,-57.27,14.05
36,0,1,0.0245,-52.86,6.98
36,0,2,0.0000,-60.80,12.83
36,1,0,0.0308,-47.54,6.98
36,1,2,0.0271,-56.66,14.05
36,2,0,0.0000,-56.09,12.83
36,2,1,0.0268,-57.27,14.05
37,0,1,0.0225,-52.86,6.98
37,0,2,0.0000,-60.80,12.83
37,1,0,0.0308,-47.54,6.98
37,1,2,0.0271,-56.66,14.05
37,2,0,0.0000,-56.09,12.83
37,2,1,0.0268,-57.27,14.05
38,0,1,0.0225,-52.86,6.98
38,0,2,0.0000,-60.80,12.83
38,1,0,0.0308,-47.54,6.98
38,1,2,0.0271,-56.66,14.05
38,2,0,0.0000,-56.09,12.83
38,2,1,0.0268,-57.27,14.05
39,0,1,0.0225,-52.86,6.98
39,0,2,0.0000,-60.80,12.83
39,1,0,0.0308,-47.54,6.98
39,1,2,0.0271,-56.66,14.05
39,2,0,0.0000,-56.09,12.83
39,2,1,0.0268,-57.27,14.05
40,0,1,0.0216,-52.86,6.98
40,0,2,0.0000,-60.80,12.83
40,1,0,0.0308,-47.54,6.98
40,1,2,0.0271,-56.66,14.05
40,2,0,0.0000,-56.09,12.83
40,2,1,0.0268,-57.27,14.05
41,0,1,0.0217,-52.86,6.98
41,0,2,0.0000,-60.80,12.83
41,1,0,0.0308,-47.54,6.98
41,1,2,0.0271,-56.66,14.05
41,2,0,0.0000,-56.09,12.83
41,2,1,0.0268,-57.27,14.05
42,0,1,0.0235,-52.86,6.98
42,0,2,0.0000,-60.80,12.83
42,1,0,0.0308,-47.54,6.98
42,1,2,0.0271,-56.66,14.05
42,2,0,0.0000,-56.09,12.83
42,2,1,0.0268,-57.27,14.05
43,0,1,0.0235,-52.86,6.98
43,0,2,0.0000,-60.80,12.83
43,1,0,0.0308,-47.54,6.98
43,1,2,0.0271,-56.66,14.05
43,2,0,0.0000,-56.09,12.83
43,2,1,0.0268,-57.27,14.05
44,0,1,0.0235,-52.86,6.98
44,0,2,0.0000,-60.80,12.83
44,1,0,0.0308,-47.54,6.98
44,1,2,0.0271,-56.66,14.05
44,2,0,0.0000,-56.09,12.83
44,2,1,0.0268,-57.27,14.05
45,0,1,0.0248,-52.86,6.98
45,0,2,0.0000,-60.80,12.83
45,1,0,0.0308,-47.54,6.98
45,1,2,0.0271,-56.66,14.05
45,2,0,0.0000,-56.09,12.83
45,2,1,0.0268,-57.27,14.05
46,0,1,0.0248,-52.86,6.98
46,0,2,0.0000,-60.80,12.83
46,1,0,0.0308,-47.54,6.98
46,1,2,0.0271,-56.66,14.05
46,2,0,0.0000,-56.09,12.83
46,2,1,0.0268,-57.27,14.05
47,0,1,0.0243,-52.86,6.98
47,0,2,0.0000,-60.80,12.83
47,1,0,0.0308,-47.54,6.98
47,1,2,0.0271,-56.66,14.05
47,2,0,0.0000,-56.09,12.83
47,2,1,0.0268,-57.27,14.05
48,0,1,0.0243,-52.86,6.98
48,0,2,0.0000,-60.80,12.83
48,1,0,0.0308,-47.54,6.98
48,1,2,0.0271,-56.66,14.05
48,2,0,0.0000,-56.09,12.83
