step,client_id,from_ap,to_ap,client_x,client_y
0,0,,3,41.34,11.94
0,1,,3,31.77,9.97
0,2,,3,38.13,31.47
0,3,,3,33.75,10.60
0,4,,0,11.53,40.95
0,5,,0,11.93,35.43
0,6,,2,37.05,37.80
0,7,,0,8.32,36.54
0,8,,1,21.05,32.16
0,9,,0,20.01,13.25
0,10,,1,23.87,24.88
0,11,,3,34.01,8.60
0,12,,1,17.39,35.92
0,13,,3,42.49,35.21
0,14,,2,25.16,9.78
0,15,,3,43.51,20.15
0,16,,2,23.88,18.85
0,17,,0,18.13,16.61
0,18,,3,44.90,34.74
0,19,,0,15.35,8.67
0,20,,1,20.41,35.50
0,21,,0,7.07,23.86
0,22,,0,10.05,10.79
0,23,,1,16.70,41.60
0,24,,1,22.00,18.73
0,25,,3,35.49,13.75
0,26,,2,25.23,19.20
0,27,,3,37.48,36.10
0,28,,0,15.77,12.40
0,29,,3,32.47,13.81
0,30,,3,31.11,13.37
0,31,,1,15.99,41.37
0,32,,1,19.51,19.45
0,33,,2,33.97,39.31
0,34,,0,15.65,22.49
0,35,,3,44.16,44.08
0,36,,3,40.13,6.68
0,37,,1,21.45,42.98
0,38,,2,28.06,21.54
0,39,,0,6.39,31.44
0,40,,3,42.73,37.57
0,41,,3,29.05,12.82
0,42,,3,39.95,38.48
0,43,,0,20.02,12.45
0,44,,0,10.83,21.97
0,45,,0,7.83,42.46
0,46,,3,39.16,15.65
0,47,,3,32.56,12.01
1,4,0,1,12.75,40.90
1,6,2,3,37.98,37.95
1,9,0,1,21.07,13.48
1,14,2,3,26.99,9.73
1,16,2,3,25.57,18.87
1,17,0,1,19.80,15.98
1,19,0,1,16.16,8.82
1,26,2,3,26.80,18.83
1,33,2,3,35.04,39.35
1,38,2,3,29.48,22.03
1,43,0,1,20.64,12.43
2,5,0,1,15.75,34.46
2,10,1,2,27.59,25.61
2,28,0,1,17.06,12.56
2,34,0,1,18.10,21.40
3,9,1,3,23.02,13.23
3,45,0,1,11.56,42.73
4,10,2,3,31.19,25.18
4,17,1,3,25.00,14.79
4,43,1,3,22.16,11.72
5,44,0,1,18.02,20.57
6,24,1,3,26.46,20.18
7,21,0,1,18.04,24.13
7,32,1,3,27.10,20.66
8,39,0,1,17.79,29.87
9,5,1,2,29.08,35.85
9,20,1,2,30.14,36.50
9,34,1,3,26.35,18.12
10,12,1,3,32.24,42.09
11,5,2,3,32.87,34.75
11,20,2,3,32.29,36.48
11,28,1,3,20.34,7.92
11,37,1,3,31.79,46.58
11,44,1,3,26.21,17.61
12,7,0,1,14.75,36.77
12,19,1,3,22.54,11.91
12,21,1,2,26.77,25.39
13,22,0,1,16.67,11.34
15,21,2,3,32.61,25.31
15,31,1,3,31.77,43.22
15,39,1,2,26.21,24.25
17,39,2,3,28.42,22.34
17,42,3,2,32.25,29.91
18,4,1,3,31.97,47.29
19,23,1,3,31.74,49.31
19,46,3,2,28.92,23.70
20,45,1,3,32.58,44.79
22,15,3,2,32.55,32.39
22,42,2,1,24.89,24.02
22,46,2,1,25.06,28.06
