step,client_id,from_ap,to_ap,client_x,client_y
0,0,,0,7.87,12.58
0,1,,2,19.25,29.61
0,2,,1,29.39,11.66
0,3,,1,30.60,5.60
0,4,,2,22.55,15.95
0,5,,4,32.79,38.59
0,6,,2,27.28,21.20
0,7,,1,42.68,16.03
0,8,,2,27.97,28.64
0,9,,2,16.04,29.92
0,10,,2,33.14,19.86
0,11,,3,9.71,38.54
0,12,,3,13.90,34.53
0,13,,4,36.22,36.77
0,14,,1,42.73,20.70
0,15,,0,5.13,19.34
0,16,,3,10.70,37.47
0,17,,2,24.47,24.04
0,18,,2,35.79,27.65
0,19,,1,38.91,16.65
0,20,,1,42.08,20.63
0,21,,2,22.42,19.27
0,22,,2,32.81,30.41
0,23,,0,12.04,15.25
0,24,,2,23.65,34.73
2,18,2,4,37.97,27.35
2,22,2,4,34.84,30.78
3,10,2,1,36.15,20.18
6,8,2,4,32.79,32.22
6,23,0,2,16.27,19.29
6,24,2,4,29.88,35.50
7,6,2,1,34.50,18.64
9,21,2,1,32.18,17.17
10,15,0,2,13.86,22.11
11,17,2,1,34.28,17.96
11,18,4,1,47.29,24.69
13,16,3,2,22.22,37.00
13,21,1,2,34.97,20.72
16,7,1,4,45.07,25.02
16,12,3,4,25.02,43.93
16,23,2,3,15.90,31.28
17,11,3,2,22.05,36.89
18,16,2,4,25.92,39.36
18,19,1,4,49.26,25.16
21,21,2,4,35.40,29.73
23,0,0,1,25.23,2.49
23,9,2,1,27.23,11.87
24,22,4,1,48.09,24.79
25,4,2,4,31.45,33.88
25,8,4,3,24.86,46.65
26,11,2,4,28.21,37.63
27,9,1,0,24.54,7.86
27,23,3,4,25.39,44.47
29,1,2,1,39.54,24.32
32,14,1,2,30.58,15.76
33,20,1,2,32.06,17.61
34,15,2,4,32.17,33.28
35,23,4,3,24.90,43.58
36,2,1,2,28.82,14.01
38,24,4,2,31.57,32.65
40,14,2,0,21.78,11.95
43,23,3,2,18.59,32.49
47,4,4,3,24.48,42.39
47,6,1,2,30.48,15.74
47,10,1,2,38.04,23.62
49,5,4,2,38.46,26.24
50,10,2,4,38.41,27.76
51,20,2,0,23.06,11.69
53,11,4,1,43.75,24.77
53,23,2,0,18.95,15.83
54,21,4,2,31.81,32.71
55,4,3,2,20.33,34.79
55,13,4,3,24.62,43.43
55,24,2,3,15.33,30.81
56,22,1,0,24.30,3.74
57,21,2,4,35.62,29.65
59,7,4,1,48.01,24.45
60,14,0,3,5.73,25.62
62,19,4,3,24.70,46.83
63,12,4,2,37.31,27.53
65,1,1,2,38.89,25.12
65,3,1,0,24.73,5.93
65,6,2,0,13.66,20.68
65,21,4,1,48.29,24.72
66,22,0,1,25.72,7.18
68,9,0,1,25.08,8.51
