step,source_ap,dest_ap,weight,interference_dbm,distance
0,0,1,0.0237,-52.15,12.52
0,0,2,0.0000,-45.69,7.62
0,0,3,0.4897,-56.20,17.08
0,0,4,0.0249,-47.83,8.99
0,1,0,0.0207,-58.98,12.52
0,1,2,0.0176,-64.48,19.09
0,1,3,0.0207,-58.81,12.36
0,1,4,0.3826,-65.99,21.43
0,2,0,0.0000,-53.99,7.62
0,2,1,0.0163,-65.95,19.09
0,2,3,0.0000,-69.28,24.66
0,2,4,0.0236,-52.66,6.88
0,3,0,0.4512,-58.86,17.08
0,3,1,0.0221,-54.64,12.36
0,3,2,0.0000,-63.65,24.66
0,3,4,0.0176,-62.93,23.33
0,4,0,0.0214,-53.03,8.99
0,4,1,0.3458,-64.35,21.43
0,4,2,0.0231,-49.56,6.88
0,4,3,0.0146,-65.46,23.33
1,0,1,0.0287,-52.15,12.52
1,0,2,0.0000,-45.69,7.62
1,0,3,0.6033,-56.20,17.08
1,0,4,0.0299,-47.83,8.99
1,1,0,0.0198,-58.98,12.52
1,1,2,0.0168,-64.48,19.09
1,1,3,0.0199,-58.81,12.36
1,1,4,0.3642,-65.99,21.43
1,2,0,0.0000,-53.99,7.62
1,2,1,0.0132,-65.95,19.09
1,2,3,0.0000,-69.28,24.66
1,2,4,0.0205,-52.66,6.88
1,3,0,0.4512,-58.86,17.08
1,3,1,0.0221,-54.64,12.36
1,3,2,0.0000,-63.65,24.66
1,3,4,0.0176,-62.93,23.33
1,4,0,0.0203,-53.03,8.99
1,4,1,0.3206,-64.35,21.43
1,4,2,0.0220,-49.56,6.88
1,4,3,0.0135,-65.46,23.33
2,0,1,0.0296,-52.15,12.52
2,0,2,0.0000,-45.69,7.62
2,0,3,0.6225,-56.20,17.08
2,0,4,0.0308,-47.83,8.99
2,1,0,0.0188,-58.98,12.52
2,1,2,0.0158,-64.48,19.09
2,1,3,0.0189,-58.81,12.36
2,1,4,0.3404,-65.99,21.43
2,2,0,0.0000,-53.99,7.62
2,2,1,0.0132,-65.95,19.09
2,2,3,0.0000,-69.28,24.66
2,2,4,0.0205,-52.66,6.88
2,3,0,0.4512,-58.86,17.08
2,3,1,0.0221,-54.64,12.36
2,3,2,0.0000,-63.65,24.66
2,3,4,0.0176,-62.93,23.33
2,4,0,0.0203,-53.03,8.99
2,4,1,0.3206,-64.35,21.43
2,4,2,0.0220,-49.56,6.88
2,4,3,0.0135,-65.46,23.33
3,0,1,0.0296,-52.15,12.52
