step,client_id,from_ap,to_ap,client_x,client_y
0,0,,2,34.01,24.09
0,1,,1,23.29,6.70
0,2,,2,40.90,9.17
0,3,,2,30.92,21.88
0,4,,1,31.40,15.76
0,5,,1,11.33,17.07
0,6,,2,12.57,43.85
0,7,,1,5.67,19.64
0,8,,1,6.83,38.49
0,9,,2,23.93,31.97
0,10,,1,7.80,33.03
0,11,,2,35.14,22.89
0,12,,1,8.67,43.22
0,13,,1,26.75,15.63
0,14,,1,29.13,22.28
1,1,1,0,25.01,6.29
1,2,2,3,42.44,9.57
1,3,2,3,32.23,22.11
1,4,1,3,32.21,15.95
1,6,2,3,13.66,43.93
1,8,1,3,7.36,38.40
1,11,2,3,35.70,22.74
1,12,1,3,10.55,43.27
1,14,1,3,30.81,22.24
3,0,2,3,35.68,23.89
3,13,1,3,30.52,17.38
5,1,0,3,32.15,4.85
5,3,3,2,36.32,25.34
7,10,1,2,21.06,33.44
9,12,3,2,25.54,40.01
10,3,2,3,39.58,30.15
12,5,1,3,29.51,21.83
13,5,3,2,30.88,22.44
15,5,2,3,33.72,22.57
18,10,2,3,41.36,32.36
19,2,3,0,31.77,0.95
19,6,3,2,35.95,39.51
19,12,2,3,40.41,30.06
24,9,2,3,33.85,23.19
26,6,2,3,39.65,29.50
27,1,3,1,30.11,10.63
32,1,1,0,20.95,8.22
32,13,3,2,38.67,32.68
35,7,1,3,30.37,19.77
35,9,3,1,29.63,16.78
38,12,3,2,38.10,27.30
40,10,3,1,30.53,11.31
45,10,1,0,21.43,8.15
47,5,3,0,31.55,1.13
49,3,3,2,39.12,34.28
49,6,3,1,29.64,18.50
49,12,2,3,25.30,40.93
56,4,3,0,29.62,6.27
57,13,2,1,20.07,31.61
58,0,3,1,30.02,7.77
58,1,0,1,18.78,11.57
59,3,2,3,36.33,24.50
59,4,0,1,27.20,7.20
59,9,1,0,6.61,18.47
63,2,0,1,2.05,26.35
65,12,3,1,12.73,35.36
66,1,1,3,30.87,13.67
67,4,1,0,20.54,8.82
67,6,1,0,0.44,24.90
69,0,1,0,15.26,11.05
69,6,0,1,1.97,25.33
69,9,0,1,4.90,21.09
69,14,3,2,38.57,36.66
71,3,3,1,30.67,14.03
72,10,0,1,18.63,11.82
73,3,1,3,31.20,11.97
75,11,3,2,32.28,22.97
75,12,1,0,6.21,17.47
76,7,3,2,39.32,29.53
76,13,1,0,0.86,26.50
77,2,1,2,20.93,32.21
77,5,0,1,8.17,18.01
79,6,1,3,19.77,32.96
79,13,0,1,2.07,25.30
80,6,3,2,21.77,33.07
80,14,2,1,19.83,32.44
83,10,1,2,21.66,30.87
84,11,2,1,25.48,26.18
87,6,2,3,30.56,42.33
88,10,2,3,21.44,39.88
89,2,2,3,37.56,39.55
90,11,1,2,21.90,30.96
91,0,0,1,11.39,16.21
91,14,1,0,7.40,15.53
93,5,1,2,24.40,28.67
95,4,0,1,3.63,23.52
97,6,3,2,30.53,41.94
97,11,2,3,20.59,36.00
102,7,2,1,26.38,24.32
104,0,1,2,23.77,30.09
104,10,3,2,20.36,32.32
104,12,0,3,32.26,3.31
105,9,1,2,25.75,27.41
106,5,2,3,39.64,29.01
106,6,2,1,23.12,28.76
106,13,1,3,29.85,20.13
109,0,2,3,20.51,35.78
114,14,0,1,5.73,20.48
117,2,3,2,38.53,34.70
117,10,2,3,39.80,27.12
118,8,3,2,37.63,37.49
119,6,1,0,12.04,12.83
123,9,2,3,40.12,35.32
124,4,1,3,20.03,32.56
125,4,3,2,20.61,31.99
125,14,1,3,14.64,36.29
126,5,3,2,38.62,32.44
129,7,1,0,10.47,15.03
130,2,2,3,21.03,38.70
130,11,3,1,9.14,35.78
132,14,3,2,26.07,40.35
134,14,2,3,29.34,42.31
138,1,3,2,24.45,38.80
138,5,2,1,26.45,24.94
140,6,0,3,31.51,6.47
140,12,3,2,31.98,23.62
143,8,2,3,38.71,27.22
145,1,2,3,36.03,41.79
146,0,3,1,12.69,35.82
148,4,2,3,37.35,25.72
153,12,2,1,20.83,31.38
154,5,1,0,10.40,14.66
154,10,3,0,29.75,5.90
155,9,3,1,29.53,16.54
156,11,1,0,12.93,13.40
158,3,3,1,3.59,35.34
158,14,3,2,37.61,26.43
160,2,3,1,9.29,36.61
161,6,3,2,38.69,29.35
163,0,1,0,14.69,11.07
164,14,2,1,27.04,22.69
168,8,3,2,37.68,37.46
168,12,1,0,0.00,26.35
169,9,1,0,15.36,11.54
169,12,0,1,1.64,25.78
170,6,2,1,25.81,23.88
174,14,1,0,13.25,13.27
178,0,0,3,33.01,2.13
178,5,0,1,25.32,7.57
180,3,1,0,27.92,5.92
182,6,1,0,16.48,11.05
183,3,0,3,32.35,1.95
184,5,1,3,30.73,16.60
184,8,2,3,24.06,40.48
186,12,1,2,27.12,25.38
188,11,0,1,10.35,16.73
189,14,0,1,9.71,16.67
192,2,1,0,0.55,26.39
193,10,0,1,20.58,10.24
194,12,2,3,39.11,27.70
195,2,0,1,0.41,28.16
201,14,1,3,17.16,35.23
202,0,3,2,35.37,24.79
202,6,0,1,18.12,10.44
203,10,1,3,31.14,18.87
206,1,3,2,21.54,32.86
208,0,2,1,25.48,24.27
210,13,3,1,7.96,36.41
214,1,2,1,28.68,21.71
214,4,3,1,30.41,10.81
216,1,1,3,30.16,18.69
218,14,3,2,22.67,36.21
220,12,3,1,29.65,14.06
221,2,1,2,22.13,31.30
221,5,3,2,39.28,32.18
222,0,1,0,2.02,24.42
222,4,1,0,24.64,7.40
222,14,2,1,23.01,28.31
223,7,0,1,25.24,7.84
225,0,0,1,1.96,25.30
225,3,3,2,27.43,41.20
226,11,1,3,31.97,15.32
229,5,2,1,26.92,24.04
229,9,0,1,14.18,12.93
230,14,1,3,30.93,16.24
231,4,0,1,18.34,10.30
233,3,2,1,23.32,27.38
235,6,1,3,18.96,33.82
236,0,1,2,22.15,30.52
236,2,2,3,36.45,40.77
240,5,1,0,8.95,14.97
240,10,3,1,29.86,10.55
241,8,3,2,20.71,33.64
243,3,1,0,16.68,10.46
244,8,2,1,20.93,31.20
244,11,3,2,38.52,30.42
244,12,1,3,2.34,37.84
246,0,2,3,36.09,41.18
247,13,1,3,16.22,35.10
248,9,1,3,30.15,20.29
252,14,3,2,38.35,29.75
254,1,3,0,31.26,0.00
254,7,1,2,22.18,30.70
254,11,2,3,24.48,41.41
256,3,0,1,17.45,12.62
257,5,0,1,21.13,10.33
261,7,2,3,20.63,35.93
262,10,1,3,5.29,37.56
263,14,2,3,23.00,40.09
264,5,1,3,30.59,18.76
267,3,1,2,25.28,29.22
267,5,3,2,33.34,23.08
268,11,3,1,16.96,33.81
270,12,3,2,23.64,38.20
271,5,2,3,38.93,26.71
273,2,3,1,29.76,11.44
273,4,1,0,0.43,26.15
274,13,3,2,25.80,40.61
276,4,0,1,1.45,26.19
278,1,0,1,4.88,23.32
278,3,2,3,39.64,30.75
278,8,1,0,0.13,27.52
279,11,1,0,10.84,13.21
280,2,1,0,18.69,10.01
280,8,0,1,0.71,27.06
281,0,3,1,2.06,36.14
283,14,3,1,3.78,36.54
286,12,2,3,38.58,27.27
287,13,2,1,22.14,29.50
288,8,1,0,3.22,22.63
290,1,1,2,22.16,30.81
290,5,3,2,37.50,37.82
296,0,1,2,23.93,28.74
300,10,3,2,37.57,37.55
302,0,2,3,33.32,22.47
302,11,0,1,19.71,10.23
303,1,2,3,39.45,28.83
304,5,2,3,20.59,37.12
305,13,1,0,15.51,10.92
306,2,0,1,13.70,14.36
308,4,1,2,24.26,28.03
309,9,3,2,34.06,40.85
310,10,2,1,23.89,25.78
310,11,1,3,29.95,21.77
311,11,3,2,30.46,23.68
311,14,1,0,29.78,5.95
313,6,3,2,34.11,40.89
314,0,3,0,31.83,1.11
314,14,0,3,31.71,3.04
318,0,0,3,30.92,5.73
321,11,2,3,26.43,41.91
322,10,1,0,1.76,24.68
323,4,2,3,35.14,23.30
325,2,1,3,8.39,37.49
325,10,0,1,1.75,28.14
326,6,2,3,18.93,33.49
327,6,3,1,17.81,32.53
327,9,2,3,21.61,37.49
331,5,3,1,5.53,36.67
336,8,0,1,9.81,16.65
339,10,1,2,25.84,27.64
339,11,3,1,7.90,36.31
341,6,1,0,5.72,19.51
343,1,3,1,30.40,9.87
344,9,3,1,8.84,36.29
346,5,1,0,0.31,26.05
346,11,1,3,0.00,36.69
347,13,0,1,14.00,13.22
349,5,0,1,2.25,24.87
349,10,2,3,39.22,37.49
350,7,3,1,11.07,35.93
350,14,3,1,30.06,14.51
352,0,3,2,34.03,40.53
355,2,3,1,11.34,35.75
359,9,1,0,0.08,27.90
363,0,2,1,24.75,27.20
363,2,1,2,21.02,32.45
363,4,3,0,30.39,5.46
363,8,1,3,12.40,36.28
364,14,1,0,11.91,13.66
367,9,0,1,3.50,23.11
370,13,1,3,16.89,34.61
372,0,1,3,31.85,13.65
372,5,1,3,30.84,8.13
372,10,3,2,38.98,33.51
373,3,3,2,34.01,23.94
375,1,1,3,6.19,36.99
377,2,2,3,37.92,39.01
378,12,3,2,37.34,37.17
379,0,3,0,30.38,1.25
380,6,0,1,8.46,18.43
381,7,1,0,9.01,16.01
382,10,2,1,25.96,24.44
383,11,3,2,32.18,41.04
386,0,0,1,26.44,8.75
388,14,0,1,16.66,11.84
389,11,2,3,39.92,32.78
390,4,0,1,28.69,6.88
391,6,1,2,25.31,27.13
393,4,1,3,31.02,8.73
396,0,1,2,26.07,25.94
396,1,3,1,5.66,35.53
396,10,1,0,13.51,11.95
398,12,2,3,20.76,36.67
399,2,3,2,35.30,39.32
400,6,2,3,39.28,35.09
400,13,3,2,22.00,37.61
401,9,1,2,26.03,25.99
403,14,1,3,30.39,19.48
404,3,2,3,25.30,41.07
408,0,2,3,39.44,38.44
410,7,0,1,6.66,19.84
412,6,3,2,38.83,33.13
412,11,3,0,29.51,4.37
413,2,2,1,23.98,28.15
413,10,0,1,5.84,21.58
416,1,1,0,19.00,8.53
420,2,1,3,29.61,22.21
420,6,2,1,26.05,24.98
423,0,3,2,36.84,38.23
423,9,2,3,35.96,40.69
427,13,2,3,35.78,24.07
429,10,1,2,25.21,26.85
430,0,2,3,26.60,41.75
431,6,1,3,9.16,37.86
432,14,3,2,38.77,32.33
435,5,3,1,30.66,9.70
438,5,1,0,28.65,6.33
442,1,0,1,6.06,20.32
442,12,3,1,1.56,36.26
445,8,3,2,25.08,40.25
446,7,1,0,1.58,24.79
446,10,2,3,40.53,34.16
448,11,0,1,20.67,9.84
449,4,3,1,30.46,9.50
450,6,3,1,11.71,36.00
450,14,2,3,21.03,38.18
452,1,1,3,10.17,37.21
453,4,1,0,26.86,6.85
454,3,3,2,21.33,35.56
454,11,1,3,30.79,14.56
462,0,3,1,8.69,36.53
462,6,1,0,7.82,16.97
468,3,2,1,24.34,27.42
468,10,3,2,38.43,27.46
470,0,1,3,17.66,34.89
474,0,3,2,21.74,37.12
475,8,2,3,39.86,35.32
476,11,3,0,31.44,0.33
478,5,0,1,20.39,10.46
480,10,2,1,25.82,25.22
485,5,1,3,32.21,13.91
485,6,0,1,20.15,10.38
488,0,2,3,37.42,39.70
495,4,0,1,11.98,15.36
498,3,1,0,24.52,7.23
498,8,3,2,39.40,31.64
500,6,1,3,15.04,35.24
502,2,3,1,28.22,21.43
502,12,1,3,18.82,33.35
504,1,3,1,12.74,35.87
504,11,0,1,18.36,10.57
506,7,0,1,19.30,10.40
508,11,1,0,24.98,7.46
509,8,2,3,33.23,41.46
510,4,1,0,23.12,7.92
510,10,1,3,1.64,37.23
517,9,3,2,34.67,23.95
517,11,0,1,29.32,7.33
518,2,1,0,7.48,17.18
519,6,3,1,9.42,35.80
519,13,3,2,38.98,29.84
521,3,0,3,31.67,3.69
522,11,1,3,31.01,16.17
532,13,2,3,33.89,23.01
533,1,1,0,27.07,6.26
534,2,0,1,14.81,13.64
536,6,1,3,31.80,13.00
536,9,2,3,20.12,35.78
537,4,0,1,23.35,8.10
537,7,1,3,29.57,20.57
537,10,3,1,0.74,35.31
539,13,3,1,29.84,18.91
540,9,3,1,16.17,33.60
541,1,0,1,29.76,6.59
543,1,1,3,31.01,9.90
544,2,1,2,29.23,22.59
548,5,3,1,2.87,36.16
551,2,2,3,40.66,29.10
558,4,1,0,13.76,12.81
562,14,3,2,33.72,40.88
565,10,1,2,23.48,29.60
565,11,3,2,37.62,28.02
566,0,3,0,32.21,0.77
566,7,3,1,30.25,8.65
569,6,3,2,29.04,23.42
573,5,1,3,31.49,12.74
573,9,1,2,22.62,30.97
574,1,3,1,29.78,18.51
576,14,2,3,32.44,21.30
577,10,2,3,40.49,31.15
578,11,2,3,21.20,36.92
580,0,0,1,17.64,10.76
580,6,2,3,25.61,41.79
580,14,3,1,29.84,15.60
582,1,1,0,16.66,11.07
582,9,2,3,32.77,42.53
586,14,1,0,26.51,6.73
589,3,3,0,32.22,0.00
591,2,3,2,39.34,33.15
592,6,3,2,21.90,36.45
593,10,3,2,35.65,38.89
594,4,0,1,3.00,23.87
594,9,3,2,36.01,38.69
595,3,0,3,31.63,3.13
595,6,2,1,20.19,30.96
596,0,1,2,21.39,31.52
597,7,1,3,29.82,21.04
597,14,0,1,20.53,9.25
599,8,3,2,34.30,40.81
600,7,3,2,30.84,22.63
600,10,2,3,25.68,41.93
601,2,2,3,26.89,41.54
601,13,1,2,27.69,23.87
605,0,2,3,25.86,41.12
605,1,0,1,17.29,12.53
606,13,2,3,31.18,22.23
607,6,1,0,21.59,7.49
607,8,2,3,24.23,40.51
607,9,2,1,25.25,25.43
608,11,3,1,0.32,35.57
610,12,3,1,18.42,33.38
610,14,1,0,4.27,21.28
613,1,1,3,29.97,20.12
615,7,2,3,39.96,31.42
615,8,3,1,16.12,33.71
615,14,0,1,1.66,25.74
616,1,3,2,34.46,23.51
617,6,0,1,25.19,8.97
617,10,3,1,15.81,33.90
618,1,2,3,37.86,25.19
618,12,1,2,22.75,29.75
621,9,1,0,14.48,10.85
622,11,1,0,7.98,17.48
622,13,3,1,30.54,8.90
625,13,1,0,28.84,6.44
626,4,1,3,29.20,21.48
629,14,1,2,27.01,24.75
630,3,3,1,30.18,8.87
630,10,1,0,5.59,18.13
631,1,3,2,39.47,33.49
631,4,3,2,33.18,23.18
632,8,1,0,15.11,11.27
632,14,2,3,32.05,22.48
637,11,0,1,25.78,7.51
638,11,1,0,27.16,6.90
638,12,2,3,37.91,38.84
639,7,3,2,37.74,37.91
641,1,2,3,21.84,38.70
641,11,0,3,31.32,5.39
643,0,3,1,7.51,36.77
643,6,1,3,5.87,37.72
648,8,0,1,21.03,10.32
650,10,0,1,17.37,11.43
651,3,1,0,9.30,15.66
653,14,3,2,37.33,26.10
655,4,2,3,31.19,42.47
658,9,0,1,14.30,12.64
659,7,2,1,22.69,28.87
660,5,3,2,39.15,29.76
660,8,1,2,26.77,25.56
660,10,1,3,29.30,21.58
661,10,3,2,30.06,22.74
663,1,3,1,12.00,35.66
663,5,2,3,38.62,26.41
664,0,1,0,16.55,9.58
667,14,2,3,22.39,38.52
668,2,3,2,35.99,39.29
668,3,0,1,5.31,21.61
668,11,3,0,32.41,0.00
669,8,2,3,38.85,26.51
672,10,2,3,40.19,31.48
675,13,0,1,9.49,16.69
680,2,2,1,18.89,32.91
680,4,3,1,18.65,32.89
681,7,1,0,9.81,14.91
682,1,1,0,7.35,17.89
682,6,3,2,37.79,37.54
689,6,2,3,37.22,24.49
689,14,3,1,16.30,34.40
690,5,3,0,30.58,4.03
690,10,3,2,38.24,37.00
694,8,3,1,30.26,15.30
696,0,0,1,8.81,17.81
698,3,1,3,30.57,17.33
699,4,1,0,0.87,26.54
699,7,0,1,8.63,17.93
701,6,3,0,31.06,3.93
702,4,0,1,1.86,25.95
702,10,2,3,22.10,39.45
703,13,1,3,6.53,37.26
703,14,1,0,8.95,15.96
707,8,1,0,14.24,11.31
707,11,0,1,12.43,15.12
708,12,3,2,30.90,41.92
710,2,1,3,30.66,21.53
712,1,0,1,7.98,17.88
718,9,1,0,1.44,24.50
719,5,0,1,15.10,12.49
721,8,0,1,29.52,7.20
721,11,1,0,28.33,6.02
722,4,1,2,22.32,30.30
723,0,1,3,2.03,36.70
724,8,1,3,30.99,11.51
724,11,0,3,31.95,3.00
725,14,0,1,10.47,16.51
729,1,1,3,14.01,36.34
729,3,3,2,36.47,25.85
729,6,0,1,16.54,13.11
731,12,2,1,20.66,31.62
732,8,3,2,31.68,23.33
732,10,3,2,28.61,41.54
733,4,2,3,26.17,42.14
734,7,1,3,30.85,15.35
738,3,2,1,23.66,27.21
741,10,2,3,39.49,34.87
742,14,1,3,5.51,37.35
743,6,1,2,20.76,32.02
744,6,2,3,19.67,33.45
745,2,3,2,35.93,24.71
745,13,3,1,13.74,35.58
746,8,2,3,23.81,41.64
747,5,1,3,1.06,37.31
748,6,3,1,13.11,35.65
752,3,1,0,15.63,11.52
753,9,0,1,16.80,11.15
753,11,3,2,38.75,32.06
754,13,1,2,22.32,30.73
756,2,2,3,26.70,43.26
761,11,2,3,29.75,43.54
762,14,3,2,21.57,35.33
764,6,1,0,7.41,17.99
765,2,3,2,25.55,40.53
766,0,3,2,21.50,36.45
769,8,3,1,1.70,35.60
769,12,1,0,15.99,10.89
770,6,0,1,15.80,12.50
770,13,2,3,39.17,28.29
771,1,3,2,39.12,28.87
771,11,3,2,33.18,39.96
771,14,2,3,32.68,22.26
772,1,2,3,38.79,27.70
775,8,1,0,0.47,27.14
776,0,2,1,23.32,28.62
776,2,2,3,37.63,24.07
780,6,1,3,31.39,15.94
782,3,0,1,3.60,23.24
782,10,3,0,31.13,3.96
782,11,2,1,22.83,27.62
783,4,3,1,29.79,13.41
783,9,1,3,29.58,20.39
789,4,1,0,22.62,8.20
790,9,3,2,33.65,23.41
790,14,3,2,38.15,31.69
794,11,1,0,12.86,13.41
795,2,3,1,29.65,18.10
795,3,1,3,3.34,37.55
798,1,3,0,31.24,2.52
799,9,2,3,38.95,27.23
800,14,2,3,22.36,39.58
803,10,0,1,12.39,14.06
804,0,1,3,30.94,17.50
804,2,1,0,17.49,9.63
804,4,0,1,15.20,13.67
805,1,0,1,24.00,8.24
806,13,3,2,35.73,39.87
808,8,0,1,8.34,18.22
810,7,3,1,3.81,36.30
815,1,1,0,10.23,14.38
815,5,3,1,30.25,13.29
816,13,2,3,31.25,42.29
817,4,1,3,16.71,36.08
817,7,1,0,1.96,22.92
819,5,1,0,26.69,7.05
819,11,0,1,13.26,13.45
820,8,1,2,20.64,34.25
823,10,1,3,1.39,37.14
826,12,0,3,33.39,0.31
827,8,2,3,31.24,43.02
830,2,0,1,11.99,15.52
833,11,1,3,18.89,33.79
835,9,3,1,30.55,10.68
835,13,3,2,26.30,40.61
841,4,3,2,39.44,31.34
842,7,0,1,23.17,8.55
843,0,3,2,38.71,29.43
843,14,3,2,23.14,38.73
844,2,1,3,5.04,37.10
844,10,3,1,2.08,36.43
848,1,0,3,31.06,5.79
848,4,2,3,29.51,21.79
849,4,3,1,28.58,20.06
849,5,0,1,26.18,8.87
849,9,1,0,10.55,14.88
850,7,1,2,27.96,23.27
853,11,3,1,18.35,32.73
854,5,1,3,31.35,17.00
854,14,2,3,32.09,41.78
855,7,2,1,21.94,30.32
856,10,1,0,3.41,22.59
857,4,1,0,19.69,8.31
859,13,2,3,30.28,21.91
860,2,3,1,0.00,35.91
861,9,0,1,4.23,22.41
864,0,2,3,34.46,41.14
864,11,1,0,7.57,15.70
865,8,3,1,4.56,35.71
868,7,1,3,1.64,38.13
870,12,3,1,30.46,7.68
871,3,3,1,28.23,21.04
871,8,1,0,0.00,26.05
872,8,0,1,1.79,25.17
874,5,3,2,39.17,33.27
874,8,1,0,4.00,21.93
875,8,0,1,5.36,20.53
877,12,1,0,25.94,7.09
880,4,0,1,0.73,27.58
880,8,1,0,12.29,13.90
881,2,1,2,26.90,24.86
881,9,1,0,20.54,8.87
883,5,2,3,24.69,41.16
886,4,1,3,5.44,37.96
887,1,3,0,30.83,3.09
887,3,1,0,24.91,6.97
888,7,3,2,26.21,39.74
891,2,2,3,30.27,42.24
892,11,0,1,5.94,21.02
892,14,3,2,38.22,28.82
893,6,3,1,8.66,36.07
896,9,0,1,20.16,9.89
898,7,2,3,30.98,22.16
898,13,3,0,31.09,1.86
900,14,2,3,30.14,21.56
901,2,3,2,29.97,40.41
901,8,0,1,5.43,20.68
903,5,3,1,2.76,35.27
904,3,0,1,26.53,7.46
907,0,3,2,25.64,40.81
907,10,0,1,4.82,21.90
908,2,2,1,20.71,30.66
908,9,1,3,28.94,22.35
908,11,1,3,18.64,33.97
909,9,3,2,29.98,22.68
911,8,1,2,20.61,32.51
914,3,1,3,30.49,16.43
915,8,2,3,22.97,39.51
915,14,3,0,31.96,0.00
919,2,1,0,15.44,11.13
920,9,2,3,39.93,29.58
922,3,3,2,34.14,23.47
922,13,0,1,14.22,12.88
923,14,0,1,21.90,9.26
924,6,1,2,24.84,28.04
924,10,1,3,19.33,33.78
926,5,1,3,32.42,10.74
930,8,3,2,21.13,32.82
931,3,2,3,39.58,28.79
932,8,2,1,21.37,29.00
938,6,2,3,35.91,23.59
938,11,3,1,9.73,36.53
940,1,0,1,16.57,11.22
941,4,3,1,29.93,13.22
941,9,3,2,36.41,25.23
941,14,1,3,10.88,37.00
942,8,1,0,17.40,10.66
945,0,2,3,33.73,23.15
