step,source_ap,dest_ap,weight,interference_dbm,distance
0,0,1,0.0199,-58.70,15.81
0,0,2,0.0000,-50.79,8.61
0,0,3,0.4264,-60.91,18.74
0,0,4,0.0204,-57.93,14.90
0,1,0,0.0186,-56.80,15.81
0,1,2,0.0165,-60.51,21.02
0,1,3,0.0223,-35.19,3.01
0,1,4,0.5077,-49.40,8.96
0,2,0,0.0000,-48.04,8.61
0,2,1,0.0250,-59.66,21.02
0,2,3,0.0000,-61.39,24.01
0,2,4,0.0269,-56.19,16.11
0,3,0,0.5213,-57.79,18.74
0,3,1,0.0272,-33.97,3.01
0,3,2,0.0000,-61.02,24.01
0,3,4,0.0267,-50.92,11.06
0,4,0,0.0235,-63.22,14.90
0,4,1,0.6174,-56.59,8.96
0,4,2,0.0229,-64.23,16.11
0,4,3,0.0256,-59.33,11.06
1,0,1,0.0199,-58.70,15.81
1,0,2,0.0000,-50.79,8.61
1,0,3,0.4264,-60.91,18.74
1,0,4,0.0204,-57.93,14.90
1,1,0,0.0186,-56.80,15.81
1,1,2,0.0165,-60.51,21.02
1,1,3,0.0223,-35.19,3.01
1,1,4,0.5077,-49.40,8.96
1,2,0,0.0000,-48.04,8.61
1,2,1,0.0255,-59.66,21.02
1,2,3,0.0000,-61.39,24.01
1,2,4,0.0274,-56.19,16.11
1,3,0,0.5672,-57.79,18.74
1,3,1,0.0292,-33.97,3.01
1,3,2,0.0000,-61.02,24.01
1,3,4,0.0287,-50.92,11.06
1,4,0,0.0172,-63.22,14.90
1,4,1,0.4748,-56.59,8.96
1,4,2,0.0167,-64.23,16.11
1,4,3,0.0194,-59.33,11.06
2,0,1,0.0181,-58.70,15.81
2,0,2,0.0000,-50.79,8.61
2,0,3,0.3846,-60.91,18.74
2,0,4,0.0185,-57.93,14.90
2,1,0,0.0186,-56.80,15.81
2,1,2,0.0165,-60.51,21.02
2,1,3,0.0223,-35.19,3.01
2,1,4,0.5077,-49.40,8.96
2,2,0,0.0000,-48.04,8.61
2,2,1,0.0255,-59.66,21.02
2,2,3,0.0000,-61.39,24.01
2,2,4,0.0274,-56.19,16.11
2,3,0,0.5754,-57.79,18.74
2,3,1,0.0296,-33.97,3.01
2,3,2,0.0000,-61.02,24.01
2,3,4,0.0291,-50.92,11.06
2,4,0,0.0172,-63.22,14.90
2,4,1,0.4748,-56.59,8.96
2,4,2,0.0167,-64.23,16.11
2,4,3,0.0194,-59.33,11.06
3,0,1,0.0172,-58.70,15.81
3,0,2,0.0000,-50.79,8.61
3,0,3,0.3636,-60.91,18.74
3,0,4,0.0176,-57.93,14.90
3,1,0,0.0186,-56.80,15.81
3,1,2,0.0165,-60.51,21.02
3,1,3,0.0223,-35.19,3.01
3,1,4,0.5077,-49.40,8.96
3,2,0,0.0000,-48.04,8.61
3,2,1,0.0255,-59.66,21.02
3,2,3,0.0000,-61.39,24.01
3,2,4,0.0274,-56.19,16.11
3,3,0,0.5754,-57.79,18.74
3,3,1,0.0296,-33.97,3.01
3,3,2,0.0000,-61.02,24.01
3,3,4,0.0291,-50.92,11.06
3,4,0,0.0172,-63.22,14.90
3,4,1,0.4748,-56.59,8.96
3,4,2,0.0167,-64.23,16.11
3,4,3,0.0194,-59.33,11.06
4,0,1,0.0172,-58.70,15.81
4,0,2,0.0000,-50.79,8.61
4,0,3,0.3636,-60.91,18.74
4,0,4,0.0176,-57.93,14.90
4,1,0,0.0186,-56.80,15.81
4,1,2,0.0165,-60.51,21.02
4,1,3,0.0223,-35.19,3.01
4,1,4,0.5077,-49.40,8.96
4,2,0,0.0000,-48.04,8.61
4,2,1,0.0255,-59.66,21.02
4,2,3,0.0000,-61.39,24.01
4,2,4,0.0274,-56.19,16.11
4,3,0,0.5754,-57.79,18.74
4,3,1,0.0296,-33.97,3.01
4,3,2,0.0000,-61.02,24.01
4,3,4,0.0291,-50.92,11.06
4,4,0,0.0172,-63.22,14.90
4,4,1,0.4748,-56.59,8.96
4,4,2,0.0167,-64.23,16.11
4,4,3,0.0194,-59.33,11.06
5,0,1,0.0172,-58.70,15.81
5,0,2,0.0000,-50.79,8.61
5,0,3,0.3636,-60.91,18.74
5,0,4,0.0176,-57.93,14.90
5,1,0,0.0195,-56.80,15.81
5,1,2,0.0175,-60.51,21.02
5,1,3,0.0233,-35.19,3.01
5,1,4,0.5296,-49.40,8.96
5,2,0,0.0000,-48.04,8.61
5,2,1,0.0255,-59.66,21.02
5,2,3,0.0000,-61.39,24.01
5,2,4,0.0274,-56.19,16.11
5,3,0,0.5260,-57.79,18.74
5,3,1,0.0274,-33.97,3.01
5,3,2,0.0000,-61.02,24.01
5,3,4,0.0269,-50.92,11.06
5,4,0,0.0164,-63.22,14.90
5,4,1,0.4555,-56.59,8.96
5,4,2,0.0158,-64.23,16.11
5,4,3,0.0185,-59.33,11.06
6,0,1,0.0172,-58.70,15.81
6,0,2,0.0000,-50.79,8.61
6,0,3,0.3636,-60.91,18.74
6,0,4,0.0176,-57.93,14.90
6,1,0,0.0208,-56.80,15.81
6,1,2,0.0188,-60.51,21.02
6,1,3,0.0245,-35.19,3.01
6,1,4,0.5583,-49.40,8.96
6,2,0,0.0000,-48.04,8.61
6,2,1,0.0255,-59.66,21.02
6,2,3,0.0000,-61.39,24.01
6,2,4,0.0274,-56.19,16.11
6,3,0,0.4973,-57.79,18.74
6,3,1,0.0261,-33.97,3.01
6,3,2,0.0000,-61.02,24.01
6,3,4,0.0256,-50.92,11.06
6,4,0,0.0164,-63.22,14.90
6,4,1,0.4555,-56.59,8.96
6,4,2,0.0158,-64.23,16.11
6,4,3,0.0185,-59.33,11.06
7,0,1,0.0172,-58.70,15.81
7,0,2,0.0000,-50.79,8.61
7,0,3,0.3636,-60.91,18.74
7,0,4,0.0176,-57.93,14.90
7,1,0,0.0208,-56.80,15.81
7,1,2,0.0188,-60.51,21.02
7,1,3,0.0245,-35.19,3.01
7,1,4,0.5583,-49.40,8.96
7,2,0,0.0000,-48.04,8.61
7,2,1,0.0255,-59.66,21.02
7,2,3,0.0000,-61.39,24.01
7,2,4,0.0274,-56.19,16.11
7,3,0,0.4973,-57.79,18.74
7,3,1,0.0261,-33.97,3.01
7,3,2,0.0000,-61.02,24.01
7,3,4,0.0256,-50.92,11.06
7,4,0,0.0164,-63.22,14.90
7,4,1,0.4555,-56.59,8.96
7,4,2,0.0158,-64.23,16.11
7,4,3,0.0185,-59.33,11.06
8,0,1,0.0172,-58.70,15.81
8,0,2,0.0000,-50.79,8.61
8,0,3,0.3636,-60.91,18.74
8,0,4,0.0176,-57.93,14.90
8,1,0,0.0208,-56.80,15.81
8,1,2,0.0188,-60.51,21.02
8,1,3,0.0245,-35.19,3.01
8,1,4,0.5583,-49.40,8.96
8,2,0,0.0000,-48.04,8.61
8,2,1,0.0255,-59.66,21.02
8,2,3,0.0000,-61.39,24.01
8,2,4,0.0274,-56.19,16.11
8,3,0,0.4973,-57.79,18.74
8,3,1,0.0261,-33.97,3.01
8,3,2,0.0000,-61.02,24.01
8,3,4,0.0256,-50.92,11.06
8,4,0,0.0164,-63.22,14.90
8,4,1,0.4555,-56.59,8.96
8,4,2,0.0158,-64.23,16.11
8,4,3,0.0185,-59.33,11.06
9,0,1,0.0172,-58.70,15.81
9,0,2,0.0000,-50.79,8.61
9,0,3,0.3636,-60.91,18.74
9,0,4,0.0176,-57.93,14.90
9,1,0,0.0208,-56.80,15.81
9,1,2,0.0188,-60.51,21.02
9,1,3,0.0245,-35.19,3.01
9,1,4,0.5583,-49.40,8.96
9,2,0,0.0000,-48.04,8.61
9,2,1,0.0255,-59.66,21.02
9,2,3,0.0000,-61.39,24.01
9,2,4,0.0274,-56.19,16.11
9,3,0,0.4973,-57.79,18.74
9,3,1,0.0261,-33.97,3.01
9,3,2,0.0000,-61.02,24.01
9,3,4,0.0256,-50.92,11.06
9,4,0,0.0164,-63.22,14.90
9,4,1,0.4555,-56.59,8.96
9,4,2,0.0158,-64.23,16.11
9,4,3,0.0185,-59.33,11.06
10,0,1,0.0172,-58.70,15.81
10,0,2,0.0000,-50.79,8.61
10,0,3,0.3636,-60.91,18.74
10,0,4,0.0176,-57.93,14.90
10,1,0,0.0212,-56.80,15.81
10,1,2,0.0192,-60.51,21.02
10,1,3,0.0249,-35.19,3.01
10,1,4,0.5674,-49.40,8.96
10,2,0,0.0000,-48.04,8.61
10,2,1,0.0255,-59.66,21.02
10,2,3,0.0000,-61.39,24.01
10,2,4,0.0274,-56.19,16.11
10,3,0,0.4882,-57.79,18.74
10,3,1,0.0257,-33.97,3.01
10,3,2,0.0000,-61.02,24.01
10,3,4,0.0252,-50.92,11.06
10,4,0,0.0164,-63.22,14.90
10,4,1,0.4555,-56.59,8.96
10,4,2,0.0158,-64.23,16.11
10,4,3,0.0185,-59.33,11.06
11,0,1,0.0172,-58.70,15.81
11,0,2,0.0000,-50.79,8.61
11,0,3,0.3636,-60.91,18.74
11,0,4,0.0176,-57.93,14.90
11,1,0,0.0221,-56.80,15.81
