step,source_ap,dest_ap,weight,interference_dbm,distance
0,0,1,0.0275,-55.74,8.62
0,0,2,0.0000,-61.53,13.45
0,0,3,0.4880,-66.72,20.04
0,0,4,0.0193,-70.61,27.00
0,1,0,0.0308,-46.75,8.62
0,1,2,0.0308,-45.14,7.63
0,1,3,0.0291,-53.05,13.99
0,1,4,0.6034,-57.73,20.04
0,2,0,0.0000,-61.28,13.45
0,2,1,0.0229,-53.88,7.63
0,2,3,0.0000,-52.17,6.69
0,2,4,0.0188,-61.39,13.56
0,3,0,0.4312,-63.43,20.04
0,3,1,0.0215,-58.75,13.99
0,3,2,0.0000,-49.14,6.69
0,3,4,0.0261,-50.32,7.32
0,4,0,0.0202,-69.19,27.00
0,4,1,0.5087,-65.31,20.04
0,4,2,0.0251,-60.22,13.56
0,4,3,0.0296,-52.19,7.32
1,0,1,0.0213,-55.74,8.62
1,0,2,0.0000,-61.53,13.45
1,0,3,0.3477,-66.72,20.04
1,0,4,0.0131,-70.61,27.00
1,1,0,0.0308,-46.75,8.62
1,1,2,0.0308,-45.14,7.63
1,1,3,0.0291,-53.05,13.99
1,1,4,0.6034,-57.73,20.04
1,2,0,0.0000,-61.28,13.45
1,2,1,0.0198,-53.88,7.63
1,2,3,0.0000,-52.17,6.69
1,2,4,0.0157,-61.39,13.56
1,3,0,0.4592,-63.43,20.04
1,3,1,0.0227,-58.75,13.99
1,3,2,0.0000,-49.14,6.69
1,3,4,0.0274,-50.32,7.32
1,4,0,0.0202,-69.19,27.00
1,4,1,0.5087,-65.31,20.04
1,4,2,0.0251,-60.22,13.56
1,4,3,0.0296,-52.19,7.32
2,0,1,0.0213,-55.74,8.62
2,0,2,0.0000,-61.53,13.45
2,0,3,0.3477,-66.72,20.04
2,0,4,0.0131,-70.61,27.00
2,1,0,0.0308,-46.75,8.62
2,1,2,0.0308,-45.14,7.63
2,1,3,0.0291,-53.05,13.99
2,1,4,0.6034,-57.73,20.04
2,2,0,0.0000,-61.28,13.45
2,2,1,0.0198,-53.88,7.63
2,2,3,0.0000,-52.17,6.69
2,2,4,0.0157,-61.39,13.56
2,3,0,0.4592,-63.43,20.04
2,3,1,0.0227,-58.75,13.99
2,3,2,0.0000,-49.14,6.69
2,3,4,0.0274,-50.32,7.32
2,4,0,0.0202,-69.19,27.00
2,4,1,0.5087,-65.31,20.04
2,4,2,0.0251,-60.22,13.56
2,4,3,0.0296,-52.19,7.32
3,0,1,0.0213,-55.74,8.62
3,0,2,0.0000,-61.53,13.45
3,0,3,0.3477,-66.72,20.04
3,0,4,0.0131,-70.61,27.00
3,1,0,0.0308,-46.75,8.62
3,1,2,0.0308,-45.14,7.63
3,1,3,0.0291,-53.05,13.99
3,1,4,0.6034,-57.73,20.04
3,2,0,0.0000,-61.28,13.45
3,2,1,0.0198,-53.88,7.63
3,2,3,0.0000,-52.17,6.69
3,2,4,0.0157,-61.39,13.56
3,3,0,0.4331,-63.43,20.04
3,3,1,0.0216,-58.75,13.99
3,3,2,0.0000,-49.14,6.69
3,3,4,0.0262,-50.32,7.32
3,4,0,0.0202,-69.19,27.00
3,4,1,0.5087,-65.31,20.04
3,4,2,0.0251,-60.22,13.56
3,4,3,0.0296,-52.19,7.32
4,0,1,0.0205,-55.74,8.62
4,0,2,0.0000,-61.53,13.45
4,0,3,0.3300,-66.72,20.04
4,0,4,0.0124,-70.61,27.00
4,1,0,0.0308,-46.75,8.62
4,1,2,0.0308,-45.14,7.63
4,1,3,0.0291,-53.05,13.99
4,1,4,0.6034,-57.73,20.04
4,2,0,0.0000,-61.28,13.45
4,2,1,0.0216,-53.88,7.63
4,2,3,0.0000,-52.17,6.69
4,2,4,0.0175,-61.39,13.56
4,3,0,0.4331,-63.43,20.04
4,3,1,0.0216,-58.75,13.99
4,3,2,0.0000,-49.14,6.69
4,3,4,0.0262,-50.32,7.32
4,4,0,0.0202,-69.19,27.00
4,4,1,0.5087,-65.31,20.04
4,4,2,0.0251,-60.22,13.56
4,4,3,0.0296,-52.19,7.32
5,0,1,0.0205,-55.74,8.62
5,0,2,0.0000,-61.53,13.45
5,0,3,0.3300,-66.72,20.04
5,0,4,0.0124,-70.61,27.00
5,1,0,0.0308,-46.75,8.62
5,1,2,0.0308,-45.14,7.63
5,1,3,0.0291,-53.05,13.99
5,1,4,0.6034,-57.73,20.04
5,2,0,0.0000,-61.28,13.45
5,2,1,0.0216,-53.88,7.63
5,2,3,0.0000,-52.17,6.69
5,2,4,0.0175,-61.39,13.56
5,3,0,0.4331,-63.43,20.04
5,3,1,0.0216,-58.75,13.99
5,3,2,0.0000,-49.14,6.69
5,3,4,0.0262,-50.32,7.32
5,4,0,0.0202,-69.19,27.00
5,4,1,0.5087,-65.31,20.04
5,4,2,0.0251,-60.22,13.56
5,4,3,0.0296,-52.19,7.32
6,0,1,0.0188,-55.74,8.62
6,0,2,0.0000,-61.53,13.45
6,0,3,0.2910,-66.72,20.04
6,0,4,0.0106,-70.61,27.00
6,1,0,0.0308,-46.75,8.62
6,1,2,0.0308,-45.14,7.63
6,1,3,0.0291,-53.05,13.99
6,1,4,0.6034,-57.73,20.04
6,2,0,0.0000,-61.28,13.45
6,2,1,0.0228,-53.88,7.63
6,2,3,0.0000,-52.17,6.69
6,2,4,0.0187,-61.39,13.56
6,3,0,0.4331,-63.43,20.04
6,3,1,0.0216,-58.75,13.99
6,3,2,0.0000,-49.14,6.69
6,3,4,0.0262,-50.32,7.32
6,4,0,0.0202,-69.19,27.00
6,4,1,0.5087,-65.31,20.04
6,4,2,0.0251,-60.22,13.56
6,4,3,0.0296,-52.19,7.32
7,0,1,0.0188,-55.74,8.62
