step,client_id,from_ap,to_ap,client_x,client_y
0,0,,2,5.43,17.80
0,1,,2,5.50,36.27
0,2,,4,21.91,5.22
0,3,,4,24.62,12.78
0,4,,0,34.39,42.63
0,5,,1,15.62,39.53
0,6,,4,26.73,10.37
0,7,,1,22.29,44.36
0,8,,3,35.43,13.36
0,9,,2,15.62,23.22
0,10,,3,39.76,17.94
0,11,,1,22.67,39.20
0,12,,2,10.95,10.18
0,13,,2,17.89,18.11
0,14,,3,41.21,22.66
0,15,,1,18.02,40.39
0,16,,2,11.15,19.22
0,17,,2,20.44,19.24
0,18,,1,31.81,31.38
0,19,,2,17.43,10.95
0,20,,1,35.57,27.14
0,21,,2,9.53,15.36
0,22,,1,19.60,28.11
0,23,,1,25.43,33.25
0,24,,2,11.93,10.73
0,25,,4,27.56,7.31
0,26,,2,15.46,7.27
0,27,,0,37.15,42.51
0,28,,3,44.44,11.81
0,29,,1,22.35,21.99
0,30,,3,40.35,17.06
0,31,,1,25.89,27.76
0,32,,2,5.91,9.56
0,33,,2,16.03,32.99
0,34,,1,23.38,41.56
0,35,,4,33.86,7.77
0,36,,2,14.70,32.85
0,37,,0,37.04,42.16
0,38,,4,41.22,7.44
0,39,,0,32.81,42.11
0,40,,1,24.36,43.47
0,41,,4,42.79,7.65
0,42,,1,28.36,26.88
0,43,,1,15.79,39.50
1,1,2,1,6.91,36.73
1,2,4,3,23.28,5.74
1,3,4,3,25.30,12.94
1,6,4,3,27.76,10.14
1,12,2,1,12.29,10.22
1,13,2,1,19.68,18.11
1,17,2,1,21.59,19.06
1,19,2,3,19.22,11.13
1,20,1,3,37.53,27.52
1,21,2,1,10.81,15.39
1,24,2,1,13.62,10.15
1,25,4,3,28.58,6.90
1,26,2,3,17.04,7.19
1,32,2,1,7.21,9.15
1,33,2,1,16.84,32.76
1,36,2,1,15.35,32.99
1,38,4,3,42.52,7.69
1,41,4,3,43.69,7.44
2,9,2,1,18.42,22.54
2,16,2,1,14.21,18.05
3,20,3,0,40.91,29.59
3,24,1,3,16.89,8.61
3,35,4,3,39.64,8.91
4,7,1,0,28.53,43.65
4,13,1,3,24.56,15.77
4,18,1,0,35.21,33.27
4,42,1,3,35.33,25.57
6,17,1,3,27.40,18.21
6,25,3,4,33.27,4.70
6,29,1,3,28.45,18.85
7,14,3,0,50.00,29.11
7,23,1,0,36.32,33.26
7,34,1,0,32.28,36.81
7,40,1,0,28.91,43.11
8,11,1,0,31.51,38.14
8,16,1,3,22.10,13.94
9,2,3,4,33.21,4.67
9,9,1,3,27.58,18.34
9,21,1,3,19.38,10.46
10,12,1,3,23.38,14.81
10,31,1,0,37.67,29.88
11,13,3,4,33.27,6.47
11,15,1,0,31.96,38.98
11,18,0,3,40.04,28.62
12,19,3,4,38.09,9.05
13,19,4,3,39.50,8.05
13,23,0,3,43.64,27.86
13,25,4,3,38.67,2.64
14,2,4,3,38.74,3.04
14,13,4,3,35.32,1.44
14,28,3,4,39.04,6.42
16,5,1,0,30.39,41.78
17,13,3,4,36.96,3.22
17,26,3,1,22.19,14.42
18,1,1,0,29.74,42.92
18,9,3,4,33.84,8.17
18,20,0,1,31.65,35.94
19,14,0,1,32.21,35.17
19,28,4,3,33.20,9.14
20,39,0,3,41.64,28.45
21,9,4,3,32.86,4.45
21,13,4,3,39.27,9.57
21,34,0,3,46.48,28.62
22,2,3,4,38.15,3.82
22,22,1,0,36.45,31.51
22,42,3,1,34.58,25.92
23,8,3,1,31.58,23.90
23,37,0,1,32.75,35.68
25,21,3,4,33.37,3.90
25,35,3,1,21.72,14.96
25,38,3,1,24.75,17.25
26,19,3,4,38.71,4.43
27,4,0,1,26.87,46.00
27,23,3,4,38.30,8.85
27,29,3,0,47.58,29.35
28,21,4,3,32.52,8.20
28,28,3,1,24.98,16.81
28,37,1,0,37.54,29.81
29,2,4,3,32.03,7.50
29,9,3,4,33.11,4.19
29,19,4,3,33.53,3.06
30,0,2,1,17.10,30.34
30,14,1,2,15.92,27.68
30,24,3,0,43.20,29.00
30,32,1,0,35.12,34.46
31,7,0,1,25.86,46.49
31,23,4,3,34.09,2.45
32,38,1,2,13.67,19.02
32,39,3,4,35.53,8.52
33,12,3,0,50.00,28.92
35,9,4,3,36.91,10.40
35,30,3,4,37.31,8.93
