step,client_id,from_ap,to_ap,client_x,client_y
0,0,,1,43.48,19.92
0,1,,3,7.09,39.08
0,2,,2,24.70,15.14
0,3,,0,8.77,15.43
0,4,,2,27.20,17.79
0,5,,2,17.72,25.13
0,6,,3,14.25,31.44
0,7,,3,11.93,32.11
0,8,,3,11.78,44.35
0,9,,3,21.42,44.27
0,10,,4,27.63,37.72
0,11,,1,30.85,8.08
0,12,,2,24.72,16.20
0,13,,4,35.01,31.01
0,14,,2,16.85,28.78
0,15,,3,5.32,37.90
0,16,,4,44.99,29.82
0,17,,2,16.90,31.43
0,18,,4,32.48,44.12
0,19,,2,23.99,16.39
0,20,,4,31.74,44.28
0,21,,3,10.72,40.93
0,22,,2,25.59,11.11
0,23,,3,6.90,35.88
0,24,,3,11.50,27.43
1,22,2,1,26.66,11.24
2,24,3,2,13.29,28.05
3,6,3,2,16.88,31.74
4,9,3,4,25.37,42.41
6,24,2,3,15.40,30.84
8,2,2,1,31.56,16.32
8,19,2,1,32.24,16.33
10,4,2,1,35.37,19.57
13,7,3,2,21.93,36.84
14,1,3,2,16.76,30.80
15,8,3,2,23.37,37.21
15,14,2,4,32.39,34.21
16,6,2,4,27.33,38.51
19,16,4,2,32.58,32.36
20,7,2,4,27.88,38.01
20,18,4,1,40.33,24.69
20,21,3,4,25.51,44.66
20,23,3,2,24.27,39.13
21,13,4,1,45.30,24.99
22,5,2,4,32.01,33.38
22,23,2,4,27.13,39.80
24,3,0,1,25.09,6.71
26,10,4,3,24.81,43.64
26,19,1,4,50.00,25.40
27,9,4,1,41.64,24.58
27,17,2,1,39.23,23.62
28,12,2,4,32.58,32.45
28,16,2,3,23.05,39.70
30,1,2,0,19.33,14.58
41,5,4,2,38.17,26.82
41,14,4,2,34.46,28.80
43,8,2,1,26.51,11.45
44,22,1,2,30.33,15.51
45,16,3,4,26.04,44.21
48,5,2,1,38.83,23.36
48,23,4,1,42.60,24.46
49,8,1,0,24.41,5.49
50,18,1,0,24.83,1.04
50,20,4,2,26.80,37.84
50,21,4,1,49.84,24.71
50,22,2,0,23.64,9.86
52,11,1,0,24.13,10.63
